,2021,2020,2019,2018
intangibleAssets,1362000000.0,1792000000.0,2011000000.0,2185000000.0
capitalSurplus,2187000000.0,2174000000.0,2105000000.0,2048000000.0
totalLiab,9731000000.0,9975000000.0,9976000000.0,10117000000.0
totalStockholderEquity,5704000000.0,6023000000.0,5958000000.0,5803000000.0
minorityInterest,84000000.0,85000000.0,74000000.0,75000000.0
otherCurrentLiab,565000000.0,468000000.0,404000000.0,417000000.0
totalAssets,15519000000.0,16083000000.0,16008000000.0,15995000000.0
commonStock,2000000.0,2000000.0,2000000.0,2000000.0
otherCurrentAssets,1082000000.0,82000000.0,79000000.0,72000000.0
retainedEarnings,8557000000.0,8080000000.0,7965000000.0,7573000000.0
otherLiab,2186000000.0,2494000000.0,2435000000.0,2341000000.0
goodWill,3641000000.0,4465000000.0,4431000000.0,4467000000.0
treasuryStock,-5042000000.0,-4233000000.0,-4114000000.0,-3820000000.0
otherAssets,521000000.0,395000000.0,303000000.0,252000000.0
cash,459000000.0,564000000.0,204000000.0,226000000.0
totalCurrentLiabilities,2971000000.0,2038000000.0,1789000000.0,1851000000.0
deferredLongTermAssetCharges,116000000.0,112000000.0,66000000.0,43000000.0
shortLongTermDebt,747000000.0,299000000.0,,
otherStockholderEquity,-182000000.0,-273000000.0,-214000000.0,-245000000.0
propertyPlantEquipment,5212000000.0,5734000000.0,5768000000.0,5600000000.0
totalCurrentAssets,4646000000.0,3541000000.0,3321000000.0,3365000000.0
longTermInvestments,137000000.0,156000000.0,174000000.0,126000000.0
netTangibleAssets,701000000.0,-234000000.0,-484000000.0,-849000000.0
netReceivables,1580000000.0,1515000000.0,1375000000.0,1483000000.0
longTermDebt,4417000000.0,5320000000.0,5611000000.0,5925000000.0
inventory,1504000000.0,1379000000.0,1662000000.0,1583000000.0
accountsPayable,1228000000.0,799000000.0,890000000.0,914000000.0
researchDevelopment,254000000.0,226000000.0,234000000.0,235000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,1082000000.0,530000000.0,902000000.0,1310000000.0
netIncome,857000000.0,478000000.0,759000000.0,1080000000.0
sellingGeneralAdministrative,383000000.0,773000000.0,751000000.0,693000000.0
grossProfit,2504000000.0,1983000000.0,2234000000.0,2479000000.0
ebit,1867000000.0,984000000.0,1249000000.0,1551000000.0
operatingIncome,1867000000.0,984000000.0,1249000000.0,1551000000.0
otherOperatingExpenses,,,,
interestExpense,-201000000.0,-214000000.0,-221000000.0,-238000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,215000000.0,41000000.0,140000000.0,226000000.0
totalRevenue,10476000000.0,8473000000.0,9273000000.0,10151000000.0
totalOperatingExpenses,8609000000.0,7489000000.0,8024000000.0,8600000000.0
costOfRevenue,7972000000.0,6490000000.0,7039000000.0,7672000000.0
totalOtherIncomeExpenseNet,-785000000.0,-454000000.0,-347000000.0,-241000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,867000000.0,489000000.0,762000000.0,1084000000.0
netIncomeApplicableToCommonShares,857000000.0,478000000.0,759000000.0,1080000000.0
changeToLiabilities,554000000.0,-100000000.0,-27000000.0,90000000.0
totalCashflowsFromInvestingActivities,-29000000.0,-394000000.0,-480000000.0,-463000000.0
netBorrowings,-350000000.0,-307000000.0,-370000000.0,-316000000.0
totalCashFromFinancingActivities,-1690000000.0,-704000000.0,-1043000000.0,-1040000000.0
changeToOperatingActivities,66000000.0,-44000000.0,-170000000.0,-52000000.0
changeInCash,-105000000.0,360000000.0,-22000000.0,35000000.0
repurchaseOfStock,-1000000000.0,-60000000.0,-325000000.0,-400000000.0
effectOfExchangeRate,-5000000.0,3000000.0,-3000000.0,-5000000.0
totalCashFromOperatingActivities,1619000000.0,1455000000.0,1504000000.0,1543000000.0
depreciation,538000000.0,574000000.0,611000000.0,604000000.0
otherCashflowsFromInvestingActivities,-4000000.0,3000000.0,-1000000.0,63000000.0
dividendsPaid,-375000000.0,-358000000.0,-343000000.0,-318000000.0
changeToInventory,-389000000.0,291000000.0,-80000000.0,-224000000.0
changeToAccountReceivables,-281000000.0,-31000000.0,170000000.0,16000000.0
otherCashflowsFromFinancingActivities,35000000.0,21000000.0,-5000000.0,-6000000.0
changeToNetincome,274000000.0,287000000.0,241000000.0,29000000.0
capitalExpenditures,-555000000.0,-383000000.0,-425000000.0,-528000000.0
annualDilutedAverageShares,137100000.0,136500000.0,138500000.0,142900000.0
