,2021,2020,2019,2018
intangibleAssets,110358000.0,33608000.0,31379000.0,36006000.0
capitalSurplus,837924000.0,534744000.0,458315000.0,353335000.0
totalLiab,1649088000.0,716109000.0,441011000.0,332161000.0
totalStockholderEquity,430168000.0,483993000.0,272212000.0,7776000.0
otherCurrentLiab,109030000.0,64425000.0,93590000.0,41202000.0
totalAssets,2079256000.0,1200102000.0,713223000.0,339937000.0
commonStock,1000.0,1000.0,1000.0,1000.0
retainedEarnings,-405737000.0,-51186000.0,-185181000.0,-346302000.0
otherLiab,245778000.0,161959000.0,129499000.0,103372000.0
goodWill,181254000.0,24783000.0,24783000.0,24783000.0
treasuryStock,-2020000.0,434000.0,-923000.0,742000.0
otherAssets,200154000.0,147779000.0,119151000.0,36548000.0
cash,119316000.0,679379000.0,251409000.0,106237000.0
totalCurrentLiabilities,439796000.0,534043000.0,199311000.0,147161000.0
deferredLongTermAssetCharges,122470000.0,92904000.0,74531000.0,
shortLongTermDebt,86052000.0,325967000.0,2884000.0,28155000.0
otherStockholderEquity,-2020000.0,434000.0,-923000.0,742000.0
propertyPlantEquipment,83987000.0,55868000.0,38253000.0,20298000.0
totalCurrentAssets,1462461000.0,933064000.0,499657000.0,222302000.0
longTermInvestments,41042000.0,5000000.0,,
netTangibleAssets,138556000.0,425602000.0,216050000.0,-53013000.0
shortTermInvestments,897335000.0,,,
netReceivables,359234000.0,200044000.0,160468000.0,92454000.0
longTermDebt,951594000.0,4898000.0,102659000.0,81628000.0
inventory,74400000.0,41764000.0,32056000.0,16267000.0
accountsPayable,113767000.0,72609000.0,57474000.0,48794000.0
otherCurrentAssets,,,44700000.0,
researchDevelopment,105526000.0,55921000.0,40381000.0,32587000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,120928000.0,119410000.0,90114000.0,-10229000.0
minorityInterest,,,,
netIncome,145449000.0,133995000.0,161148000.0,-11627000.0
sellingGeneralAdministrative,228164000.0,103621000.0,75536000.0,55333000.0
grossProfit,554422000.0,345981000.0,221245000.0,94445000.0
ebit,220732000.0,186439000.0,105328000.0,6525000.0
operatingIncome,220732000.0,186439000.0,105328000.0,6525000.0
otherOperatingExpenses,,,,
interestExpense,-45152000.0,-21001000.0,-9691000.0,-10693000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-24521000.0,-14585000.0,-71034000.0,1398000.0
totalRevenue,1382049000.0,774425000.0,624333000.0,316159000.0
totalOperatingExpenses,1161317000.0,587986000.0,519005000.0,309634000.0
costOfRevenue,827627000.0,428444000.0,403088000.0,221714000.0
totalOtherIncomeExpenseNet,-99804000.0,-67029000.0,-15214000.0,-16754000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,145449000.0,133995000.0,161148000.0,-11627000.0
netIncomeApplicableToCommonShares,145449000.0,133995000.0,161148000.0,-11627000.0
investments,-931387000.0,-5010000.0,-5010000.0,-5010000.0
changeToLiabilities,195350000.0,25197000.0,94448000.0,16959000.0
totalCashflowsFromInvestingActivities,-1219547000.0,-25568000.0,-14788000.0,-19151000.0
netBorrowings,896498000.0,269117000.0,81558000.0,58048000.0
totalCashFromFinancingActivities,309411000.0,191678000.0,65850000.0,80614000.0
changeToOperatingActivities,131000.0,-5821000.0,-8489000.0,-11652000.0
issuanceOfStock,7484000.0,8395000.0,4985000.0,22566000.0
changeInCash,-560063000.0,383270000.0,189872000.0,77093000.0
repurchaseOfStock,-529136000.0,-68330000.0,-8198000.0,-8198000.0
effectOfExchangeRate,-1955000.0,826000.0,-257000.0,-502000.0
totalCashFromOperatingActivities,352028000.0,216334000.0,139067000.0,16132000.0
depreciation,28758000.0,15920000.0,14119000.0,9667000.0
changeToInventory,-29258000.0,-9708000.0,-15789000.0,9732000.0
changeToAccountReceivables,-151160000.0,-34321000.0,-68745000.0,-13515000.0
otherCashflowsFromFinancingActivities,-65435000.0,-17504000.0,-12495000.0,-12495000.0
changeToNetincome,114690000.0,70589000.0,-37625000.0,13867000.0
capitalExpenditures,-52258000.0,-20558000.0,-14788000.0,-4151000.0
annualDilutedAverageShares,142878000.0,141918000.0,131644000.0,99619000.0
