,2021,2020,2019,2018
capitalSurplus,6087000000.0,5945000000.0,5817475000.0,5658794000.0
totalLiab,16056000000.0,15503000000.0,15483892000.0,14570286000.0
totalStockholderEquity,22180000000.0,20302000000.0,21640716000.0,19364188000.0
otherCurrentLiab,1523000000.0,703000000.0,673972000.0,575421000.0
totalAssets,38236000000.0,35805000000.0,37124608000.0,33934474000.0
commonStock,206000000.0,206000000.0,205822000.0,205804000.0
otherCurrentAssets,456000000.0,359000000.0,324747000.0,299273000.0
retainedEarnings,15919000000.0,14170000000.0,15648604000.0,13543130000.0
otherLiab,6384000000.0,6367000000.0,6405985000.0,5671753000.0
treasuryStock,-32000000.0,-19000000.0,-31185000.0,-43540000.0
otherAssets,483000000.0,475000000.0,713674000.0,801565000.0
cash,5209000000.0,3329000000.0,2027972000.0,1555634000.0
totalCurrentLiabilities,4042000000.0,3460000000.0,4486988000.0,3728364000.0
deferredLongTermAssetCharges,11000000.0,2000000.0,2363000.0,777000.0
otherStockholderEquity,-12000000.0,-12000000.0,-4652000.0,-1358000.0
propertyPlantEquipment,29169000000.0,29468000000.0,31137595000.0,28075519000.0
totalCurrentAssets,8584000000.0,5862000000.0,5273339000.0,5057390000.0
netTangibleAssets,22180000000.0,20302000000.0,21640716000.0,19364188000.0
netReceivables,2335000000.0,1545000000.0,2153323000.0,2343124000.0
longTermDebt,4859000000.0,4854000000.0,4118019000.0,5098598000.0
inventory,584000000.0,629000000.0,767297000.0,859359000.0
accountsPayable,2242000000.0,1681000000.0,2429127000.0,2239850000.0
shortLongTermDebt,,750000000.0,999524000.0,913093000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,5933000000.0,-739000000.0,3545000000.0,4240998000.0
minorityInterest,,,,
netIncome,4664000000.0,-605000000.0,2735000000.0,3419040000.0
sellingGeneralAdministrative,511000000.0,484000000.0,489000000.0,426969000.0
grossProfit,13034000000.0,4979000000.0,9120000000.0,9592660000.0
ebit,6118000000.0,-137000000.0,3666000000.0,4343516000.0
operatingIncome,6118000000.0,-137000000.0,3666000000.0,4343516000.0
otherOperatingExpenses,2199000000.0,-667000000.0,620000000.0,938121000.0
interestExpense,-178000000.0,-205000000.0,-185000000.0,-245052000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1269000000.0,-134000000.0,810000000.0,821958000.0
totalRevenue,19777000000.0,9934000000.0,17076000000.0,17266477000.0
totalOperatingExpenses,13659000000.0,10071000000.0,13410000000.0,12922961000.0
costOfRevenue,6743000000.0,4955000000.0,7956000000.0,7673817000.0
totalOtherIncomeExpenseNet,-185000000.0,-602000000.0,-121000000.0,-102518000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,4664000000.0,-605000000.0,2735000000.0,3419040000.0
netIncomeApplicableToCommonShares,4664000000.0,-605000000.0,2735000000.0,3419040000.0
changeToLiabilities,456000000.0,-795000000.0,169000000.0,439347000.0
totalCashflowsFromInvestingActivities,-3419000000.0,-3348000000.0,-6177000000.0,-6170162000.0
netBorrowings,-787000000.0,465000000.0,-913000000.0,-358219000.0
totalCashFromFinancingActivities,-3493000000.0,-359000000.0,-1513000000.0,-839103000.0
changeToOperatingActivities,-452000000.0,408000000.0,186000000.0,186597000.0
issuanceOfStock,19000000.0,16000000.0,18000000.0,20560000.0
changeInCash,1880000000.0,1301000000.0,472000000.0,721406000.0
repurchaseOfStock,-41000000.0,-16000000.0,-25000000.0,-63456000.0
effectOfExchangeRate,1000000.0,1000000.0,-1000000.0,-37937000.0
totalCashFromOperatingActivities,8791000000.0,5008000000.0,8163000000.0,7768608000.0
depreciation,3981000000.0,5140000000.0,4177000000.0,3729650000.0
otherCashflowsFromInvestingActivities,200000000.0,-75000000.0,105000000.0,-321133000.0
dividendsPaid,-931000000.0,-821000000.0,-588000000.0,-438045000.0
changeToInventory,-13000000.0,123000000.0,90000000.0,-395408000.0
changeToAccountReceivables,-821000000.0,467000000.0,-92000000.0,-368180000.0
changeToNetincome,664000000.0,319000000.0,858000000.0,850023000.0
capitalExpenditures,-3850000000.0,-3465000000.0,-6422000000.0,-6076475000.0
otherCashflowsFromFinancingActivities,,-3000000.0,-5000000.0,57000.0
annualDilutedAverageShares,584000000.0,578949000.0,580800000.0,580400000.0
