,2021,2020,2019,2018
intangibleAssets,101143000.0,51975000.0,56258000.0,57065000.0
capitalSurplus,711912000.0,660771000.0,607051000.0,544700000.0
totalLiab,1027390000.0,738314000.0,648063000.0,349206000.0
totalStockholderEquity,2487117000.0,1983018000.0,1596145000.0,1262596000.0
minorityInterest,8720000.0,,,
otherCurrentLiab,119530000.0,65771000.0,67524000.0,57806000.0
totalAssets,3523227000.0,2721332000.0,2244208000.0,1611802000.0
commonStock,57000.0,56000.0,55000.0,54000.0
otherCurrentAssets,1924000.0,5061000.0,1910000.0,195000.0
retainedEarnings,1829532000.0,1347880000.0,1020590000.0,759533000.0
otherLiab,90934000.0,66722000.0,55193000.0,61346000.0
goodWill,530723000.0,211956000.0,195043000.0,166832000.0
treasuryStock,-54384000.0,-25689000.0,-31551000.0,-41691000.0
otherAssets,173326000.0,121414000.0,108646000.0,86191000.0
cash,1446625000.0,1322143000.0,936552000.0,770560000.0
totalCurrentLiabilities,763420000.0,465950000.0,386948000.0,262829000.0
deferredLongTermAssetCharges,143928000.0,92454000.0,75013000.0,69983000.0
otherStockholderEquity,-54207000.0,-25512000.0,-31374000.0,-41514000.0
propertyPlantEquipment,421055000.0,398205000.0,404250000.0,102646000.0
totalCurrentAssets,2269480000.0,1912782000.0,1474211000.0,1199068000.0
longTermInvestments,27500000.0,25000000.0,5800000.0,
netTangibleAssets,1855251000.0,1719087000.0,1344844000.0,1038699000.0
netReceivables,768928000.0,501062000.0,497716000.0,402337000.0
longTermDebt,30234000.0,25038000.0,25074000.0,25031000.0
accountsPayable,24847000.0,10189000.0,7831000.0,7444000.0
shortTermInvestments,,60007000.0,9000.0,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,533392000.0,378479000.0,299526000.0,249773000.0
netIncome,481652000.0,327160000.0,261057000.0,240256000.0
sellingGeneralAdministrative,645136000.0,484758000.0,457433000.0,373587000.0
grossProfit,1274447000.0,926956000.0,805600000.0,655991000.0
ebit,545916000.0,379324000.0,302850000.0,245764000.0
operatingIncome,545916000.0,379324000.0,302850000.0,245764000.0
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,51740000.0,51319000.0,38469000.0,9517000.0
totalRevenue,3758144000.0,2659478000.0,2293798000.0,1842912000.0
totalOperatingExpenses,3212228000.0,2280154000.0,1990948000.0,1597148000.0
costOfRevenue,2483697000.0,1732522000.0,1488198000.0,1186921000.0
totalOtherIncomeExpenseNet,-12524000.0,-845000.0,-3324000.0,4009000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,481652000.0,327160000.0,261057000.0,240256000.0
netIncomeApplicableToCommonShares,481652000.0,327160000.0,261057000.0,240256000.0
investments,57456000.0,-80491000.0,-5000000.0,418000.0
changeToLiabilities,-2403000.0,2428000.0,-1685000.0,-772000.0
totalCashflowsFromInvestingActivities,-368924000.0,-167154000.0,-145369000.0,-112123000.0
netBorrowings,55000.0,-18000.0,-9000.0,-3494000.0
totalCashFromFinancingActivities,-59557000.0,-765000.0,20363000.0,23001000.0
changeToOperatingActivities,75663000.0,2663000.0,-33449000.0,43521000.0
issuanceOfStock,26286000.0,26410000.0,37003000.0,34845000.0
changeInCash,125814000.0,385845000.0,165977000.0,188856000.0
repurchaseOfStock,-41598000.0,-20132000.0,-15503000.0,-7747000.0
effectOfExchangeRate,-18032000.0,9357000.0,3530000.0,-14240000.0
totalCashFromOperatingActivities,572327000.0,544407000.0,287453000.0,292218000.0
depreciation,144037000.0,128175000.0,100690000.0,37050000.0
otherCashflowsFromInvestingActivities,79000.0,1018000.0,-1739000.0,-699000.0
changeToAccountReceivables,-211684000.0,4235000.0,-87174000.0,-46902000.0
otherCashflowsFromFinancingActivities,-44300000.0,-7025000.0,-1128000.0,-603000.0
changeToNetincome,80380000.0,64293000.0,70655000.0,9914000.0
capitalExpenditures,-111501000.0,-68793000.0,-99308000.0,-37574000.0
annualDilutedAverageShares,59064000.0,58446000.0,57668000.0,56673000.0
