,2021,2020,2019,2018
intangibleAssets,1935267000.0,2170945000.0,2102389000.0,2333296000.0
capitalSurplus,15984597000.0,15028357000.0,12696433000.0,10751313000.0
totalLiab,17036934000.0,16372723000.0,15125233000.0,13025359000.0
totalStockholderEquity,10882082000.0,10633988000.0,8840606000.0,7219279000.0
minorityInterest,-318000.0,130000.0,-224000.0,
deferredLongTermLiab,327640000.0,272239000.0,235600000.0,196732000.0
otherCurrentLiab,453153000.0,715323000.0,513173000.0,374307000.0
totalAssets,27918698000.0,27006841000.0,23965615000.0,20244638000.0
commonStock,91000.0,89000.0,86000.0,81000.0
otherCurrentAssets,486195000.0,139535000.0,134337000.0,154223000.0
otherLiab,763411000.0,948999000.0,621725000.0,629763000.0
goodWill,5372071000.0,5472553000.0,4781858000.0,4836388000.0
treasuryStock,-5102606000.0,-4394458000.0,-3855913000.0,-3532115000.0
otherAssets,681017000.0,612976000.0,521051000.0,523252000.0
cash,1536358000.0,1604869000.0,1869577000.0,606166000.0
totalCurrentLiabilities,1605954000.0,2024750000.0,2157863000.0,1515071000.0
deferredLongTermAssetCharges,59816000.0,66424000.0,35806000.0,58300000.0
shortLongTermDebt,33087000.0,232475000.0,720827000.0,374128000.0
otherStockholderEquity,-4990398000.0,-4272340000.0,-3711657000.0,-3386954000.0
propertyPlantEquipment,16728193000.0,15978141000.0,13627964000.0,11026020000.0
totalCurrentAssets,2957101000.0,2604623000.0,2862254000.0,1511142000.0
longTermInvestments,245049000.0,167603000.0,70099000.0,14540000.0
netTangibleAssets,3574744000.0,2990490000.0,1956359000.0,49595000.0
netReceivables,934548000.0,860219000.0,858340000.0,750753000.0
longTermDebt,11570721000.0,10305531000.0,9599107000.0,9439448000.0
accountsPayable,84084000.0,77705000.0,52232000.0,96980000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,608952000.0,516225000.0,692597000.0,433038000.0
netIncome,500191000.0,369777000.0,507450000.0,365359000.0
sellingGeneralAdministrative,2043029000.0,1809337000.0,1586064000.0,1460396000.0
grossProfit,2787604000.0,2548253000.0,2349038000.0,2496782000.0
ebit,744575000.0,738916000.0,762974000.0,1036386000.0
operatingIncome,744575000.0,738916000.0,762974000.0,1036386000.0
otherOperatingExpenses,,,,
interestExpense,-336082000.0,-406466000.0,-479684000.0,-521494000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,109224000.0,146151000.0,185352000.0,67679000.0
totalRevenue,6260026000.0,5622593000.0,5159222000.0,5102257000.0
totalOperatingExpenses,5515451000.0,4883677000.0,4396248000.0,4065871000.0
costOfRevenue,3472422000.0,3074340000.0,2810184000.0,2605475000.0
totalOtherIncomeExpenseNet,-135623000.0,-222691000.0,-70377000.0,-603348000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,499728000.0,370074000.0,507245000.0,365359000.0
netIncomeApplicableToCommonShares,500191000.0,369777000.0,507450000.0,365359000.0
investments,-103476000.0,-98411000.0,-20523000.0,20597000.0
changeToLiabilities,64596000.0,25801000.0,-27928000.0,35495000.0
totalCashflowsFromInvestingActivities,-3006738000.0,-3426972000.0,-1944567000.0,-3075528000.0
netBorrowings,1005463000.0,-126098000.0,391904000.0,803253000.0
totalCashFromFinancingActivities,413765000.0,815526000.0,1202082000.0,470912000.0
changeToOperatingActivities,-178855000.0,3599000.0,-70977000.0,-15910000.0
issuanceOfStock,575498000.0,2043493000.0,1712994000.0,438308000.0
changeInCash,-76241000.0,-260918000.0,1259009000.0,-823097000.0
effectOfExchangeRate,-30474000.0,40702000.0,8766000.0,-33907000.0
totalCashFromOperatingActivities,2547206000.0,2309826000.0,1992728000.0,1815426000.0
depreciation,1662808000.0,1429700000.0,1291127000.0,1233774000.0
dividendsPaid,-1042909000.0,-947933000.0,-836164000.0,-738600000.0
changeToAccountReceivables,-1873000.0,25412000.0,-26909000.0,-52931000.0
otherCashflowsFromFinancingActivities,-124287000.0,-153936000.0,-66652000.0,-32049000.0
changeToNetincome,499806000.0,462439000.0,274428000.0,246691000.0
annualDilutedAverageShares,90409000.0,88410000.0,84679000.0,80197000.0
