,2021,2020,2019,2018
capitalSurplus,9121122000.0,9128599000.0,8965577000.0,8935453000.0
totalLiab,9483056000.0,9184454000.0,10164843000.0,9615454000.0
totalStockholderEquity,10917668000.0,10488371000.0,10278226000.0,10135924000.0
minorityInterest,731237000.0,576786000.0,692420000.0,605551000.0
otherCurrentLiab,233502000.0,232262000.0,218326000.0,206601000.0
totalAssets,21169241000.0,20286891000.0,21172769000.0,20394209000.0
commonStock,3755000.0,3723000.0,3717000.0,3694000.0
otherCurrentAssets,236404000.0,57137000.0,71246000.0,68871000.0
retainedEarnings,1827063000.0,1399715000.0,1386495000.0,1261763000.0
otherLiab,419243000.0,405544000.0,417025000.0,413693000.0
treasuryStock,-34272000.0,-43666000.0,-77563000.0,-64986000.0
otherAssets,318075000.0,336285000.0,299130000.0,326485000.0
cash,123832000.0,42591000.0,45753000.0,47442000.0
totalCurrentLiabilities,742608000.0,820354000.0,1397361000.0,1330407000.0
otherStockholderEquity,-34272000.0,-43666000.0,-77563000.0,-64986000.0
propertyPlantEquipment,20330339000.0,19756785000.0,20672907000.0,19724832000.0
totalCurrentAssets,393379000.0,141039000.0,148494000.0,118313000.0
longTermInvestments,127448000.0,52782000.0,52238000.0,58349000.0
netTangibleAssets,10917668000.0,10488371000.0,10278226000.0,9969694000.0
netReceivables,33143000.0,41311000.0,31495000.0,
longTermDebt,8026423000.0,7629426000.0,8019123000.0,7871354000.0
accountsPayable,107013000.0,107366000.0,94350000.0,102471000.0
intangibleAssets,,,,166230000.0
shortLongTermDebt,,,,459530000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1397629000.0,963353000.0,1007427000.0,686070000.0
netIncome,1332850000.0,913636000.0,970377000.0,657535000.0
sellingGeneralAdministrative,56506000.0,48305000.0,52757000.0,53813000.0
grossProfit,1515205000.0,1655320000.0,1792363000.0,1698047000.0
ebit,620427000.0,786183000.0,908523000.0,858509000.0
operatingIncome,620427000.0,786183000.0,908523000.0,858509000.0
otherOperatingExpenses,,,,
interestExpense,-281210000.0,-374012000.0,-401746000.0,-424670000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,915000.0,852000.0,-2281000.0,878000.0
totalRevenue,2463997000.0,2571705000.0,2700691000.0,2577681000.0
totalOperatingExpenses,1843570000.0,1785522000.0,1792168000.0,1719172000.0
costOfRevenue,948792000.0,916385000.0,908328000.0,879634000.0
totalOtherIncomeExpenseNet,777202000.0,177170000.0,98904000.0,-172439000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1396714000.0,962501000.0,1009708000.0,685192000.0
netIncomeApplicableToCommonShares,1329760000.0,910546000.0,967287000.0,654445000.0
investments,-55168000.0,-4912000.0,68389000.0,-6571000.0
changeToLiabilities,15381000.0,470000.0,5116000.0,-1862000.0
totalCashflowsFromInvestingActivities,-434620000.0,663586000.0,-771824000.0,-376834000.0
netBorrowings,291453000.0,-1002080000.0,174326000.0,-161913000.0
totalCashFromFinancingActivities,-565056000.0,-1946393000.0,-684474000.0,-963910000.0
changeToOperatingActivities,14345000.0,-74514000.0,24425000.0,27511000.0
issuanceOfStock,89710000.0,16783000.0,80901000.0,34534000.0
changeInCash,260508000.0,-17271000.0,686000.0,15551000.0
totalCashFromOperatingActivities,1260184000.0,1265536000.0,1456984000.0,1356295000.0
depreciation,851384000.0,832443000.0,842776000.0,790117000.0
dividendsPaid,-903558000.0,-887028000.0,-834201000.0,-785985000.0
otherCashflowsFromFinancingActivities,-42661000.0,-74068000.0,-105500000.0,-50546000.0
changeToNetincome,-967815000.0,-420669000.0,-409160000.0,-151097000.0
capitalExpenditures,-1696000.0,-20100000.0,-4955000.0,-4505000.0
annualDilutedAverageShares,388089000.0,385874000.0,386333000.0,383695000.0
