,2021,2020,2019,2018
capitalSurplus,8098514000.0,8015663000.0,7087768000.0,6241222000.0
totalLiab,33736730000.0,31880462000.0,28338351000.0,26598869000.0
totalStockholderEquity,14599844000.0,14063566000.0,12629994000.0,11486817000.0
minorityInterest,155570000.0,155570000.0,155570000.0,155570000.0
deferredLongTermLiab,4586709000.0,5493330000.0,4863639000.0,4631137000.0
otherCurrentLiab,1409452000.0,1177344000.0,1178286000.0,1184336000.0
totalAssets,48492144000.0,46099598000.0,41123915000.0,38241256000.0
commonStock,1789092000.0,1789092000.0,1729292000.0,1669392000.0
otherCurrentAssets,1129093000.0,1076556000.0,651112000.0,514779000.0
retainedEarnings,5005391000.0,4613201000.0,4177048000.0,3953974000.0
otherLiab,10319812000.0,11239362000.0,10372438000.0,9643178000.0
goodWill,4477269000.0,4445988000.0,4427266000.0,4427266000.0
treasuryStock,-293153000.0,-354390000.0,-364114000.0,-377771000.0
otherAssets,5454565000.0,6063184000.0,5371977000.0,5055444000.0
cash,66773000.0,106599000.0,15432000.0,108068000.0
totalCurrentLiabilities,5847039000.0,4915012000.0,3605563000.0,4112882000.0
shortLongTermDebt,1236307000.0,1096396000.0,370621000.0,889651000.0
otherStockholderEquity,-42275000.0,-76411000.0,-65059000.0,-60000000.0
propertyPlantEquipment,33424850000.0,30937723000.0,27635370000.0,25610428000.0
totalCurrentAssets,3270120000.0,3130143000.0,2414539000.0,2292224000.0
longTermInvestments,1865340000.0,1522560000.0,1274763000.0,855894000.0
netTangibleAssets,10122575000.0,9617578000.0,8202728000.0,7059551000.0
netReceivables,1436948000.0,1428950000.0,1170389000.0,1170340000.0
longTermDebt,17477279000.0,15622788000.0,14310950000.0,12832074000.0
inventory,267547000.0,265599000.0,235471000.0,238042000.0
accountsPayable,1672230000.0,1370647000.0,1147872000.0,1119995000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1572269000.0,1558872000.0,1190071000.0,1329491000.0
netIncome,1220527000.0,1205167000.0,909053000.0,1033000000.0
sellingGeneralAdministrative,-84400000.0,-44400000.0,-31300000.0,-60800000.0
grossProfit,4751056000.0,4436338000.0,4123197000.0,3974019000.0
ebit,2077721000.0,2033134000.0,1861435000.0,1760730000.0
operatingIncome,2077721000.0,2033134000.0,1861435000.0,1760730000.0
otherOperatingExpenses,1422762000.0,1288545000.0,1212404000.0,1202133000.0
interestExpense,-582334000.0,-538452000.0,-533197000.0,-498805000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,344223000.0,346186000.0,273499000.0,288972000.0
totalRevenue,9863085000.0,8904430000.0,8526470000.0,8448201000.0
totalOperatingExpenses,7785364000.0,6871296000.0,6665035000.0,6687471000.0
costOfRevenue,5112029000.0,4468092000.0,4403273000.0,4474182000.0
totalOtherIncomeExpenseNet,-505452000.0,-474262000.0,-671364000.0,-431239000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1228046000.0,1212686000.0,916572000.0,1040519000.0
netIncomeApplicableToCommonShares,1220527000.0,1205167000.0,909053000.0,1033000000.0
investments,-294472000.0,-207372000.0,-387003000.0,-67788000.0
changeToLiabilities,-29201000.0,122567000.0,14866000.0,24481000.0
totalCashflowsFromInvestingActivities,-3447374000.0,-4129275000.0,-3274288000.0,-2437046000.0
netBorrowings,2300415000.0,2403509000.0,991960000.0,1406023000.0
totalCashFromFinancingActivities,1440832000.0,2594590000.0,1172450000.0,729937000.0
changeToOperatingActivities,5569000.0,-9591000.0,-11603000.0,78226000.0
changeInCash,-43942000.0,147887000.0,-92261000.0,123434000.0
totalCashFromOperatingActivities,1962600000.0,1682572000.0,2009577000.0,1830543000.0
depreciation,1103008000.0,981380000.0,885278000.0,819930000.0
otherCashflowsFromInvestingActivities,22178000.0,23809000.0,24204000.0,6754000.0
dividendsPaid,-805439000.0,-744665000.0,-663239000.0,-640110000.0
changeToInventory,-1859000.0,-15404000.0,-8074000.0,-831000.0
changeToAccountReceivables,-135505000.0,-351843000.0,-98716000.0,-141433000.0
otherCashflowsFromFinancingActivities,-54144000.0,-13913000.0,-24821000.0,-35976000.0
changeToNetincome,-321283000.0,-471202000.0,139522000.0,-167086000.0
capitalExpenditures,-3175080000.0,-4056248000.0,-2911489000.0,-2569936000.0
issuanceOfStock,,949659000.0,868550000.0,868550000.0
annualDilutedAverageShares,344631056.0,339847062.0,322941636.0,317993934.0
