,2021,2020,2019,2018
intangibleAssets,5855000000.0,4175000000.0,4638000000.0,4846000000.0
capitalSurplus,12449000000.0,12329000000.0,12200000000.0,12090000000.0
totalLiab,17576000000.0,16851000000.0,16672000000.0,14950000000.0
totalStockholderEquity,16413000000.0,14930000000.0,16082000000.0,16107000000.0
minorityInterest,38000000.0,43000000.0,51000000.0,35000000.0
otherCurrentLiab,1980000000.0,2290000000.0,1868000000.0,1749000000.0
totalAssets,34027000000.0,31824000000.0,32805000000.0,31092000000.0
commonStock,4000000.0,4000000.0,4000000.0,4000000.0
otherCurrentAssets,54000000.0,2556000000.0,1439000000.0,59000000.0
retainedEarnings,7594000000.0,6794000000.0,8170000000.0,8161000000.0
otherLiab,3117000000.0,3526000000.0,3348000000.0,2999000000.0
goodWill,14751000000.0,12903000000.0,13456000000.0,13328000000.0
treasuryStock,-3634000000.0,-4197000000.0,-4292000000.0,-4148000000.0
otherAssets,1560000000.0,1379000000.0,1991000000.0,1839000000.0
cash,297000000.0,438000000.0,370000000.0,283000000.0
totalCurrentLiabilities,7212000000.0,5881000000.0,5132000000.0,5154000000.0
deferredLongTermAssetCharges,392000000.0,426000000.0,372000000.0,293000000.0
shortLongTermDebt,1720000000.0,1039000000.0,242000000.0,340000000.0
otherStockholderEquity,-3634000000.0,-4197000000.0,-4292000000.0,-4148000000.0
propertyPlantEquipment,3506000000.0,3392000000.0,3932000000.0,3467000000.0
totalCurrentAssets,7511000000.0,9178000000.0,8728000000.0,7590000000.0
longTermInvestments,844000000.0,797000000.0,60000000.0,22000000.0
netTangibleAssets,-4193000000.0,-2148000000.0,-2012000000.0,-2067000000.0
shortTermInvestments,271000000.0,664000000.0,221000000.0,157000000.0
netReceivables,3484000000.0,2994000000.0,3538000000.0,3952000000.0
longTermDebt,6887000000.0,7088000000.0,7840000000.0,6797000000.0
inventory,2969000000.0,2109000000.0,2805000000.0,2785000000.0
accountsPayable,2797000000.0,1987000000.0,2114000000.0,2130000000.0
researchDevelopment,616000000.0,551000000.0,606000000.0,584000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,2896000000.0,1746000000.0,2591000000.0,2424000000.0
netIncome,2144000000.0,1410000000.0,2211000000.0,2145000000.0
sellingGeneralAdministrative,3199000000.0,3113000000.0,3589000000.0,3542000000.0
grossProfit,6335000000.0,5450000000.0,7052000000.0,7098000000.0
ebit,2520000000.0,1786000000.0,2857000000.0,2972000000.0
operatingIncome,2520000000.0,1786000000.0,2857000000.0,2972000000.0
otherOperatingExpenses,,,,
interestExpense,-144000000.0,-221000000.0,-272000000.0,-258000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,750000000.0,331000000.0,378000000.0,278000000.0
totalRevenue,19628000000.0,17858000000.0,21390000000.0,21609000000.0
totalOperatingExpenses,17108000000.0,16072000000.0,18533000000.0,18637000000.0
costOfRevenue,13293000000.0,12408000000.0,14338000000.0,14511000000.0
totalOtherIncomeExpenseNet,376000000.0,-40000000.0,-266000000.0,-548000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2146000000.0,1415000000.0,2213000000.0,2146000000.0
netIncomeApplicableToCommonShares,2144000000.0,1410000000.0,2211000000.0,2145000000.0
investments,255000000.0,-460000000.0,-81000000.0,355000000.0
changeToLiabilities,832000000.0,76000000.0,147000000.0,23000000.0
totalCashflowsFromInvestingActivities,-1764000000.0,397000000.0,-1866000000.0,-398000000.0
netBorrowings,805000000.0,-503000000.0,725000000.0,-164000000.0
totalCashFromFinancingActivities,-535000000.0,-3258000000.0,-1494000000.0,-2581000000.0
changeToOperatingActivities,76000000.0,64000000.0,-32000000.0,29000000.0
issuanceOfStock,63000000.0,71000000.0,66000000.0,29000000.0
changeInCash,-141000000.0,68000000.0,87000000.0,-278000000.0
repurchaseOfStock,-169000000.0,-1645000000.0,-1075000000.0,-1295000000.0
effectOfExchangeRate,-5000000.0,-15000000.0,-4000000.0,43000000.0
totalCashFromOperatingActivities,2163000000.0,2944000000.0,3451000000.0,2658000000.0
depreciation,922000000.0,811000000.0,884000000.0,903000000.0
otherCashflowsFromInvestingActivities,-73000000.0,38000000.0,18000000.0,-188000000.0
dividendsPaid,-1219000000.0,-1175000000.0,-1201000000.0,-1149000000.0
changeToInventory,-629000000.0,371000000.0,-60000000.0,-242000000.0
changeToAccountReceivables,-271000000.0,219000000.0,172000000.0,-152000000.0
otherCashflowsFromFinancingActivities,-15000000.0,-6000000.0,-9000000.0,-2000000.0
changeToNetincome,-594000000.0,88000000.0,113000000.0,-49000000.0
capitalExpenditures,-575000000.0,-389000000.0,-587000000.0,-565000000.0
annualDilutedAverageShares,401600000.0,404000000.0,420800000.0,436900000.0
