,2021,2020,2019,2018
capitalSurplus,6766239000.0,6549923000.0,6564436000.0,5951431000.0
totalLiab,47529438000.0,47058660000.0,41245827000.0,39211359000.0
totalStockholderEquity,11637284000.0,10926142000.0,10223675000.0,8844305000.0
minorityInterest,287520000.0,254410000.0,254410000.0,219402000.0
deferredLongTermLiab,6854209000.0,6316971000.0,5531947000.0,4985992000.0
otherCurrentLiab,1008192000.0,1195034000.0,1054459000.0,1097819000.0
totalAssets,59454242000.0,58239212000.0,51723912000.0,48275066000.0
commonStock,2720000.0,2700000.0,2700000.0,2616000.0
otherCurrentAssets,467816000.0,231530000.0,268568000.0,275211000.0
retainedEarnings,10240552000.0,9897182000.0,9257609000.0,8721150000.0
otherLiab,16285441000.0,18568610000.0,18311986000.0,18230402000.0
goodWill,377172000.0,377172000.0,377172000.0,377172000.0
treasuryStock,-5372227000.0,-5523663000.0,-5601070000.0,-5830892000.0
otherAssets,12692284000.0,13891814000.0,12288739000.0,12223737000.0
cash,442559000.0,1759099000.0,425722000.0,480975000.0
totalCurrentLiabilities,6190742000.0,7060506000.0,5620463000.0,5443544000.0
deferredLongTermAssetCharges,54186000.0,76289000.0,64461000.0,54593000.0
shortLongTermDebt,1022141000.0,1164015000.0,795012000.0,650009000.0
otherStockholderEquity,-332528000.0,-449207000.0,-446920000.0,-557173000.0
propertyPlantEquipment,42601736000.0,39196105000.0,35515557000.0,32278828000.0
totalCurrentAssets,3623595000.0,4559899000.0,3045992000.0,2958064000.0
longTermInvestments,159455000.0,214222000.0,496452000.0,437265000.0
netTangibleAssets,11260112000.0,10548970000.0,9846503000.0,8467133000.0
netReceivables,1370356000.0,1285727000.0,1208592000.0,1114405000.0
longTermDebt,24824439000.0,21171425000.0,17044297000.0,15518303000.0
inventory,1196090000.0,1135119000.0,970465000.0,870147000.0
accountsPayable,2610132000.0,2739437000.0,1499861000.0,1496058000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1309866000.0,1266828000.0,1071401000.0,-188165000.0
netIncome,1118492000.0,1388334000.0,1241226000.0,848661000.0
sellingGeneralAdministrative,100659000.0,212297000.0,119284000.0,3300000.0
grossProfit,4883866000.0,4529214000.0,4269867000.0,3844937000.0
ebit,2020592000.0,1654521000.0,1652240000.0,1140686000.0
operatingIncome,2020592000.0,1654521000.0,1652240000.0,1140686000.0
otherOperatingExpenses,1078329000.0,1049310000.0,1018327000.0,1331509000.0
interestExpense,-864133000.0,-856494000.0,-824400000.0,-782216000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,191374000.0,-121506000.0,-169825000.0,-1036826000.0
totalRevenue,11742896000.0,10113636000.0,10878673000.0,11009452000.0
totalOperatingExpenses,9722304000.0,8459115000.0,9226433000.0,9868766000.0
costOfRevenue,6859030000.0,5584422000.0,6608806000.0,7164515000.0
totalOtherIncomeExpenseNet,-710726000.0,-387693000.0,-580839000.0,-1328851000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1118492000.0,1388334000.0,1241226000.0,848661000.0
netIncomeApplicableToCommonShares,1118492000.0,1388334000.0,1241226000.0,848661000.0
investments,2343000.0,-12755000.0,30319000.0,-54500000.0
changeToLiabilities,269797000.0,137457000.0,-71898000.0,97312000.0
totalCashflowsFromInvestingActivities,-6179276000.0,-4772306000.0,-4510242000.0,-4105987000.0
netBorrowings,3054288000.0,4147585000.0,1689405000.0,1433829000.0
totalCashFromFinancingActivities,2562023000.0,3415817000.0,1638362000.0,1420442000.0
changeToOperatingActivities,-1755612000.0,-1048061000.0,-822476000.0,-1033723000.0
issuanceOfStock,206753000.0,42600000.0,701512000.0,602587000.0
changeInCash,-1316540000.0,1333377000.0,-55253000.0,-300298000.0
totalCashFromOperatingActivities,2300713000.0,2689866000.0,2816627000.0,2385247000.0
depreciation,1936533000.0,1875889000.0,1781511000.0,1652047000.0
otherCashflowsFromInvestingActivities,152599000.0,277880000.0,-82850000.0,64633000.0
dividendsPaid,-775122000.0,-748342000.0,-711573000.0,-647704000.0
changeToInventory,18359000.0,-27458000.0,-28173000.0,45839000.0
changeToAccountReceivables,-84629000.0,-139296000.0,-101227000.0,98546000.0
otherCashflowsFromFinancingActivities,76104000.0,-26026000.0,-40982000.0,31730000.0
changeToNetincome,818956000.0,295445000.0,838448000.0,637293000.0
capitalExpenditures,-6351639000.0,-5037431000.0,-4486643000.0,-4141022000.0
annualDilutedAverageShares,201873024.0,201102220.0,196999284.0,183378513.0
