,2021,2020,2019,2018
totalLiab,19278800000.0,18396300000.0,17430600000.0,15607400000.0
totalStockholderEquity,9244400000.0,8733400000.0,8571900000.0,10028200000.0
minorityInterest,-2700000.0,-14900000.0,-26600000.0,-37500000.0
deferredLongTermLiab,1991100000.0,1868200000.0,1740500000.0,1757900000.0
otherCurrentLiab,402700000.0,392700000.0,441300000.0,465500000.0
totalAssets,28520500000.0,27114800000.0,25975900000.0,25598100000.0
commonStock,7205500000.0,7080000000.0,7070400000.0,8685200000.0
otherCurrentAssets,818500000.0,589900000.0,570700000.0,668900000.0
retainedEarnings,2082900000.0,1702800000.0,1551500000.0,1346000000.0
otherLiab,6770200000.0,6849600000.0,6329200000.0,6052800000.0
goodWill,2336600000.0,2336600000.0,2336600000.0,2338900000.0
treasuryStock,-44000000.0,-49400000.0,-50000000.0,-3000000.0
otherAssets,3385800000.0,4202400000.0,2954700000.0,2760600000.0
cash,26200000.0,144900000.0,23200000.0,160300000.0
totalCurrentLiabilities,3102900000.0,2355800000.0,2335900000.0,2867200000.0
shortLongTermDebt,389300000.0,455200000.0,283400000.0,735700000.0
otherStockholderEquity,-44000000.0,-49400000.0,-50000000.0,-3000000.0
propertyPlantEquipment,21087800000.0,18951500000.0,19216900000.0,18817600000.0
totalCurrentAssets,1710300000.0,1624300000.0,1467700000.0,1681000000.0
netTangibleAssets,6907800000.0,6396800000.0,6235300000.0,7689300000.0
netReceivables,249600000.0,336800000.0,314000000.0,261700000.0
longTermDebt,9297900000.0,9190900000.0,8765500000.0,6687400000.0
inventory,566700000.0,504500000.0,481600000.0,511000000.0
accountsPayable,639700000.0,654000000.0,528800000.0,451500000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1009300000.0,732200000.0,782600000.0,605000000.0
netIncome,879700000.0,618300000.0,669900000.0,535800000.0
sellingGeneralAdministrative,55600000.0,58600000.0,55600000.0,47800000.0
grossProfit,2656700000.0,2486800000.0,2413000000.0,1920800000.0
ebit,1324200000.0,1183900000.0,1130200000.0,985100000.0
operatingIncome,1324200000.0,1183900000.0,1130200000.0,985100000.0
otherOperatingExpenses,380500000.0,364200000.0,365500000.0,269100000.0
interestExpense,-372600000.0,-383900000.0,-374000000.0,-279600000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,117400000.0,102200000.0,97000000.0,59000000.0
totalRevenue,5586700000.0,4913400000.0,5147800000.0,4275900000.0
totalOperatingExpenses,4262500000.0,3729500000.0,4017600000.0,3290800000.0
costOfRevenue,2930000000.0,2426600000.0,2734800000.0,2355100000.0
totalOtherIncomeExpenseNet,-314900000.0,-451700000.0,-347600000.0,-380100000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,891900000.0,630000000.0,685600000.0,546000000.0
netIncomeApplicableToCommonShares,879700000.0,618300000.0,669900000.0,535800000.0
changeToLiabilities,-55100000.0,134300000.0,16900000.0,56700000.0
totalCashflowsFromInvestingActivities,-1913800000.0,-1533700000.0,-1080300000.0,197400000.0
netBorrowings,838100000.0,380200000.0,1370500000.0,200000.0
totalCashFromFinancingActivities,443400000.0,-98400000.0,-805800000.0,-1538400000.0
changeToOperatingActivities,-561400000.0,-65500000.0,14300000.0,-170200000.0
issuanceOfStock,113200000.0,113200000.0,113200000.0,113200000.0
changeInCash,-118700000.0,121700000.0,-137100000.0,156800000.0
totalCashFromOperatingActivities,1351700000.0,1753800000.0,1749000000.0,1497800000.0
depreciation,947800000.0,938400000.0,913100000.0,662400000.0
otherCashflowsFromInvestingActivities,58700000.0,26600000.0,129800000.0,112900000.0
dividendsPaid,-497900000.0,-465000000.0,-462500000.0,-290900000.0
changeToInventory,-61600000.0,-22300000.0,29900000.0,54700000.0
changeToAccountReceivables,69900000.0,-4900000.0,-23100000.0,265100000.0
otherCashflowsFromFinancingActivities,-10000000.0,-13600000.0,-85100000.0,-21300000.0
changeToNetincome,65900000.0,123400000.0,110700000.0,148500000.0
capitalExpenditures,-1972500000.0,-1560300000.0,-1210100000.0,-1069700000.0
repurchaseOfStock,,,-1628700000.0,-1042300000.0
annualDilutedAverageShares,229600000.0,227500000.0,239900000.0,214100000.0
