,2021,2020,2019,2018
intangibleAssets,323600000.0,331400000.0,336500000.0,343200000.0
capitalSurplus,1700400000.0,1438100000.0,1623300000.0,1384400000.0
totalLiab,2666700000.0,2662800000.0,2339800000.0,2183300000.0
totalStockholderEquity,5835900000.0,4574300000.0,4148300000.0,3140400000.0
otherCurrentLiab,158900000.0,154200000.0,113400000.0,250500000.0
totalAssets,8502600000.0,7237100000.0,6488100000.0,5323700000.0
commonStock,642000000.0,636400000.0,218100000.0,215200000.0
otherCurrentAssets,237100000.0,208200000.0,168000000.0,131800000.0
retainedEarnings,6068100000.0,4565000000.0,3741600000.0,2694700000.0
otherLiab,969600000.0,1101200000.0,784100000.0,712900000.0
goodWill,1167900000.0,1173200000.0,1167700000.0,1112200000.0
treasuryStock,-2574600000.0,-2065200000.0,-1434700000.0,-1153900000.0
otherAssets,357500000.0,350500000.0,274000000.0,207600000.0
cash,862800000.0,1183200000.0,1179100000.0,714100000.0
totalCurrentLiabilities,1032300000.0,893900000.0,902400000.0,876600000.0
deferredLongTermAssetCharges,246700000.0,230900000.0,172200000.0,174000000.0
otherStockholderEquity,-157700000.0,-161100000.0,-156000000.0,-138500000.0
propertyPlantEquipment,1638700000.0,1489400000.0,1140400000.0,867500000.0
totalCurrentAssets,3180700000.0,3091000000.0,2984000000.0,2286900000.0
longTermInvestments,1834200000.0,801600000.0,585500000.0,506300000.0
netTangibleAssets,4344400000.0,3069700000.0,2644100000.0,1685000000.0
shortTermInvestments,604000000.0,219400000.0,337800000.0,242400000.0
netReceivables,664900000.0,602800000.0,599100000.0,537300000.0
longTermDebt,595700000.0,595000000.0,594400000.0,593800000.0
inventory,726700000.0,802300000.0,640900000.0,607000000.0
accountsPayable,204500000.0,196500000.0,180400000.0,134000000.0
researchDevelopment,903100000.0,760700000.0,752700000.0,622200000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,1702000000.0,916700000.0,1166500000.0,761400000.0
minorityInterest,,,,
netIncome,1503100000.0,823400000.0,1046900000.0,722200000.0
sellingGeneralAdministrative,1494000000.0,1228800000.0,1242400000.0,1088400000.0
grossProfit,3983600000.0,3305700000.0,3233600000.0,2783400000.0
ebit,1586500000.0,1316200000.0,1238500000.0,1072800000.0
operatingIncome,1586500000.0,1316200000.0,1238500000.0,1072800000.0
otherOperatingExpenses,,,,
interestExpense,-18400000.0,-15800000.0,-20700000.0,-29900000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,198900000.0,93300000.0,119600000.0,39200000.0
totalRevenue,5232500000.0,4386300000.0,4348000000.0,3722800000.0
totalOperatingExpenses,3646000000.0,3070100000.0,3109500000.0,2650000000.0
costOfRevenue,1248900000.0,1080600000.0,1114400000.0,939400000.0
totalOtherIncomeExpenseNet,115500000.0,-399500000.0,-72000000.0,-311400000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1503100000.0,823400000.0,1046900000.0,722200000.0
netIncomeApplicableToCommonShares,1503100000.0,823400000.0,1046900000.0,722200000.0
investments,-1350100000.0,-74700000.0,-158200000.0,342000000.0
changeToLiabilities,195200000.0,-84500000.0,116500000.0,12500000.0
totalCashflowsFromInvestingActivities,-1722500000.0,-531100000.0,-595800000.0,76700000.0
netBorrowings,-1800000.0,-800000.0,-10000000.0,-437300000.0
totalCashFromFinancingActivities,-356300000.0,-486900000.0,-115600000.0,-1101200000.0
changeToOperatingActivities,-39800000.0,258300000.0,-167100000.0,197000000.0
issuanceOfStock,158600000.0,140500000.0,160500000.0,147000000.0
changeInCash,-332800000.0,15800000.0,468500000.0,-104300000.0
repurchaseOfStock,-512800000.0,-625400000.0,-263300000.0,-795500000.0
effectOfExchangeRate,13900000.0,-20500000.0,-3000000.0,-6500000.0
totalCashFromOperatingActivities,1732100000.0,1054300000.0,1182900000.0,926700000.0
depreciation,134800000.0,107200000.0,89300000.0,77400000.0
otherCashflowsFromInvestingActivities,-42600000.0,-49100000.0,-59000000.0,-23600000.0
changeToInventory,19000000.0,-120600000.0,-105400000.0,-65700000.0
changeToAccountReceivables,-91100000.0,41900000.0,-88000000.0,-28700000.0
otherCashflowsFromFinancingActivities,-300000.0,-1200000.0,-2800000.0,-15400000.0
changeToNetincome,-51100000.0,81500000.0,247500000.0,169800000.0
capitalExpenditures,-325800000.0,-407000000.0,-254400000.0,-238700000.0
annualDilutedAverageShares,631200000.0,631900000.0,636600000.0,640800000.0
