,2021,2020,2019,2018
totalLiab,98218000000.0,94449000000.0,90404000000.0,86587000000.0
totalStockholderEquity,34393000000.0,32585000000.0,32224000000.0,30741000000.0
minorityInterest,402000000.0,2283000000.0,2349000000.0,2306000000.0
deferredLongTermLiab,8224000000.0,8759000000.0,8335000000.0,8237000000.0
otherCurrentLiab,3617000000.0,3506000000.0,2681000000.0,3782000000.0
totalAssets,133013000000.0,129317000000.0,124977000000.0,119634000000.0
commonStock,20324000000.0,19373000000.0,19274000000.0,19116000000.0
otherCurrentAssets,5102000000.0,4771000000.0,3159000000.0,4431000000.0
retainedEarnings,16942000000.0,16735000000.0,16267000000.0,14743000000.0
otherLiab,45425000000.0,45106000000.0,43193000000.0,40718000000.0
goodWill,6677000000.0,6677000000.0,6677000000.0,6677000000.0
treasuryStock,-2873000000.0,-3523000000.0,-3317000000.0,-3118000000.0
otherAssets,29558000000.0,28898000000.0,27312000000.0,25529000000.0
cash,1182000000.0,663000000.0,587000000.0,1349000000.0
totalCurrentLiabilities,16111000000.0,12771000000.0,14185000000.0,11404000000.0
shortLongTermDebt,3373000000.0,1819000000.0,4710000000.0,1349000000.0
otherStockholderEquity,-2750000000.0,-3400000000.0,-3194000000.0,-2995000000.0
propertyPlantEquipment,82693000000.0,81023000000.0,78749000000.0,73719000000.0
totalCurrentAssets,13957000000.0,12562000000.0,12037000000.0,13328000000.0
longTermInvestments,128000000.0,157000000.0,202000000.0,381000000.0
netTangibleAssets,27716000000.0,25908000000.0,25547000000.0,24064000000.0
netReceivables,5804000000.0,5406000000.0,6523000000.0,5863000000.0
longTermDebt,35714000000.0,35483000000.0,31719000000.0,34465000000.0
inventory,1869000000.0,1722000000.0,1768000000.0,1685000000.0
accountsPayable,4136000000.0,3562000000.0,3560000000.0,3800000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2199000000.0,2327000000.0,3802000000.0,2197000000.0
netIncome,1706000000.0,1963000000.0,2936000000.0,2005000000.0
sellingGeneralAdministrative,-91000000.0,-53000000.0,-13000000.0,47000000.0
grossProfit,10183000000.0,9952000000.0,10273000000.0,10003000000.0
ebit,4425000000.0,4232000000.0,4531000000.0,4416000000.0
operatingIncome,4425000000.0,4232000000.0,4531000000.0,4416000000.0
otherOperatingExpenses,1766000000.0,1714000000.0,1732000000.0,1783000000.0
interestExpense,-1571000000.0,-1635000000.0,-1616000000.0,-1554000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,370000000.0,373000000.0,774000000.0,118000000.0
totalRevenue,36347000000.0,33039000000.0,34438000000.0,35978000000.0
totalOperatingExpenses,31922000000.0,28807000000.0,29907000000.0,31562000000.0
costOfRevenue,26164000000.0,23087000000.0,24165000000.0,25975000000.0
totalOtherIncomeExpenseNet,-2226000000.0,-1905000000.0,-729000000.0,-2219000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1829000000.0,1954000000.0,3028000000.0,2079000000.0
netIncomeApplicableToCommonShares,1706000000.0,1963000000.0,2936000000.0,2005000000.0
changeToLiabilities,440000000.0,-129000000.0,-425000000.0,551000000.0
totalCashflowsFromInvestingActivities,-3317000000.0,-4336000000.0,-7260000000.0,-7834000000.0
netBorrowings,3140000000.0,1728000000.0,1320000000.0,1116000000.0
totalCashFromFinancingActivities,758000000.0,145000000.0,-58000000.0,-219000000.0
changeToOperatingActivities,-5488000000.0,-5422000000.0,-2357000000.0,-1309000000.0
issuanceOfStock,80000000.0,45000000.0,112000000.0,105000000.0
changeInCash,453000000.0,44000000.0,-659000000.0,591000000.0
totalCashFromOperatingActivities,3012000000.0,4235000000.0,6659000000.0,8644000000.0
depreciation,5026000000.0,4984000000.0,5023000000.0,4820000000.0
otherCashflowsFromInvestingActivities,3787000000.0,3666000000.0,-24000000.0,-177000000.0
dividendsPaid,-1497000000.0,-1492000000.0,-1408000000.0,-1332000000.0
changeToInventory,-141000000.0,-85000000.0,-87000000.0,-37000000.0
changeToAccountReceivables,-703000000.0,697000000.0,-243000000.0,-565000000.0
otherCashflowsFromFinancingActivities,-965000000.0,-136000000.0,-82000000.0,-108000000.0
changeToNetincome,1251000000.0,1499000000.0,1348000000.0,2284000000.0
capitalExpenditures,-7981000000.0,-8048000000.0,-7289000000.0,-7748000000.0
annualDilutedAverageShares,980000000.0,977000000.0,974000000.0,969000000.0
