,2021,2020,2019,2018
capitalSurplus,3160000.0,157496000.0,3203000.0,1896000.0
totalLiab,4111938000.0,2264276000.0,1494665000.0,1326839000.0
totalStockholderEquity,3494426000.0,2659637000.0,2195028000.0,1986838000.0
minorityInterest,3565000.0,3590000.0,2191000.0,882000.0
otherCurrentLiab,1228192000.0,425159000.0,177810000.0,208767000.0
totalAssets,7609929000.0,4927503000.0,3691884000.0,3314559000.0
commonStock,1672000.0,1693000.0,1696000.0,1716000.0
otherCurrentAssets,1096067000.0,437698000.0,224341000.0,229551000.0
retainedEarnings,3620008000.0,2600201000.0,2321316000.0,2088707000.0
goodWill,7927000.0,7927000.0,7927000.0,7927000.0
treasuryStock,-130414000.0,-99753000.0,-131187000.0,-105481000.0
otherAssets,19929000.0,16884000.0,24655000.0,67711000.0
cash,1728692000.0,1527791000.0,1230491000.0,923735000.0
totalCurrentLiabilities,3726297000.0,1893043000.0,1168318000.0,1326839000.0
deferredLongTermAssetCharges,729000.0,,8034000.0,40465000.0
otherStockholderEquity,-130414000.0,-99753000.0,-131187000.0,-105481000.0
propertyPlantEquipment,947028000.0,939148000.0,889379000.0,504105000.0
totalCurrentAssets,6635045000.0,3963544000.0,2769923000.0,2734816000.0
netTangibleAssets,3486499000.0,2651710000.0,2187101000.0,1978911000.0
netReceivables,3810286000.0,1998055000.0,1315091000.0,1581530000.0
accountsPayable,2012461000.0,1136859000.0,735695000.0,902259000.0
otherLiab,,7048000.0,,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1924616000.0,956564000.0,795794000.0,818329000.0
netIncome,1415492000.0,696140000.0,590395000.0,618199000.0
sellingGeneralAdministrative,16026000.0,18436000.0,44002000.0,45346000.0
grossProfit,2216724000.0,1219724000.0,1047971000.0,1074301000.0
ebit,1909326000.0,940437000.0,766692000.0,796563000.0
operatingIncome,1909326000.0,940437000.0,766692000.0,796563000.0
otherOperatingExpenses,240060000.0,203892000.0,186327000.0,178373000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,505771000.0,258350000.0,203778000.0,198539000.0
totalRevenue,16523517000.0,9584393000.0,7942417000.0,8138365000.0
totalOperatingExpenses,14614191000.0,8643956000.0,7175725000.0,7341802000.0
costOfRevenue,14306793000.0,8364669000.0,6894446000.0,7064064000.0
totalOtherIncomeExpenseNet,15290000.0,16127000.0,29102000.0,21766000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1418845000.0,698214000.0,592016000.0,619790000.0
netIncomeApplicableToCommonShares,1415492000.0,696140000.0,590395000.0,618199000.0
changeToLiabilities,1845642000.0,648151000.0,-219330000.0,129964000.0
totalCashflowsFromInvestingActivities,-36645000.0,-46027000.0,-46015000.0,-48399000.0
netBorrowings,7512000.0,43000.0,246000.0,246000.0
totalCashFromFinancingActivities,-613546000.0,-331494000.0,-417796000.0,-627738000.0
changeToOperatingActivities,-712370000.0,-190077000.0,33641000.0,-44878000.0
issuanceOfStock,106105000.0,186345000.0,148245000.0,182732000.0
changeInCash,200901000.0,297300000.0,306756000.0,-127364000.0
repurchaseOfStock,-529766000.0,-342953000.0,-395734000.0,-651146000.0
effectOfExchangeRate,-17402000.0,19852000.0,-1122000.0,-24031000.0
totalCashFromOperatingActivities,868494000.0,654969000.0,771689000.0,572804000.0
depreciation,51312000.0,56959000.0,50950000.0,54019000.0
otherCashflowsFromInvestingActivities,-398000.0,1516000.0,1007000.0,-925000.0
dividendsPaid,-195766000.0,-174929000.0,-170553000.0,-156840000.0
changeToAccountReceivables,-1869827000.0,-647193000.0,265919000.0,-214971000.0
otherCashflowsFromFinancingActivities,-1631000.0,-1631000.0,-1631000.0,-2484000.0
changeToNetincome,80378000.0,82487000.0,68586000.0,50162000.0
capitalExpenditures,-36247000.0,-47543000.0,-47022000.0,-47474000.0
annualDilutedAverageShares,171250000.0,170896000.0,174209000.0,177833000.0
