,2021,2020,2019,2018
intangibleAssets,2288000000.0,2413000000.0,2697000000.0,2821000000.0
capitalSurplus,14229000000.0,13566000000.0,12978000000.0,9549000000.0
totalLiab,17996000000.0,14651000000.0,15880000000.0,12352000000.0
totalStockholderEquity,2057000000.0,1510000000.0,3967000000.0,4104000000.0
minorityInterest,1495000000.0,1507000000.0,1569000000.0,1577000000.0
otherCurrentLiab,6558000000.0,3839000000.0,7002000000.0,5561000000.0
totalAssets,21548000000.0,18690000000.0,21416000000.0,18033000000.0
otherCurrentAssets,2278000000.0,1161000000.0,1005000000.0,307000000.0
retainedEarnings,-1761000000.0,-1781000000.0,879000000.0,517000000.0
otherLiab,471000000.0,516000000.0,445000000.0,575000000.0
goodWill,7171000000.0,7380000000.0,8127000000.0,8120000000.0
treasuryStock,-10411000000.0,-10275000000.0,-9890000000.0,-5962000000.0
otherAssets,766000000.0,662000000.0,148000000.0,72000000.0
cash,4111000000.0,3363000000.0,3315000000.0,2443000000.0
totalCurrentLiabilities,9450000000.0,5406000000.0,10714000000.0,8060000000.0
deferredLongTermAssetCharges,766000000.0,659000000.0,145000000.0,69000000.0
shortLongTermDebt,735000000.0,,749000000.0,
otherStockholderEquity,-149000000.0,-178000000.0,-217000000.0,-220000000.0
propertyPlantEquipment,1692000000.0,1933000000.0,1916000000.0,1048000000.0
totalCurrentAssets,8181000000.0,5634000000.0,7735000000.0,5197000000.0
longTermInvestments,1450000000.0,668000000.0,793000000.0,775000000.0
netTangibleAssets,-7402000000.0,-8283000000.0,-6857000000.0,-6837000000.0
shortTermInvestments,200000000.0,24000000.0,526000000.0,28000000.0
netReceivables,1349000000.0,821000000.0,2594000000.0,2175000000.0
longTermDebt,7715000000.0,8216000000.0,4189000000.0,3717000000.0
accountsPayable,1333000000.0,602000000.0,1921000000.0,1699000000.0
researchDevelopment,1074000000.0,1068000000.0,1263000000.0,1122000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,-38000000.0,-3151000000.0,775000000.0,485000000.0
netIncome,12000000.0,-2612000000.0,565000000.0,406000000.0
sellingGeneralAdministrative,4926000000.0,3116000000.0,6867000000.0,6495000000.0
grossProfit,7076000000.0,3550000000.0,10001000000.0,9359000000.0
ebit,262000000.0,-1527000000.0,961000000.0,783000000.0
operatingIncome,262000000.0,-1527000000.0,961000000.0,783000000.0
otherOperatingExpenses,,,,-59000000.0
interestExpense,-351000000.0,-360000000.0,-173000000.0,-190000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-53000000.0,-423000000.0,203000000.0,87000000.0
totalRevenue,8598000000.0,5199000000.0,12067000000.0,11223000000.0
totalOperatingExpenses,8336000000.0,6726000000.0,11106000000.0,10440000000.0
costOfRevenue,1522000000.0,1649000000.0,2066000000.0,1864000000.0
totalOtherIncomeExpenseNet,-300000000.0,-1624000000.0,-186000000.0,-298000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,15000000.0,-2728000000.0,572000000.0,398000000.0
netIncomeApplicableToCommonShares,-269000000.0,-2687000000.0,565000000.0,406000000.0
investments,-178000000.0,476000000.0,-494000000.0,334000000.0
changeToLiabilities,3417000000.0,-4038000000.0,1521000000.0,395000000.0
totalCashflowsFromInvestingActivities,-931000000.0,-263000000.0,-1553000000.0,-559000000.0
netBorrowings,258000000.0,3195000000.0,831000000.0,-500000000.0
totalCashFromFinancingActivities,-973000000.0,4077000000.0,175000000.0,-1489000000.0
changeToOperatingActivities,-86000000.0,-588000000.0,61000000.0,167000000.0
issuanceOfStock,503000000.0,319000000.0,301000000.0,166000000.0
changeInCash,1667000000.0,41000000.0,1392000000.0,-212000000.0
repurchaseOfStock,-165000000.0,-425000000.0,-743000000.0,-923000000.0
effectOfExchangeRate,-177000000.0,61000000.0,3000000.0,-139000000.0
totalCashFromOperatingActivities,3748000000.0,-3834000000.0,2767000000.0,1975000000.0
depreciation,226000000.0,300000000.0,354000000.0,480000000.0
otherCashflowsFromInvestingActivities,-20000000.0,79000000.0,101000000.0,38000000.0
dividendsPaid,-67000000.0,-123000000.0,-195000000.0,-186000000.0
changeToAccountReceivables,-721000000.0,1781000000.0,-368000000.0,-282000000.0
otherCashflowsFromFinancingActivities,-266000000.0,-21000000.0,-19000000.0,-46000000.0
changeToNetincome,302000000.0,787000000.0,101000000.0,228000000.0
capitalExpenditures,-673000000.0,-797000000.0,-1160000000.0,-878000000.0
annualDilutedAverageShares,149734000.0,141414000.0,149884000.0,152889000.0
