,2021,2020,2019,2018
intangibleAssets,36739000.0,30461000.0,29574000.0,10762000.0
capitalSurplus,3285948000.0,3000458000.0,2868681000.0,2640705000.0
totalLiab,6688501000.0,6459724000.0,5610683000.0,5062556000.0
totalStockholderEquity,3116496000.0,2547779000.0,2539961000.0,2413724000.0
minorityInterest,669480000.0,388345000.0,381733000.0,371698000.0
otherCurrentLiab,63582000.0,47126000.0,45264000.0,45197000.0
totalAssets,10474477000.0,9395848000.0,8532377000.0,7847978000.0
commonStock,1339000.0,1314000.0,1295000.0,1271000.0
otherCurrentAssets,5068000.0,18885000.0,4987000.0,15194000.0
retainedEarnings,-128245000.0,-354900000.0,-301049000.0,-262902000.0
otherLiab,127425000.0,174473000.0,101368000.0,102252000.0
treasuryStock,-42546000.0,-99093000.0,-28966000.0,34650000.0
otherAssets,141847000.0,111275000.0,93301000.0,123166000.0
cash,71126000.0,109124000.0,65746000.0,57496000.0
totalCurrentLiabilities,237722000.0,177138000.0,156646000.0,146658000.0
otherStockholderEquity,-42546000.0,-99093000.0,-28966000.0,34650000.0
propertyPlantEquipment,9042913000.0,8134849000.0,7950915000.0,7473710000.0
totalCurrentAssets,495652000.0,421819000.0,120533000.0,115014000.0
longTermInvestments,757326000.0,697444000.0,338054000.0,125326000.0
netTangibleAssets,3079757000.0,2517318000.0,2510387000.0,2402962000.0
netReceivables,419187000.0,293810000.0,43586000.0,
longTermDebt,5997316000.0,5844628000.0,5077886000.0,4813646000.0
accountsPayable,142285000.0,130012000.0,111382000.0,101461000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,898082000.0,531392000.0,462431000.0,456324000.0
netIncome,827649000.0,481779000.0,419967000.0,415289000.0
sellingGeneralAdministrative,120987000.0,124930000.0,114524000.0,97409000.0
grossProfit,1230417000.0,1019800000.0,979408000.0,909807000.0
ebit,867551000.0,670426000.0,645027000.0,603348000.0
operatingIncome,867551000.0,670426000.0,645027000.0,603348000.0
otherOperatingExpenses,,,,
interestExpense,-166183000.0,-172301000.0,-191268000.0,-183123000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,20324000.0,13810000.0,11308000.0,9244000.0
totalRevenue,1609720000.0,1378573000.0,1319728000.0,1211056000.0
totalOperatingExpenses,742169000.0,708147000.0,674701000.0,607708000.0
costOfRevenue,379303000.0,358773000.0,340320000.0,301249000.0
totalOtherIncomeExpenseNet,30531000.0,-139034000.0,-182596000.0,-147024000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,877758000.0,517582000.0,451123000.0,447080000.0
netIncomeApplicableToCommonShares,826466000.0,481073000.0,419287000.0,414566000.0
investments,-23068000.0,-364421000.0,-193777000.0,-16370000.0
changeToLiabilities,10951000.0,17974000.0,15522000.0,2736000.0
totalCashflowsFromInvestingActivities,-837540000.0,-955427000.0,-621630000.0,-443898000.0
netBorrowings,206691000.0,691270000.0,205267000.0,134244000.0
totalCashFromFinancingActivities,-166711000.0,241471000.0,-88013000.0,-247251000.0
changeToOperatingActivities,-33385000.0,-42000.0,-14815000.0,12720000.0
issuanceOfStock,278172000.0,124440000.0,201890000.0,91400000.0
changeInCash,-51815000.0,57276000.0,-1957000.0,-13354000.0
totalCashFromOperatingActivities,952436000.0,771232000.0,707686000.0,677795000.0
depreciation,239451000.0,222873000.0,219857000.0,209050000.0
otherCashflowsFromInvestingActivities,-94017000.0,-240489000.0,-28132000.0,11376000.0
dividendsPaid,-600994000.0,-467765000.0,-458114000.0,-424907000.0
otherCashflowsFromFinancingActivities,-50580000.0,-38601000.0,-37056000.0,-47988000.0
changeToNetincome,-105245000.0,34016000.0,50424000.0,19027000.0
capitalExpenditures,-3659000.0,-7093000.0,-7764000.0,-4297000.0
repurchaseOfStock,,-67873000.0,-67873000.0,-67873000.0
annualDilutedAverageShares,140016028.0,129584829.0,136433769.0,133159033.0
