,2021,2020,2019,2018
capitalSurplus,22611000000.0,22290000000.0,22165000000.0,22006000000.0
totalLiab,208413000000.0,236450000000.0,225307000000.0,220474000000.0
totalStockholderEquity,48519000000.0,30690000000.0,33185000000.0,35932000000.0
minorityInterest,103000000.0,121000000.0,45000000.0,134000000.0
otherCurrentLiab,17049000000.0,19823000000.0,19599000000.0,17270000000.0
totalAssets,257035000000.0,267261000000.0,258537000000.0,256540000000.0
commonStock,41000000.0,41000000.0,41000000.0,41000000.0
otherCurrentAssets,2473000000.0,3400000000.0,5471000000.0,3930000000.0
retainedEarnings,35769000000.0,18243000000.0,20320000000.0,22668000000.0
otherLiab,26250000000.0,27926000000.0,24767000000.0,24185000000.0
treasuryStock,-9902000000.0,-9884000000.0,-9341000000.0,-8783000000.0
otherAssets,26879000000.0,21269000000.0,19348000000.0,17245000000.0
cash,9577000000.0,10894000000.0,8437000000.0,7111000000.0
totalCurrentLiabilities,90727000000.0,97192000000.0,98132000000.0,95569000000.0
deferredLongTermAssetCharges,13606000000.0,12423000000.0,11863000000.0,10412000000.0
shortLongTermDebt,2813000000.0,715000000.0,1038000000.0,1700000000.0
otherStockholderEquity,-8339000000.0,-8294000000.0,-7728000000.0,-7366000000.0
propertyPlantEquipment,38109000000.0,39674000000.0,39496000000.0,37883000000.0
totalCurrentAssets,108996000000.0,116744000000.0,114047000000.0,114649000000.0
longTermInvestments,4422000000.0,6601000000.0,3719000000.0,2959000000.0
netTangibleAssets,48519000000.0,30288000000.0,32719000000.0,35490000000.0
shortTermInvestments,26880000000.0,19858000000.0,13851000000.0,15925000000.0
netReceivables,3564000000.0,9993000000.0,9237000000.0,11195000000.0
longTermDebt,16711000000.0,22265000000.0,13618000000.0,11833000000.0
inventory,12065000000.0,10808000000.0,10786000000.0,11220000000.0
accountsPayable,21315000000.0,22204000000.0,20673000000.0,21520000000.0
intangibleAssets,,144000000.0,188000000.0,178000000.0
deferredLongTermLiab,,283000000.0,,247000000.0
goodWill,,258000000.0,278000000.0,264000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,17780000000.0,-1116000000.0,-640000000.0,4345000000.0
netIncome,17937000000.0,-1279000000.0,47000000.0,3677000000.0
sellingGeneralAdministrative,5918000000.0,10124000000.0,12763000000.0,9781000000.0
grossProfit,16507000000.0,6123000000.0,12876000000.0,14835000000.0
ebit,10589000000.0,-4001000000.0,113000000.0,5054000000.0
operatingIncome,10589000000.0,-4001000000.0,113000000.0,5054000000.0
otherOperatingExpenses,,,,
interestExpense,-1803000000.0,-1651000000.0,-1049000000.0,-1228000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-130000000.0,160000000.0,-724000000.0,650000000.0
totalRevenue,136341000000.0,127144000000.0,155900000000.0,160338000000.0
totalOperatingExpenses,125752000000.0,131145000000.0,155787000000.0,155284000000.0
costOfRevenue,119834000000.0,121021000000.0,143024000000.0,145503000000.0
totalOtherIncomeExpenseNet,7191000000.0,2885000000.0,-753000000.0,-709000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,17910000000.0,-1276000000.0,84000000.0,3695000000.0
netIncomeApplicableToCommonShares,17937000000.0,-1279000000.0,47000000.0,3677000000.0
investments,5738000000.0,-7229000000.0,-543000000.0,3387000000.0
changeToLiabilities,-36000000.0,6809000000.0,5260000000.0,6781000000.0
totalCashflowsFromInvestingActivities,2745000000.0,-18615000000.0,-13721000000.0,-16261000000.0
netBorrowings,-22990000000.0,3095000000.0,-277000000.0,3139000000.0
totalCashFromFinancingActivities,-23498000000.0,2315000000.0,-3129000000.0,-122000000.0
changeToOperatingActivities,7656000000.0,12104000000.0,1554000000.0,-2408000000.0
changeInCash,-5198000000.0,8194000000.0,834000000.0,-1731000000.0
effectOfExchangeRate,-232000000.0,225000000.0,45000000.0,-370000000.0
totalCashFromOperatingActivities,15787000000.0,24269000000.0,17639000000.0,15022000000.0
depreciation,5638000000.0,7312000000.0,8490000000.0,8413000000.0
otherCashflowsFromInvestingActivities,-626000000.0,171000000.0,-152000000.0,181000000.0
dividendsPaid,-403000000.0,-596000000.0,-2389000000.0,-2705000000.0
changeToInventory,-1778000000.0,148000000.0,206000000.0,-828000000.0
changeToAccountReceivables,-1141000000.0,-63000000.0,-816000000.0,-2239000000.0
otherCashflowsFromFinancingActivities,-105000000.0,-184000000.0,-226000000.0,-192000000.0
changeToNetincome,-12489000000.0,-762000000.0,2898000000.0,1626000000.0
capitalExpenditures,-6227000000.0,-5742000000.0,-7632000000.0,-7785000000.0
repurchaseOfStock,,,-237000000.0,-164000000.0
annualDilutedAverageShares,4034000000.0,3973000000.0,4004000000.0,3996739130.0
