,2021,2020,2019,2018
capitalSurplus,14084000000.0,12656000000.0,12357000000.0,12936000000.0
totalLiab,9653000000.0,7815000000.0,8625000000.0,7429000000.0
totalStockholderEquity,12088000000.0,8794000000.0,13249000000.0,13700000000.0
minorityInterest,1157000000.0,1010000000.0,1657000000.0,467000000.0
otherCurrentLiab,1032000000.0,707000000.0,795000000.0,654000000.0
totalAssets,22898000000.0,17619000000.0,23531000000.0,21596000000.0
commonStock,2000000.0,2000000.0,2000000.0,2000000.0
otherCurrentAssets,21000000.0,5000000.0,51000000.0,236000000.0
retainedEarnings,-1998000000.0,-3864000000.0,890000000.0,762000000.0
otherLiab,1545000000.0,955000000.0,1991000000.0,1946000000.0
otherAssets,220000000.0,270000000.0,348000000.0,298000000.0
cash,654000000.0,104000000.0,123000000.0,215000000.0
totalCurrentLiabilities,1438000000.0,1236000000.0,1263000000.0,1019000000.0
deferredLongTermAssetCharges,40000000.0,73000000.0,142000000.0,97000000.0
shortLongTermDebt,45000000.0,191000000.0,,
propertyPlantEquipment,20619000000.0,16214000000.0,21835000000.0,20372000000.0
totalCurrentAssets,1446000000.0,602000000.0,869000000.0,925000000.0
longTermInvestments,613000000.0,533000000.0,479000000.0,1000000.0
netTangibleAssets,12088000000.0,8794000000.0,13249000000.0,13700000000.0
netReceivables,671000000.0,437000000.0,634000000.0,430000000.0
longTermDebt,6670000000.0,5624000000.0,5371000000.0,4464000000.0
inventory,62000000.0,33000000.0,37000000.0,37000000.0
accountsPayable,36000000.0,71000000.0,179000000.0,128000000.0
deferredLongTermLiab,,,,28000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2907000000.0,-5776000000.0,362000000.0,1113000000.0
netIncome,2182000000.0,-4517000000.0,240000000.0,846000000.0
sellingGeneralAdministrative,146000000.0,88000000.0,104000000.0,65000000.0
grossProfit,5577000000.0,2001000000.0,3034000000.0,1728000000.0
ebit,3101000000.0,513000000.0,1334000000.0,1148000000.0
operatingIncome,3101000000.0,513000000.0,1334000000.0,1148000000.0
otherOperatingExpenses,1055000000.0,89000000.0,142000000.0,-108000000.0
interestExpense,-70000000.0,-250000000.0,-130000000.0,-88000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,631000000.0,-1104000000.0,47000000.0,168000000.0
totalRevenue,6443000000.0,2671000000.0,3951000000.0,2164000000.0
totalOperatingExpenses,3342000000.0,2158000000.0,2617000000.0,1016000000.0
costOfRevenue,866000000.0,670000000.0,917000000.0,436000000.0
totalOtherIncomeExpenseNet,-194000000.0,-6289000000.0,-972000000.0,-35000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2276000000.0,-4672000000.0,315000000.0,945000000.0
netIncomeApplicableToCommonShares,2182000000.0,-4517000000.0,240000000.0,846000000.0
investments,-105000000.0,-62000000.0,-485000000.0,-485000000.0
changeToLiabilities,-41000000.0,-20000000.0,-129000000.0,-7000000.0
totalCashflowsFromInvestingActivities,-1539000000.0,-2101000000.0,-3888000000.0,-3503000000.0
netBorrowings,-680000000.0,410000000.0,851000000.0,1913000000.0
totalCashFromFinancingActivities,-1841000000.0,-37000000.0,1062000000.0,2041000000.0
changeToOperatingActivities,121000000.0,-38000000.0,149000000.0,149000000.0
changeInCash,564000000.0,-20000000.0,-87000000.0,103000000.0
repurchaseOfStock,-525000000.0,-137000000.0,-593000000.0,-593000000.0
totalCashFromOperatingActivities,3944000000.0,2118000000.0,2739000000.0,1565000000.0
depreciation,1275000000.0,1311000000.0,1454000000.0,625000000.0
otherCashflowsFromInvestingActivities,45000000.0,-58000000.0,-6000000.0,4000000.0
dividendsPaid,-312000000.0,-236000000.0,-112000000.0,-37000000.0
changeToAccountReceivables,-196000000.0,217000000.0,-187000000.0,13000000.0
otherCashflowsFromFinancingActivities,-324000000.0,-74000000.0,916000000.0,165000000.0
changeToNetincome,451000000.0,5227000000.0,1212000000.0,88000000.0
capitalExpenditures,-2299000000.0,-2044000000.0,-3697000000.0,-3476000000.0
annualDilutedAverageShares,177359000.0,157976000.0,163843000.0,104929000.0
