,2021,2020,2019,2018
capitalSurplus,96200000.0,59100000.0,67200000.0,3000000.0
totalLiab,1256800000.0,1231500000.0,1134300000.0,1018800000.0
totalStockholderEquity,3042200000.0,2733200000.0,2665600000.0,2302700000.0
totalAssets,4299000000.0,3964700000.0,3799900000.0,3321500000.0
commonStock,5800000.0,5700000.0,2900000.0,2900000.0
otherCurrentAssets,196600000.0,147000000.0,174100000.0,156000000.0
retainedEarnings,2970900000.0,2689600000.0,2633900000.0,2341600000.0
otherLiab,88600000.0,102300000.0,99400000.0,84400000.0
treasuryStock,-30700000.0,-21200000.0,-38400000.0,-44800000.0
otherAssets,180900000.0,191400000.0,76300000.0,80500000.0
cash,236200000.0,245700000.0,174900000.0,167200000.0
totalCurrentLiabilities,682200000.0,612700000.0,544700000.0,437400000.0
shortLongTermDebt,60000000.0,40000000.0,3000000.0,3000000.0
otherStockholderEquity,-30700000.0,-21200000.0,-38400000.0,-44800000.0
propertyPlantEquipment,1261500000.0,1273700000.0,1266400000.0,924800000.0
totalCurrentAssets,2856600000.0,2499600000.0,2457200000.0,2316200000.0
netTangibleAssets,3042200000.0,2733200000.0,2665600000.0,2302700000.0
netReceivables,900200000.0,769400000.0,741800000.0,714300000.0
longTermDebt,330000000.0,365000000.0,342000000.0,497000000.0
inventory,1523600000.0,1337500000.0,1366400000.0,1278700000.0
accountsPayable,233100000.0,207000000.0,192800000.0,193600000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1207800000.0,1132700000.0,1043700000.0,987000000.0
minorityInterest,,,,
netIncome,925000000.0,859100000.0,790900000.0,751900000.0
sellingGeneralAdministrative,1559800000.0,1426000000.0,1458200000.0,1400200000.0
grossProfit,2777200000.0,2567800000.0,2515400000.0,2398900000.0
ebit,1217400000.0,1141800000.0,1057200000.0,998700000.0
operatingIncome,1217400000.0,1141800000.0,1057200000.0,998700000.0
otherOperatingExpenses,,,,
interestExpense,-9700000.0,-9700000.0,-13900000.0,-12600000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,282800000.0,273600000.0,252800000.0,235100000.0
totalRevenue,6010900000.0,5647300000.0,5333700000.0,4965100000.0
totalOperatingExpenses,4793500000.0,4505500000.0,4276500000.0,3966400000.0
costOfRevenue,3233700000.0,3079500000.0,2818300000.0,2566200000.0
totalOtherIncomeExpenseNet,-9600000.0,-9100000.0,-13500000.0,-11700000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,925000000.0,859100000.0,790900000.0,751900000.0
netIncomeApplicableToCommonShares,925000000.0,859100000.0,790900000.0,751900000.0
changeToLiabilities,26100000.0,14200000.0,-800000.0,46100000.0
totalCashflowsFromInvestingActivities,-148500000.0,-281700000.0,-239700000.0,-173900000.0
netBorrowings,-15000000.0,60000000.0,-155000000.0,85000000.0
totalCashFromFinancingActivities,-627100000.0,-754400000.0,-595100000.0,-446500000.0
changeToOperatingActivities,-18500000.0,35100000.0,1400000.0,20600000.0
issuanceOfStock,31600000.0,41000000.0,58500000.0,13400000.0
changeInCash,-9500000.0,70800000.0,7700000.0,50300000.0
effectOfExchangeRate,-4000000.0,5100000.0,-200000.0,-3500000.0
totalCashFromOperatingActivities,770100000.0,1101800000.0,842700000.0,674200000.0
depreciation,170700000.0,162400000.0,148700000.0,138200000.0
otherCashflowsFromInvestingActivities,-300000.0,800000.0,100000.0,-3400000.0
dividendsPaid,-643700000.0,-573857143.0,-498600000.0,-441900000.0
changeToInventory,-189500000.0,36000000.0,-84400000.0,-193300000.0
changeToAccountReceivables,-135200000.0,-29700000.0,-30400000.0,-120300000.0
changeToNetincome,-6700000.0,14700000.0,25000000.0,46500000.0
capitalExpenditures,-156600000.0,-168100000.0,-246400000.0,-176300000.0
repurchaseOfStock,,-52000000.0,-52000000.0,-103000000.0
annualDilutedAverageShares,577100000.0,575700000.0,574400000.0,574400000.0
