,2021,2020,2019,2018
intangibleAssets,1383800000.0,1420300000.0,1168900000.0,1246800000.0
capitalSurplus,3018300000.0,2926300000.0,2813800000.0,2766000000.0
totalLiab,4871400000.0,4583200000.0,3863500000.0,3784600000.0
totalStockholderEquity,3064800000.0,2775500000.0,2426600000.0,2178200000.0
otherCurrentLiab,129400000.0,113400000.0,75300000.0,88600000.0
totalAssets,7936200000.0,7358700000.0,6291300000.0,5964600000.0
commonStock,1900000.0,1800000.0,1800000.0,1800000.0
otherCurrentAssets,193500000.0,187300000.0,166900000.0,172600000.0
retainedEarnings,2807900000.0,2180200000.0,1763000000.0,1448100000.0
otherLiab,431700000.0,525400000.0,529800000.0,483500000.0
goodWill,2465100000.0,2394800000.0,2090200000.0,2080300000.0
treasuryStock,-2763300000.0,-2332800000.0,-2152000000.0,-2037700000.0
otherAssets,138100000.0,244000000.0,115000000.0,109300000.0
cash,471500000.0,419100000.0,387900000.0,262900000.0
totalCurrentLiabilities,1971100000.0,1345100000.0,1409300000.0,1492100000.0
deferredLongTermAssetCharges,28800000.0,30800000.0,17300000.0,11900000.0
otherStockholderEquity,-24600000.0,-55100000.0,-72600000.0,-67000000.0
propertyPlantEquipment,1201200000.0,1087600000.0,989800000.0,813400000.0
totalCurrentAssets,2744500000.0,2208500000.0,1898200000.0,1686100000.0
longTermInvestments,3500000.0,3500000.0,29200000.0,28700000.0
netTangibleAssets,-784100000.0,-1039600000.0,-832500000.0,-1148900000.0
netReceivables,885700000.0,734900000.0,624800000.0,571700000.0
longTermDebt,2309800000.0,2572200000.0,1784600000.0,1809000000.0
inventory,1193800000.0,867200000.0,718600000.0,678900000.0
accountsPayable,764900000.0,620500000.0,460000000.0,459000000.0
minorityInterest,,,1200000.0,1800000.0
shortLongTermDebt,,,399700000.0,525000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1005100000.0,723200000.0,575300000.0,537000000.0
netIncome,772400000.0,553100000.0,431900000.0,389600000.0
sellingGeneralAdministrative,1568200000.0,1278900000.0,1284800000.0,1235700000.0
grossProfit,2752700000.0,2174800000.0,2058200000.0,1971500000.0
ebit,1120400000.0,853900000.0,732000000.0,699700000.0
operatingIncome,1120400000.0,853900000.0,732000000.0,699700000.0
otherOperatingExpenses,,,,
interestExpense,-84400000.0,-83900000.0,-94200000.0,-74500000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,232700000.0,168800000.0,144000000.0,147000000.0
totalRevenue,7656100000.0,6090300000.0,5764600000.0,5485100000.0
totalOperatingExpenses,6535700000.0,5236400000.0,5032600000.0,4785400000.0
costOfRevenue,4903400000.0,3915500000.0,3706400000.0,3513600000.0
totalOtherIncomeExpenseNet,-115300000.0,-130700000.0,-156700000.0,-162700000.0
discontinuedOperations,,,,-200000.0
netIncomeFromContinuingOps,772400000.0,554400000.0,431300000.0,390000000.0
netIncomeApplicableToCommonShares,772400000.0,553100000.0,431900000.0,389600000.0
changeToLiabilities,137700000.0,142900000.0,8700000.0,21000000.0
totalCashflowsFromInvestingActivities,-207100000.0,-923500000.0,-127600000.0,-634300000.0
netBorrowings,135000000.0,385000000.0,-150700000.0,826200000.0
totalCashFromFinancingActivities,-428600000.0,111600000.0,-389700000.0,-6800000.0
changeToOperatingActivities,-48500000.0,29900000.0,-400000.0,-29500000.0
issuanceOfStock,41800000.0,64900000.0,17300000.0,4900000.0
changeInCash,51100000.0,30100000.0,124200000.0,-52300000.0
repurchaseOfStock,-461000000.0,-198300000.0,-108700000.0,-708600000.0
effectOfExchangeRate,-1900000.0,16300000.0,4300000.0,-15200000.0
totalCashFromOperatingActivities,688700000.0,825700000.0,637200000.0,604000000.0
depreciation,189100000.0,163500000.0,152700000.0,149600000.0
dividendsPaid,-143000000.0,-133300000.0,-123000000.0,-115200000.0
changeToInventory,-324300000.0,-91800000.0,-38300000.0,-55000000.0
changeToAccountReceivables,-151500000.0,-85700000.0,-50700000.0,9800000.0
otherCashflowsFromFinancingActivities,-1400000.0,-6700000.0,-24600000.0,-14100000.0
changeToNetincome,101800000.0,96800000.0,135200000.0,106700000.0
capitalExpenditures,-214200000.0,-150500000.0,-131800000.0,-150100000.0
investments,,-59400000.0,-59400000.0,-28700000.0
otherCashflowsFromInvestingActivities,,,,4000000.0
annualDilutedAverageShares,139500000.0,140200000.0,141300000.0,146400000.0
