,2021,2020,2019,2018
intangibleAssets,412000000.0,401000000.0,402000000.0,398000000.0
capitalSurplus,25875000000.0,26037000000.0,25830000000.0,26013000000.0
totalLiab,25003000000.0,23476000000.0,23361000000.0,24324000000.0
totalStockholderEquity,13980000000.0,10174000000.0,9298000000.0,9798000000.0
minorityInterest,9039000000.0,8494000000.0,8150000000.0,8094000000.0
otherCurrentLiab,2392000000.0,799000000.0,495000000.0,559000000.0
totalAssets,48022000000.0,42144000000.0,40809000000.0,42216000000.0
commonStock,160000000.0,159000000.0,158000000.0,158000000.0
otherCurrentAssets,523000000.0,341000000.0,655000000.0,422000000.0
retainedEarnings,-7375000000.0,-11681000000.0,-12280000000.0,-12041000000.0
otherLiab,9752000000.0,10192000000.0,10127000000.0,9871000000.0
treasuryStock,-4680000000.0,-4341000000.0,-4410000000.0,-4332000000.0
otherAssets,2203000000.0,2327000000.0,2605000000.0,3028000000.0
cash,8068000000.0,3657000000.0,2020000000.0,4217000000.0
totalCurrentLiabilities,5892000000.0,3417000000.0,3209000000.0,3329000000.0
shortLongTermDebt,372000000.0,34000000.0,5000000.0,17000000.0
otherStockholderEquity,-388000000.0,-583000000.0,-676000000.0,-605000000.0
propertyPlantEquipment,30345000000.0,29818000000.0,29584000000.0,28010000000.0
totalCurrentAssets,14830000000.0,9303000000.0,7915000000.0,10464000000.0
longTermInvestments,232000000.0,295000000.0,303000000.0,316000000.0
netTangibleAssets,13568000000.0,9773000000.0,8896000000.0,9400000000.0
netReceivables,1742000000.0,1412000000.0,1167000000.0,1322000000.0
longTermDebt,9078000000.0,9677000000.0,9821000000.0,11124000000.0
inventory,4497000000.0,3893000000.0,4073000000.0,4503000000.0
accountsPayable,2035000000.0,1473000000.0,1654000000.0,1661000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,7664000000.0,1809000000.0,318000000.0,3900000000.0
netIncome,4306000000.0,599000000.0,-239000000.0,2602000000.0
sellingGeneralAdministrative,376000000.0,391000000.0,447000000.0,454000000.0
grossProfit,10813000000.0,4071000000.0,2689000000.0,6930000000.0
ebit,8293000000.0,2075000000.0,621000000.0,4528000000.0
operatingIncome,8293000000.0,2075000000.0,621000000.0,4528000000.0
otherOperatingExpenses,91000000.0,27000000.0,105000000.0,89000000.0
interestExpense,-559000000.0,-563000000.0,-542000000.0,-575000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2299000000.0,944000000.0,510000000.0,991000000.0
totalRevenue,22845000000.0,14198000000.0,14402000000.0,18628000000.0
totalOperatingExpenses,14552000000.0,12123000000.0,13781000000.0,14100000000.0
costOfRevenue,12032000000.0,10127000000.0,11713000000.0,11698000000.0
totalOtherIncomeExpenseNet,-629000000.0,-266000000.0,-303000000.0,-628000000.0
discontinuedOperations,,,3000000.0,-15000000.0
netIncomeFromContinuingOps,5365000000.0,865000000.0,-192000000.0,2909000000.0
netIncomeApplicableToCommonShares,4299000000.0,596000000.0,-242000000.0,2598000000.0
changeToLiabilities,495000000.0,115000000.0,-60000000.0,-106000000.0
totalCashflowsFromInvestingActivities,-1964000000.0,-1264000000.0,-2103000000.0,-5018000000.0
netBorrowings,-260000000.0,-193000000.0,-1318000000.0,-2085000000.0
totalCashFromFinancingActivities,-1340000000.0,-128000000.0,-1556000000.0,900000000.0
changeToOperatingActivities,-101000000.0,-27000000.0,60000000.0,-28000000.0
issuanceOfStock,210000000.0,51000000.0,2000000.0,3500000000.0
changeInCash,4411000000.0,1625000000.0,-2177000000.0,-255000000.0
repurchaseOfStock,-517000000.0,-17000000.0,-8000000.0,-8000000.0
totalCashFromOperatingActivities,7715000000.0,3017000000.0,1482000000.0,3863000000.0
depreciation,2214000000.0,1729000000.0,1632000000.0,1964000000.0
otherCashflowsFromInvestingActivities,20000000.0,-7000000.0,-12000000.0,-4000000.0
dividendsPaid,-331000000.0,-73000000.0,-291000000.0,-218000000.0
changeToInventory,-618000000.0,42000000.0,259000000.0,-537000000.0
changeToAccountReceivables,-472000000.0,132000000.0,119000000.0,649000000.0
otherCashflowsFromFinancingActivities,-442000000.0,104000000.0,59000000.0,3203000000.0
changeToNetincome,440000000.0,24000000.0,-260000000.0,-47000000.0
capitalExpenditures,-2115000000.0,-1961000000.0,-2652000000.0,-1971000000.0
investments,,,,-3043000000.0
annualDilutedAverageShares,,,,
