,2022,2021,2020,2019
intangibleAssets,301000000.0,322000000.0,322000000.0,416000000.0
capitalSurplus,3712000000.0,3481000000.0,3356000000.0,3231000000.0
totalLiab,61055000000.0,58609000000.0,55242000000.0,36646000000.0
totalStockholderEquity,24939000000.0,24168000000.0,18295000000.0,17757000000.0
totalAssets,85994000000.0,82777000000.0,73537000000.0,54403000000.0
commonStock,32000000.0,32000000.0,32000000.0,32000000.0
retainedEarnings,32782000000.0,29817000000.0,25216000000.0,24648000000.0
otherLiab,12112000000.0,10841000000.0,10751000000.0,11016000000.0
goodWill,6544000000.0,6992000000.0,6372000000.0,6884000000.0
treasuryStock,-11587000000.0,-9162000000.0,-10309000000.0,-10154000000.0
otherAssets,4080000000.0,3748000000.0,2935000000.0,3588000000.0
cash,6897000000.0,7087000000.0,4881000000.0,2319000000.0
totalCurrentLiabilities,14274000000.0,13660000000.0,10344000000.0,9013000000.0
deferredLongTermAssetCharges,1207000000.0,1418000000.0,1347000000.0,1340000000.0
shortLongTermDebt,50000000.0,50000000.0,,964000000.0
otherStockholderEquity,-1103000000.0,-732000000.0,-1147000000.0,-865000000.0
propertyPlantEquipment,54704000000.0,51135000000.0,47525000000.0,30429000000.0
totalCurrentAssets,20365000000.0,20580000000.0,16383000000.0,13086000000.0
netTangibleAssets,18094000000.0,16854000000.0,11601000000.0,10457000000.0
netReceivables,11863000000.0,11977000000.0,10102000000.0,9116000000.0
longTermDebt,19746000000.0,20733000000.0,21518000000.0,16555000000.0
inventory,637000000.0,587000000.0,572000000.0,553000000.0
accountsPayable,4030000000.0,3841000000.0,3269000000.0,3030000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4896000000.0,6674000000.0,1669000000.0,655000000.0
minorityInterest,,,,
netIncome,3826000000.0,5231000000.0,1286000000.0,540000000.0
sellingGeneralAdministrative,470000000.0,428000000.0,427000000.0,468000000.0
grossProfit,23411000000.0,23730000000.0,16837000000.0,14929000000.0
ebit,6007000000.0,7956000000.0,2730000000.0,1581000000.0
operatingIncome,6007000000.0,7956000000.0,2730000000.0,1581000000.0
otherOperatingExpenses,12964000000.0,11981000000.0,10065000000.0,9527000000.0
interestExpense,-689000000.0,-741000000.0,-672000000.0,-588000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1070000000.0,1443000000.0,383000000.0,115000000.0
totalRevenue,93512000000.0,83959000000.0,69217000000.0,69693000000.0
totalOperatingExpenses,87505000000.0,76003000000.0,66487000000.0,68112000000.0
costOfRevenue,70101000000.0,60229000000.0,52380000000.0,54764000000.0
totalOtherIncomeExpenseNet,-1111000000.0,-1282000000.0,-1061000000.0,-926000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,3826000000.0,5231000000.0,1286000000.0,540000000.0
netIncomeApplicableToCommonShares,3819000000.0,5231000000.0,1284000000.0,539000000.0
investments,-147000000.0,-147000000.0,-147000000.0,-147000000.0
changeToLiabilities,-1861000000.0,71000000.0,-1787000000.0,-571000000.0
totalCashflowsFromInvestingActivities,-6816000000.0,-6010000000.0,-5846000000.0,-5473000000.0
netBorrowings,-161000000.0,-2106000000.0,4008000000.0,1027000000.0
totalCashFromFinancingActivities,-3019000000.0,-2090000000.0,3381000000.0,-1039000000.0
changeToOperatingActivities,-948000000.0,-1872000000.0,-974000000.0,-1047000000.0
issuanceOfStock,184000000.0,740000000.0,64000000.0,101000000.0
changeInCash,-190000000.0,2206000000.0,2562000000.0,-946000000.0
repurchaseOfStock,-2248000000.0,-2248000000.0,-3000000.0,-1480000000.0
effectOfExchangeRate,-187000000.0,171000000.0,-70000000.0,-47000000.0
totalCashFromOperatingActivities,9832000000.0,10135000000.0,5097000000.0,5613000000.0
depreciation,3970000000.0,3793000000.0,3615000000.0,3353000000.0
dividendsPaid,-793000000.0,-686000000.0,-679000000.0,-683000000.0
changeToAccountReceivables,-310000000.0,-1389000000.0,-1331000000.0,-873000000.0
otherCashflowsFromFinancingActivities,-1000000.0,-38000000.0,-9000000.0,-4000000.0
changeToNetincome,5155000000.0,2983000000.0,4288000000.0,4211000000.0
capitalExpenditures,-6763000000.0,-5884000000.0,-5868000000.0,-5490000000.0
annualDilutedAverageShares,,,,
