,2021,2020,2019,2018
capitalSurplus,10238000000.0,10076000000.0,10868000000.0,11530000000.0
totalLiab,36757000000.0,37227000000.0,35326000000.0,33249000000.0
totalStockholderEquity,8675000000.0,7237000000.0,6975000000.0,6743000000.0
deferredLongTermLiab,71000000.0,82000000.0,99000000.0,91000000.0
otherCurrentLiab,1232000000.0,1158000000.0,1938000000.0,1355000000.0
totalAssets,45432000000.0,44464000000.0,42301000000.0,40063000000.0
commonStock,57000000.0,54000000.0,54000000.0,51000000.0
otherCurrentAssets,104000000.0,67000000.0,85000000.0,87000000.0
retainedEarnings,-1605000000.0,-2888000000.0,-3967000000.0,-4879000000.0
otherLiab,9822000000.0,9829000000.0,10605000000.0,10864000000.0
goodWill,5618000000.0,5618000000.0,5618000000.0,5618000000.0
treasuryStock,-15000000.0,-5000000.0,20000000.0,41000000.0
otherAssets,1172000000.0,1244000000.0,1177000000.0,1889000000.0
cash,1462000000.0,1734000000.0,627000000.0,367000000.0
totalCurrentLiabilities,4416000000.0,5004000000.0,4862000000.0,4634000000.0
shortLongTermDebt,1593000000.0,132000000.0,365000000.0,485000000.0
otherStockholderEquity,-15000000.0,-5000000.0,20000000.0,41000000.0
propertyPlantEquipment,35023000000.0,33559000000.0,31881000000.0,29911000000.0
totalCurrentAssets,3237000000.0,3714000000.0,2444000000.0,2392000000.0
longTermInvestments,382000000.0,329000000.0,1181000000.0,253000000.0
netTangibleAssets,3057000000.0,1619000000.0,1357000000.0,1125000000.0
netReceivables,1279000000.0,1439000000.0,1294000000.0,1511000000.0
longTermDebt,22225000000.0,22100000000.0,19573000000.0,17696000000.0
inventory,260000000.0,317000000.0,281000000.0,252000000.0
accountsPayable,943000000.0,827000000.0,1005000000.0,965000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1559000000.0,1129000000.0,1117000000.0,1512000000.0
minorityInterest,,,,
netIncome,1283000000.0,1079000000.0,912000000.0,1348000000.0
sellingGeneralAdministrative,-311000000.0,571000000.0,723000000.0,144000000.0
grossProfit,7418000000.0,7773000000.0,7690000000.0,7764000000.0
ebit,2229000000.0,1651000000.0,1836000000.0,2358000000.0
operatingIncome,2229000000.0,1651000000.0,1836000000.0,2358000000.0
otherOperatingExpenses,4198000000.0,4277000000.0,3911000000.0,4126000000.0
interestExpense,-1114000000.0,-1037000000.0,-1007000000.0,-1097000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,320000000.0,126000000.0,213000000.0,490000000.0
totalRevenue,10943000000.0,10607000000.0,10844000000.0,11063000000.0
totalOperatingExpenses,8714000000.0,8956000000.0,9008000000.0,8705000000.0
costOfRevenue,3525000000.0,2834000000.0,3154000000.0,3299000000.0
totalOtherIncomeExpenseNet,-670000000.0,-522000000.0,-719000000.0,-846000000.0
discontinuedOperations,44000000.0,76000000.0,8000000.0,326000000.0
netIncomeFromContinuingOps,1239000000.0,1003000000.0,904000000.0,1022000000.0
netIncomeApplicableToCommonShares,1283000000.0,1079000000.0,908000000.0,981000000.0
changeToLiabilities,117000000.0,-138000000.0,-49000000.0,109000000.0
totalCashflowsFromInvestingActivities,-2559000000.0,-2908000000.0,-2873000000.0,-3018000000.0
netBorrowings,-632000000.0,3511000000.0,1511000000.0,-184000000.0
totalCashFromFinancingActivities,-542000000.0,2607000000.0,656000000.0,1394000000.0
changeToOperatingActivities,-21000000.0,102000000.0,-85000000.0,-109000000.0
issuanceOfStock,1000000000.0,1000000000.0,1000000000.0,850000000.0
changeInCash,-290000000.0,1122000000.0,250000000.0,-214000000.0
totalCashFromOperatingActivities,2811000000.0,1423000000.0,2467000000.0,1410000000.0
depreciation,1332000000.0,1252000000.0,1296000000.0,1534000000.0
otherCashflowsFromInvestingActivities,-269000000.0,-251000000.0,-208000000.0,-768000000.0
dividendsPaid,-849000000.0,-845000000.0,-820000000.0,-772000000.0
changeToInventory,57000000.0,-32000000.0,-37000000.0,24000000.0
changeToAccountReceivables,160000000.0,-129000000.0,271000000.0,-248000000.0
otherCashflowsFromFinancingActivities,-61000000.0,-59000000.0,-35000000.0,-116000000.0
changeToNetincome,-411000000.0,-823000000.0,216000000.0,-1037000000.0
capitalExpenditures,-2445000000.0,-2657000000.0,-2665000000.0,-2675000000.0
annualDilutedAverageShares,546000000.0,543000000.0,542000000.0,494000000.0
