,2021,2020,2019,2018
intangibleAssets,14838000000.0,17298000000.0,19002000000.0,4927000000.0
capitalSurplus,46466000000.0,45947000000.0,45358000000.0,10800000000.0
totalLiab,35399000000.0,34355000000.0,34350000000.0,13548000000.0
totalStockholderEquity,47347000000.0,49300000000.0,49440000000.0,10215000000.0
minorityInterest,185000000.0,187000000.0,16000000.0,7000000.0
deferredLongTermLiab,969000000.0,917000000.0,667000000.0,475000000.0
otherCurrentLiab,6074000000.0,5815000000.0,5045000000.0,1711000000.0
totalAssets,82931000000.0,83842000000.0,83806000000.0,23770000000.0
commonStock,6000000.0,6000000.0,6000000.0,4000000.0
otherCurrentAssets,4020000000.0,3914000000.0,3529000000.0,981000000.0
retainedEarnings,2889000000.0,3440000000.0,4161000000.0,4528000000.0
otherLiab,5730000000.0,5590000000.0,6273000000.0,1753000000.0
goodWill,53330000000.0,53268000000.0,52242000000.0,13545000000.0
treasuryStock,-2014000000.0,-93000000.0,-85000000.0,-5117000000.0
otherAssets,2286000000.0,1739000000.0,2264000000.0,827000000.0
cash,2010000000.0,1959000000.0,1152000000.0,703000000.0
totalCurrentLiabilities,14466000000.0,12361000000.0,10382000000.0,3125000000.0
deferredLongTermAssetCharges,49000000.0,40000000.0,38000000.0,32000000.0
shortLongTermDebt,1617000000.0,1314000000.0,140000000.0,48000000.0
otherStockholderEquity,252000000.0,57000000.0,-33000000.0,-430000000.0
propertyPlantEquipment,1411000000.0,1421000000.0,1464000000.0,587000000.0
totalCurrentAssets,10708000000.0,9898000000.0,8692000000.0,3733000000.0
longTermInvestments,358000000.0,218000000.0,142000000.0,151000000.0
netTangibleAssets,-20821000000.0,-21266000000.0,-21804000000.0,-8257000000.0
netReceivables,4127000000.0,3631000000.0,3703000000.0,1761000000.0
longTermDebt,14825000000.0,15951000000.0,17229000000.0,8670000000.0
accountsPayable,1829000000.0,1576000000.0,1386000000.0,687000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,795000000.0,260000000.0,403000000.0,1089000000.0
netIncome,417000000.0,158000000.0,298000000.0,846000000.0
sellingGeneralAdministrative,3938000000.0,3516000000.0,2667000000.0,1301000000.0
grossProfit,5195000000.0,4204000000.0,3723000000.0,2854000000.0
ebit,1257000000.0,688000000.0,1056000000.0,1553000000.0
operatingIncome,1257000000.0,688000000.0,1056000000.0,1553000000.0
otherOperatingExpenses,,,,
interestExpense,-216000000.0,-339000000.0,-389000000.0,-314000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,371000000.0,96000000.0,100000000.0,208000000.0
totalRevenue,13877000000.0,12552000000.0,10333000000.0,8423000000.0
totalOperatingExpenses,12620000000.0,11864000000.0,9277000000.0,6870000000.0
costOfRevenue,8682000000.0,8348000000.0,6610000000.0,5569000000.0
totalOtherIncomeExpenseNet,-462000000.0,-428000000.0,-653000000.0,-464000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,424000000.0,164000000.0,303000000.0,881000000.0
netIncomeApplicableToCommonShares,417000000.0,158000000.0,298000000.0,846000000.0
changeToLiabilities,414000000.0,275000000.0,-34000000.0,-262000000.0
totalCashflowsFromInvestingActivities,-1771000000.0,-914000000.0,-7501000000.0,-668000000.0
netBorrowings,633000000.0,-1372000000.0,8680000000.0,223000000.0
totalCashFromFinancingActivities,-2538000000.0,-2751000000.0,7581000000.0,-1236000000.0
changeToOperatingActivities,-326000000.0,111000000.0,-656000000.0,-235000000.0
issuanceOfStock,121000000.0,332000000.0,161000000.0,288000000.0
changeInCash,253000000.0,819000000.0,2508000000.0,38000000.0
repurchaseOfStock,-2114000000.0,-112000000.0,-453000000.0,-1255000000.0
effectOfExchangeRate,-248000000.0,42000000.0,18000000.0,-51000000.0
totalCashFromOperatingActivities,4810000000.0,4442000000.0,2410000000.0,1993000000.0
depreciation,2639000000.0,2652000000.0,1644000000.0,829000000.0
otherCashflowsFromInvestingActivities,-123000000.0,684000000.0,-90000000.0,-30000000.0
dividendsPaid,-961000000.0,-868000000.0,-656000000.0,-421000000.0
changeToAccountReceivables,-552000000.0,-75000000.0,-161000000.0,58000000.0
otherCashflowsFromFinancingActivities,-217000000.0,-731000000.0,-151000000.0,-71000000.0
changeToNetincome,812000000.0,228000000.0,495000000.0,149000000.0
capitalExpenditures,-320000000.0,-263000000.0,-200000000.0,-127000000.0
annualDilutedAverageShares,621000000.0,627000000.0,451000000.0,332000000.0
