,2021,2020,2019,2018
intangibleAssets,14009000000.0,15358000000.0,17642000000.0,2143000000.0
capitalSurplus,22983000000.0,23643000000.0,23741000000.0,1057000000.0
totalLiab,44299000000.0,41290000000.0,42682000000.0,8969000000.0
totalStockholderEquity,30952000000.0,32330000000.0,32979000000.0,2293000000.0
minorityInterest,998000000.0,999000000.0,1878000000.0,
deferredLongTermLiab,814000000.0,697000000.0,540000000.0,424000000.0
otherCurrentLiab,15174000000.0,12899000000.0,13147000000.0,1442000000.0
totalAssets,76249000000.0,74619000000.0,77539000000.0,11262000000.0
commonStock,8000000.0,8000000.0,8000000.0,8000000.0
otherCurrentAssets,14068000000.0,11878000000.0,12440000000.0,644000000.0
retainedEarnings,14846000000.0,13441000000.0,12528000000.0,11635000000.0
otherLiab,4660000000.0,4882000000.0,4740000000.0,1004000000.0
goodWill,36433000000.0,36322000000.0,36038000000.0,5702000000.0
treasuryStock,-6885000000.0,-4762000000.0,-3298000000.0,-10407000000.0
otherAssets,1946000000.0,1672000000.0,1636000000.0,730000000.0
cash,835000000.0,906000000.0,893000000.0,415000000.0
totalCurrentLiabilities,18295000000.0,15637000000.0,15727000000.0,2010000000.0
deferredLongTermAssetCharges,42000000.0,28000000.0,112000000.0,20000000.0
shortLongTermDebt,138000000.0,136000000.0,59000000.0,4000000.0
otherStockholderEquity,-745000000.0,-387000000.0,-180000000.0,-67000000.0
propertyPlantEquipment,2317000000.0,2132000000.0,2290000000.0,398000000.0
totalCurrentAssets,18870000000.0,16219000000.0,17046000000.0,2224000000.0
longTermInvestments,2674000000.0,2916000000.0,2887000000.0,65000000.0
netTangibleAssets,-19490000000.0,-19350000000.0,-20701000000.0,-5552000000.0
netReceivables,2860000000.0,2482000000.0,2782000000.0,1049000000.0
longTermDebt,20416000000.0,20029000000.0,21468000000.0,5955000000.0
accountsPayable,593000000.0,437000000.0,392000000.0,127000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1766000000,1171000000,1112000000,1565000000
netIncome,1334000000,958000000,893000000,1187000000
sellingGeneralAdministrative,5795000000,5528000000,3207000000,1228000000
grossProfit,8098000000,7040000000,4926000000,2754000000
ebit,2303000000,1512000000,1719000000,1526000000
operatingIncome,2303000000,1512000000,1719000000,1526000000
otherOperatingExpenses,,,,
interestExpense,-696000000,-716000000,-507000000,-193000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,363000000,196000000,198000000,378000000
totalRevenue,16226000000,14852000000,10187000000,5823000000
totalOperatingExpenses,13923000000,13340000000,8468000000,4297000000
costOfRevenue,8128000000,7812000000,5261000000,3069000000
totalOtherIncomeExpenseNet,-537000000,-341000000,-607000000,39000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1403000000,975000000,914000000,1187000000
netIncomeApplicableToCommonShares,1334000000,958000000,893000000,1187000000
investments,378000000.0,119000000.0,68000000.0,-3000000.0
changeToLiabilities,380000000.0,-75000000.0,337000000.0,82000000.0
totalCashflowsFromInvestingActivities,-1630000000.0,-341000000.0,-15680000000.0,-663000000.0
netBorrowings,295000000.0,-2027000000.0,14987000000.0,1034000000.0
totalCashFromFinancingActivities,-1741000000.0,-3431000000.0,14373000000.0,-842000000.0
changeToOperatingActivities,-517000000.0,-456000000.0,-294000000.0,-143000000.0
issuanceOfStock,140000000.0,133000000.0,156000000.0,75000000.0
changeInCash,636000000.0,391000000.0,1622000000.0,90000000.0
repurchaseOfStock,-2786000000.0,-1826000000.0,-561000000.0,-1946000000.0
effectOfExchangeRate,-27000000.0,16000000.0,1000000.0,1000000.0
totalCashFromOperatingActivities,4034000000.0,4147000000.0,2928000000.0,1595000000.0
depreciation,3196000000.0,3092000000.0,1651000000.0,545000000.0
changeToAccountReceivables,-358000000.0,320000000.0,-7000000.0,-108000000.0
otherCashflowsFromFinancingActivities,610000000.0,289000000.0,-209000000.0,-5000000.0
changeToNetincome,-53000000.0,261000000.0,221000000.0,21000000.0
capitalExpenditures,-1160000000.0,-900000000.0,-721000000.0,-360000000.0
otherCashflowsFromInvestingActivities,,,5000000.0,-7000000.0
