,2021,2020,2019,2018
intangibleAssets,2335385000.0,2115882000.0,2341882000.0,2407910000.0
capitalSurplus,2878751000.0,2749900000.0,2494721000.0,2306843000.0
totalLiab,10538073000.0,7839168000.0,8536925000.0,7862297000.0
totalStockholderEquity,2866580000.0,3355411000.0,3711616000.0,3340180000.0
deferredLongTermLiab,44700000.0,38600000.0,40400000.0,
otherCurrentLiab,2047250000.0,1437879000.0,1244583000.0,1130700000.0
totalAssets,13404653000.0,11194579000.0,12248541000.0,11202477000.0
commonStock,127000.0,126000.0,124000.0,123000.0
otherCurrentAssets,840768000.0,696119000.0,490643000.0,415248000.0
retainedEarnings,6256442000.0,5416945000.0,4712729000.0,3817656000.0
otherLiab,700478000.0,659327000.0,645810000.0,618653000.0
goodWill,5078978000.0,4719181000.0,4833047000.0,4542074000.0
treasuryStock,-6268740000.0,-4811560000.0,-3495958000.0,-2784442000.0
otherAssets,129155000.0,116412000.0,140476000.0,147632000.0
cash,1520027000.0,934900000.0,1271494000.0,1031145000.0
totalCurrentLiabilities,5290351000.0,3968311000.0,4463068000.0,4495213000.0
shortLongTermDebt,198028000.0,211319000.0,173350000.0,149170000.0
otherStockholderEquity,-1464616000.0,-1363158000.0,-972465000.0,-913858000.0
propertyPlantEquipment,321071000.0,279306000.0,284125000.0,186201000.0
totalCurrentAssets,5488048000.0,3956318000.0,4618571000.0,3875986000.0
longTermInvestments,52016000.0,7480000.0,30440000.0,42674000.0
netTangibleAssets,-4547783000.0,-3479652000.0,-3463313000.0,-3609804000.0
netReceivables,2911274000.0,2066775000.0,2539934000.0,2311815000.0
longTermDebt,4467339000.0,3136180000.0,3346347000.0,2748431000.0
accountsPayable,1406350000.0,1054478000.0,1249586000.0,1117649000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1108808000,882525000,1077819000,1095125000
minorityInterest,,,,
netIncome,839497000,704216000,895073000,811483000
sellingGeneralAdministrative,747948000,567410000,612016000,571765000
grossProfit,2273917000,1882550000,2118179000,1945797000
ebit,1242756000,1062623000,1233230000,1099398000
operatingIncome,1242756000,1062623000,1233230000,1099398000
otherOperatingExpenses,-984000,-2285000,-1277000,25000
interestExpense,-113705000,-129803000,-150048000,-138494000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,269311000,178309000,182746000,283642000
totalRevenue,2833736000,2388855000,2648848000,2433492000
totalOperatingExpenses,1590980000,1326232000,1415618000,1334094000
costOfRevenue,559819000,506305000,530669000,487695000
totalOtherIncomeExpenseNet,-133948000,-180098000,-155411000,-4273000
discontinuedOperations,,,,
netIncomeFromContinuingOps,839497000,704216000,895073000,811483000
netIncomeApplicableToCommonShares,839497000,704216000,895073000,811483000
changeToLiabilities,430159000.0,59203000.0,198756000.0,27386000.0
totalCashflowsFromInvestingActivities,-715931000.0,-106249000.0,-523702000.0,-26270000.0
netBorrowings,1690600000.0,-700707000.0,218629000.0,329241000.0
totalCashFromFinancingActivities,343928000.0,-1416801000.0,-310171000.0,-577815000.0
changeToOperatingActivities,223100000.0,-1865000.0,-192183000.0,-53082000.0
issuanceOfStock,48781000.0,136797000.0,168925000.0,55680000.0
changeInCash,774076000.0,-198618000.0,310344000.0,234023000.0
repurchaseOfStock,-1355722000.0,-849910000.0,-694909000.0,-958696000.0
effectOfExchangeRate,-50984000.0,-148157000.0,-17854000.0,-65274000.0
totalCashFromOperatingActivities,1197063000.0,1472589000.0,1162071000.0,903382000.0
depreciation,234371000.0,209181000.0,232484000.0,245036000.0
otherCashflowsFromInvestingActivities,-2281000.0,-2281000.0,-255000.0,-22775000.0
changeToAccountReceivables,-731137000.0,264140000.0,-196028000.0,-159024000.0
otherCashflowsFromFinancingActivities,-39731000.0,-2981000.0,-2816000.0,-4040000.0
changeToNetincome,147542000.0,191028000.0,181663000.0,2041000.0
capitalExpenditures,-111530000.0,-78425000.0,-75170000.0,-81387000.0
investments,,52963000.0,52963000.0,52963000.0
