,2021,2020,2019,2018
intangibleAssets,2665700000.0,2783200000.0,2746000000.0,2765200000.0
capitalSurplus,880400000.0,860200000.0,829700000.0,776200000.0
totalLiab,7529400000.0,7202200000.0,7311300000.0,6763900000.0
totalStockholderEquity,3032500000.0,2961800000.0,2532300000.0,3121100000.0
minorityInterest,19400000.0,22400000.0,29100000.0,89300000.0
otherCurrentLiab,1075500000.0,784700000.0,846800000.0,872500000.0
totalAssets,10581300000.0,10186400000.0,9872700000.0,9974300000.0
commonStock,18600000.0,18600000.0,18600000.0,18600000.0
otherCurrentAssets,59100000.0,31600000.0,40900000.0,358700000.0
retainedEarnings,4991300000.0,4506400000.0,4188800000.0,4334300000.0
otherLiab,1137400000.0,1292600000.0,1393100000.0,1608200000.0
goodWill,1463300000.0,1468900000.0,1467500000.0,1468100000.0
treasuryStock,-2857800000.0,-2423400000.0,-2504800000.0,-2008000000.0
otherAssets,553300000.0,636600000.0,661000000.0,953200000.0
cash,516800000.0,568900000.0,339100000.0,134400000.0
totalCurrentLiabilities,3520300000.0,2829000000.0,2723900000.0,2993400000.0
deferredLongTermAssetCharges,218500000.0,229600000.0,257400000.0,272800000.0
shortLongTermDebt,84500000.0,93600000.0,82800000.0,386200000.0
otherStockholderEquity,-315700000.0,-282200000.0,-412000000.0,-308900000.0
propertyPlantEquipment,952200000.0,919000000.0,922700000.0,756900000.0
totalCurrentAssets,4937600000.0,4375600000.0,4074800000.0,4030200000.0
longTermInvestments,9200000.0,3100000.0,700000.0,700000.0
netTangibleAssets,-1096500000.0,-1290300000.0,-1681200000.0,-1112200000.0
netReceivables,2812100000.0,2528800000.0,2472700000.0,2365200000.0
longTermDebt,2731700000.0,2929500000.0,3031100000.0,2145000000.0
inventory,1405700000.0,1095600000.0,1017000000.0,1025500000.0
accountsPayable,1135000000.0,946700000.0,900100000.0,795500000.0
deferredLongTermLiab,,,,45200000.0
researchDevelopment,304700000.0,287900000.0,298100000.0,287700000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,893800000.0,729800000.0,655000000.0,608400000.0
netIncome,736500000.0,551500000.0,477400000.0,502100000.0
sellingGeneralAdministrative,713700000.0,676400000.0,715100000.0,703100000.0
grossProfit,2171700000.0,2052000000.0,2083600000.0,1949400000.0
ebit,1153300000.0,1087700000.0,1070400000.0,958600000.0
operatingIncome,1153300000.0,1087700000.0,1070400000.0,958600000.0
otherOperatingExpenses,,,,
interestExpense,-131100000.0,-151300000.0,-160400000.0,-134500000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,91600000.0,150900000.0,111500000.0,70800000.0
totalRevenue,5045200000.0,4642100000.0,4609800000.0,4285300000.0
totalOperatingExpenses,3891900000.0,3554400000.0,3539400000.0,3326700000.0
costOfRevenue,2873500000.0,2590100000.0,2526200000.0,2335900000.0
totalOtherIncomeExpenseNet,-259500000.0,-357900000.0,-415400000.0,-350200000.0
discontinuedOperations,-68200000.0,-28300000.0,-63300000.0,-26100000.0
netIncomeFromContinuingOps,802200000.0,578900000.0,543500000.0,537600000.0
netIncomeApplicableToCommonShares,734700000.0,550100000.0,475900000.0,499700000.0
changeToLiabilities,428000000.0,-83700000.0,137100000.0,246900000.0
totalCashflowsFromInvestingActivities,-112000000.0,-169300000.0,-186700000.0,-130900000.0
netBorrowings,-98200000.0,24100000.0,586200000.0,-472500000.0
totalCashFromFinancingActivities,-747900000.0,-250300000.0,-124200000.0,-363300000.0
changeToOperatingActivities,-400000.0,-36300000.0,-388300000.0,-40900000.0
issuanceOfStock,7900000.0,24700000.0,50700000.0,374300000.0
changeInCash,-52100000.0,229800000.0,177400000.0,-148600000.0
repurchaseOfStock,-408000000.0,-58400000.0,-416200000.0,-206800000.0
effectOfExchangeRate,-12300000.0,1600000.0,-200000.0,4500000.0
totalCashFromOperatingActivities,820100000.0,647800000.0,488500000.0,368400000.0
depreciation,170900000.0,162700000.0,150100000.0,132800000.0
otherCashflowsFromInvestingActivities,24800000.0,28100000.0,6900000.0,-93900000.0
dividendsPaid,-247200000.0,-228500000.0,-210300000.0,-89200000.0
changeToInventory,-331100000.0,-59700000.0,6400000.0,-200700000.0
changeToAccountReceivables,-241100000.0,-71800000.0,-123500000.0,-281500000.0
otherCashflowsFromFinancingActivities,-2400000.0,-12200000.0,-134600000.0,30900000.0
changeToNetincome,147600000.0,148900000.0,254300000.0,104400000.0
capitalExpenditures,-100100000.0,-132800000.0,-93900000.0,-83000000.0
annualDilutedAverageShares,129100000.0,130600000.0,132000000.0,135900000.0
