,2022,2021,2020,2019
intangibleAssets,3678000000.0,3353000000.0,3400000000.0,3056000000.0
capitalSurplus,9098000000.0,9453000000.0,9831000000.0,9891000000.0
totalLiab,10622000000.0,11540000000.0,11334000000.0,9362000000.0
totalStockholderEquity,11339000000.0,11123000000.0,10094000000.0,9947000000.0
minorityInterest,224000000.0,263000000.0,322000000.0,200000000.0
otherCurrentLiab,895000000.0,855000000.0,637000000.0,683000000.0
totalAssets,22185000000.0,22926000000.0,21750000000.0,19509000000.0
commonStock,6000000.0,6000000.0,6000000.0,7000000.0
otherCurrentAssets,953000000.0,834000000.0,953000000.0,1277000000.0
retainedEarnings,2461000000.0,1982000000.0,674000000.0,357000000.0
otherLiab,715000000.0,927000000.0,1030000000.0,899000000.0
goodWill,3554000000.0,3435000000.0,3409000000.0,2691000000.0
treasuryStock,-226000000.0,-318000000.0,-417000000.0,-308000000.0
otherAssets,3935000000.0,4313000000.0,4800000000.0,5106000000.0
cash,5200000000.0,5886000000.0,4645000000.0,3234000000.0
totalCurrentLiabilities,2296000000.0,3002000000.0,1906000000.0,1712000000.0
deferredLongTermAssetCharges,3440000000.0,3822000000.0,4358000000.0,4651000000.0
otherStockholderEquity,-226000000.0,-318000000.0,-417000000.0,-308000000.0
propertyPlantEquipment,2159000000.0,2177000000.0,2037000000.0,1313000000.0
totalCurrentAssets,8281000000.0,8749000000.0,7486000000.0,6478000000.0
longTermInvestments,578000000.0,899000000.0,618000000.0,865000000.0
netTangibleAssets,4107000000.0,4335000000.0,3285000000.0,4200000000.0
netReceivables,2128000000.0,2029000000.0,1888000000.0,1967000000.0
longTermDebt,7206000000.0,7202000000.0,7946000000.0,6751000000.0
accountsPayable,302000000.0,229000000.0,240000000.0,194000000.0
shortLongTermDebt,,749000000.0,,
inventory,,,,1129000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1694000000,2918000000,1464000000,2224000000
netIncome,1205000000,2150000000,999000000,1595000000
sellingGeneralAdministrative,1937000000,1836000000,1758000000,1419000000
grossProfit,4857000000,4872000000,4496000000,4062000000
ebit,2557000000,2736000000,2480000000,2431000000
operatingIncome,2557000000,2736000000,2480000000,2431000000
otherOperatingExpenses,,,,
interestExpense,-377000000,-395000000,-369000000,-203000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,461000000,717000000,402000000,581000000
totalRevenue,13974000000,12909000000,12303000000,11389000000
totalOperatingExpenses,11417000000,10173000000,9823000000,8958000000
costOfRevenue,9117000000,8037000000,7807000000,7327000000
totalOtherIncomeExpenseNet,-863000000,182000000,-1016000000,-207000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1233000000,2201000000,1062000000,1643000000
netIncomeApplicableToCommonShares,1205000000,2150000000,999000000,1595000000
investments,-28000000.0,-86000000.0,246000000.0,-338000000.0
changeToLiabilities,-54000000.0,282000000.0,-87000000.0,231000000.0
totalCashflowsFromInvestingActivities,-513000000.0,-528000000.0,-1100000000.0,-637000000.0
netBorrowings,-750000000.0,-750000000.0,1191000000.0,6750000000.0
totalCashFromFinancingActivities,-2057000000.0,-870000000.0,146000000.0,-1153000000.0
changeToOperatingActivities,-249000000.0,-224000000.0,-98000000.0,-98000000.0
changeInCash,-686000000.0,1241000000.0,1411000000.0,734000000.0
repurchaseOfStock,-1000000000.0,-1001000000.0,-600000000.0,-600000000.0
totalCashFromOperatingActivities,1884000000.0,2639000000.0,2365000000.0,2524000000.0
depreciation,381000000.0,322000000.0,282000000.0,250000000.0
otherCashflowsFromInvestingActivities,-18000000.0,-18000000.0,14000000.0,-64000000.0
dividendsPaid,-307000000.0,-330000000.0,-335000000.0,-188000000.0
changeToInventory,-301000000.0,190000000.0,181000000.0,197000000.0
changeToAccountReceivables,-79000000.0,-269000000.0,224000000.0,-166000000.0
changeToNetincome,981000000.0,188000000.0,864000000.0,515000000.0
capitalExpenditures,-307000000.0,-484000000.0,-359000000.0,-235000000.0
otherCashflowsFromFinancingActivities,,461000000.0,-110000000.0,-7715000000.0
