,2021,2020,2019,2018
intangibleAssets,239000000.0,221000000.0,259329000.0,255711000.0
capitalSurplus,5725000000.0,4835000000.0,4214915000.0,4024306000.0
totalLiab,165189000000.0,130751000000.0,106412527000.0,90527427000.0
totalStockholderEquity,12265000000.0,10206000000.0,8706107000.0,7737777000.0
totalAssets,181087000000.0,142502000000.0,116263634000.0,99205204000.0
commonStock,2000000.0,2000000.0,1686000.0,1649000.0
otherCurrentAssets,502000000.0,452000000.0,404864000.0,432693000.0
retainedEarnings,6569000000.0,5346000000.0,4484375000.0,3731205000.0
otherLiab,1955000000.0,1225000000.0,1165085000.0,962809000.0
goodWill,172000000.0,172000000.0,171616000.0,198447000.0
treasuryStock,-31000000.0,23000000.0,5131000.0,-19383000.0
otherAssets,138594000000.0,115356000000.0,92790079000.0,77734836000.0
cash,12947000000.0,5095000000.0,1699557000.0,2811159000.0
totalCurrentLiabilities,156516000000.0,115002000000.0,90960297000.0,79190711000.0
deferredLongTermAssetCharges,561000000.0,459000000.0,391781000.0,336548000.0
otherStockholderEquity,-31000000.0,23000000.0,5131000.0,-19383000.0
propertyPlantEquipment,1597000000.0,1190000000.0,1020349000.0,206769000.0
totalCurrentAssets,13449000000.0,5547000000.0,2104421000.0,3243852000.0
longTermInvestments,27036000000.0,20016000000.0,19917840000.0,17565589000.0
netTangibleAssets,11854000000.0,9813000000.0,8316882000.0,7338089000.0
longTermDebt,5477000000.0,13529000000.0,13475604000.0,10373907000.0
accountsPayable,156321000000.0,114929000000.0,90133246000.0,79063236000.0
shortLongTermDebt,,,,3949607000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1828000000.0,1334000000.0,1133000000.0,1051742000.0
minorityInterest,,,,
netIncome,1478000000.0,1064000000.0,930000000.0,853828000.0
sellingGeneralAdministrative,2784000000.0,2124000000.0,1845000000.0,1623759000.0
grossProfit,4975000000.0,3760000000.0,3279000000.0,2968461000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,1912000000.0,1405000000.0,1172000000.0,1109864000.0
otherOperatingExpenses,279000000.0,231000000.0,262000000.0,234838000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,350000000.0,270000000.0,203000000.0,197914000.0
totalRevenue,4975000000.0,3760000000.0,3279000000.0,2968461000.0
totalOperatingExpenses,3063000000.0,2355000000.0,2107000000.0,1858597000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,-84000000.0,-71000000.0,-39000000.0,-58122000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1478000000.0,1064000000.0,930000000.0,853828000.0
netIncomeApplicableToCommonShares,1379000000.0,1005000000.0,881000000.0,796103000.0
investments,-6275000000.0,652000000.0,-1911000000.0,2530150000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-29143000000.0,-21855000000.0,-17035000000.0,-11062019000.0
netBorrowings,-8055000000.0,-745000000.0,3800000000.0,400000000.0
totalCashFromFinancingActivities,35791000000.0,24719000000.0,14985000000.0,10464953000.0
changeToOperatingActivities,385000000.0,-72000000.0,201000000.0,17687000.0
issuanceOfStock,804000000.0,540000000.0,189000000.0,213507000.0
changeInCash,7852000000.0,3395000000.0,-1111000000.0,514138000.0
repurchaseOfStock,-106000000.0,-62000000.0,-90000000.0,-51603000.0
totalCashFromOperatingActivities,1204000000.0,531000000.0,939000000.0,1111204000.0
depreciation,184000000.0,166000000.0,138000000.0,114363000.0
otherCashflowsFromInvestingActivities,-271000000.0,-570000000.0,-89000000.0,-18090000.0
dividendsPaid,-254000000.0,-198000000.0,-177000000.0,-175568000.0
otherCashflowsFromFinancingActivities,41362000000.0,24792000000.0,11070000000.0,10138457000.0
changeToNetincome,-843000000.0,-627000000.0,-330000000.0,125326000.0
capitalExpenditures,-198000000.0,-149000000.0,-168000000.0,-133875000.0
annualDilutedAverageShares,180000000.0,173053000.0,169551000.0,165612000.0
