,2021,2020,2019,2018
intangibleAssets,13334000.0,11899000.0,15697000.0,15285000.0
capitalSurplus,3488794000.0,3297305000.0,3166522000.0,3004442000.0
totalLiab,4745464000.0,4921157000.0,4019102000.0,3686106000.0
totalStockholderEquity,2420605000.0,2304160000.0,2375344000.0,2185894000.0
minorityInterest,296254000.0,222310000.0,240549000.0,257647000.0
otherCurrentLiab,91738000.0,88439000.0,84676000.0,81307000.0
totalAssets,7622320000.0,7607624000.0,6794992000.0,6289644000.0
commonStock,790000.0,771000.0,759000.0,745000.0
otherCurrentAssets,223735000.0,211765000.0,211233000.0,250418000.0
otherLiab,230007000.0,172812000.0,179639000.0,200773000.0
treasuryStock,-1068979000.0,-993916000.0,-791937000.0,-819293000.0
otherAssets,9543000.0,39892000.0,32158000.0,47005000.0
cash,162132000.0,798329000.0,127432000.0,64087000.0
totalCurrentLiabilities,338313000.0,312480000.0,337179000.0,256129000.0
shortLongTermDebt,5606000.0,,,
otherStockholderEquity,-1068979000.0,-993916000.0,-791937000.0,-819293000.0
propertyPlantEquipment,7031542000.0,6368542000.0,6227166000.0,5743753000.0
totalCurrentAssets,554874000.0,1165163000.0,491367000.0,456742000.0
longTermInvestments,13027000.0,22128000.0,28604000.0,26859000.0
netTangibleAssets,2407271000.0,2292261000.0,2359647000.0,2170609000.0
netReceivables,169007000.0,159780000.0,152572000.0,142237000.0
longTermDebt,4043452000.0,4291375000.0,3356594000.0,3157685000.0
accountsPayable,229968000.0,224041000.0,252503000.0,174822000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,269081000,135888000,360542000,249026000
netIncome,261498000,131706000,353866000,241907000
sellingGeneralAdministrative,57337000,48112000,50181000,41535000
grossProfit,643333000,543702000,642445000,632103000
ebit,306020000,240563000,352506000,346323000
operatingIncome,306020000,240563000,352506000,346323000
otherOperatingExpenses,,,,
interestExpense,-127698000,-136289000,-109623000,-110154000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,0,0,0,0
totalRevenue,952469000,827432000,933776000,912038000
totalOperatingExpenses,646449000,586869000,581270000,565715000
costOfRevenue,309136000,283730000,291331000,279935000
totalOtherIncomeExpenseNet,-36939000,-104675000,8036000,-97297000
discontinuedOperations,,,,
netIncomeFromContinuingOps,269081000,135888000,360542000,249026000
netIncomeApplicableToCommonShares,252245000,122672000,344817000,232935000
investments,-145000,-2047000,1713000,37236000
changeToLiabilities,6782000,5621000,2327000,2650000
totalCashflowsFromInvestingActivities,-660118000,-368383000,-316532000,-192247000
netBorrowings,-277643000,912408000,98884000,-57620000
totalCashFromFinancingActivities,-452967000,661736000,-100105000,-241309000
changeToOperatingActivities,5105000,-5059000,-10368000,24220000
issuanceOfStock,172981000,99177000,143027000,130918000
changeInCash,-641733000,663282000,45282000,83132000
repurchaseOfStock,-2998000,-4052000,-4626000,-958000
totalCashFromOperatingActivities,471352000,369929000,461919000,516688000
depreciation,271519000,250984000,233677000,237731000
otherCashflowsFromInvestingActivities,-21990000,-28004000,-25459000,-25430000
dividendsPaid,-335656000,-324596000,-313649000,-301194000
changeToAccountReceivables,1214000,-6032000,-16128000,917000
otherCashflowsFromFinancingActivities,-9651000,-21201000,-23741000,-12455000
changeToNetincome,-74766000,-7291000,-101455000,9263000
capitalExpenditures,-71728000,-68064000,-82836000,-66138000
