,2021,2020,2019,2018
intangibleAssets,3890200000.0,3290600000.0,3570700000.0,2476300000.0
capitalSurplus,3670000000.0,3554500000.0,3311100000.0,3126000000.0
totalLiab,6948500000.0,7078800000.0,10038800000.0,6292700000.0
totalStockholderEquity,9512200000.0,8964200000.0,7387000000.0,6595500000.0
minorityInterest,4800000.0,8500000.0,13200000.0,17400000.0
otherCurrentLiab,681400000.0,646400000.0,1263800000.0,727900000.0
totalAssets,16465500000.0,16051500000.0,17439000000.0,12905600000.0
commonStock,3600000.0,3400000.0,3400000.0,3400000.0
retainedEarnings,6023600000.0,5547400000.0,4128800000.0,3552700000.0
otherLiab,1286400000.0,1233400000.0,1611600000.0,1125900000.0
goodWill,9152000000.0,7359200000.0,7241500000.0,6133100000.0
treasuryStock,-185000000.0,-141100000.0,-56300000.0,-86600000.0
otherAssets,337300000.0,267100000.0,2271000000.0,548900000.0
cash,819300000.0,1824800000.0,1205200000.0,1178400000.0
totalCurrentLiabilities,3714900000.0,2860800000.0,3467200000.0,2192100000.0
shortLongTermDebt,2151700000.0,1399800000.0,1500000000.0,455600000.0
otherStockholderEquity,-185000000.0,-141100000.0,-56300000.0,-86600000.0
propertyPlantEquipment,571100000.0,610700000.0,585000000.0,576100000.0
totalCurrentAssets,2514900000.0,4446900000.0,3688800000.0,3171200000.0
netTangibleAssets,-3530000000.0,-1685600000.0,-3425200000.0,-2013900000.0
netReceivables,930200000.0,810300000.0,890700000.0,1195100000.0
longTermDebt,1807300000.0,2830300000.0,4826200000.0,2974700000.0
inventory,512700000.0,455500000.0,416200000.0,574500000.0
accountsPayable,557900000.0,480800000.0,449000000.0,706500000.0
otherCurrentAssets,,30400000.0,838100000.0,30000000.0
deferredLongTermAssetCharges,,265900000.0,241900000.0,255300000.0
longTermInvestments,,77000000.0,82000000.0,
shortTermInvestments,,1119200000.0,,
researchDevelopment,354800000.0,320700000.0,320300000.0,278100000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,677500000.0,1507700000.0,336700000.0,565800000.0
netIncome,608400000.0,1613300000.0,738900000.0,2913800000.0
sellingGeneralAdministrative,1766900000.0,1662200000.0,1582100000.0,1220900000.0
grossProfit,3009900000.0,2616700000.0,2497000000.0,2187800000.0
ebit,888200000.0,633800000.0,594600000.0,688800000.0
operatingIncome,888200000.0,633800000.0,594600000.0,688800000.0
otherOperatingExpenses,,,,
interestExpense,-103200000.0,-148500000.0,-142600000.0,-77200000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,63300000.0,55500000.0,68600000.0,75600000.0
totalRevenue,5254700000.0,4634400000.0,4563900000.0,3800400000.0
totalOperatingExpenses,4366500000.0,4000600000.0,3969300000.0,3111600000.0
costOfRevenue,2244800000.0,2017700000.0,2066900000.0,1612600000.0
totalOtherIncomeExpenseNet,-210700000.0,873900000.0,-257900000.0,-123000000.0
discontinuedOperations,-5800000.0,161100000.0,470800000.0,2423600000.0
netIncomeFromContinuingOps,614200000.0,1452200000.0,268100000.0,490200000.0
netIncomeApplicableToCommonShares,573900000.0,1544300000.0,669900000.0,2878900000.0
changeToLiabilities,32400000.0,-79500000.0,43900000.0,34100000.0
totalCashflowsFromInvestingActivities,-2615600000.0,-148400000.0,-4054600000.0,-1966600000.0
netBorrowings,753900000.0,-2123000000.0,2952700000.0,-374800000.0
totalCashFromFinancingActivities,652000000.0,-696100000.0,2802900000.0,879100000.0
changeToOperatingActivities,-6200000.0,207800000.0,148200000.0,14500000.0
changeInCash,-1005500000.0,619600000.0,26800000.0,216300000.0
effectOfExchangeRate,-3000000.0,27400000.0,7100000.0,-40600000.0
totalCashFromOperatingActivities,961100000.0,1436700000.0,1271400000.0,1344400000.0
depreciation,395500000.0,384000000.0,341500000.0,174200000.0
dividendsPaid,-132200000.0,-163400000.0,-162800000.0,-131500000.0
changeToInventory,-53600000.0,-7300000.0,93500000.0,-34100000.0
changeToAccountReceivables,-84100000.0,82400000.0,-204900000.0,-36000000.0
otherCashflowsFromFinancingActivities,30300000.0,1590300000.0,13000000.0,5000000.0
changeToNetincome,68700000.0,-764000000.0,110300000.0,-1722100000.0
capitalExpenditures,-50000000.0,-75700000.0,-74500000.0,-69900000.0
otherCashflowsFromInvestingActivities,,-37600000.0,-40300000.0,881900000.0
annualDilutedAverageShares,352300000.0,359000000.0,340000000.0,350700000.0
