,2021,2020,2019,2018
intangibleAssets,1978000000,2117000000,2315000000,2585000000
capitalSurplus,3278000000,3124000000,3039000000,2946000000
totalLiab,32432000000,35647000000,35371000000,33676000000
totalStockholderEquity,17641000000,15661000000,13978000000,11732000000
otherCurrentLiab,7889000000,8028000000,8857000000,9119000000
totalAssets,50073000000,51308000000,49349000000,45408000000
commonStock,482000000,482000000,482000000,482000000
otherCurrentAssets,1505000000,1789000000,1679000000,914000000
retainedEarnings,35420000000,33498000000,31633000000,29326000000
otherLiab,6621000000,8284000000,8022000000,7493000000
goodWill,20098000000,20053000000,19677000000,19594000000
treasuryStock,-21539000000,-21443000000,-21176000000,-21022000000
otherAssets,1017000000,834000000,771000000,1062000000
cash,1603000000,2824000000,902000000,963000000
totalCurrentLiabilities,13978000000,15964000000,16801000000,14739000000
deferredLongTermAssetCharges,41000000,37000000,33000000,38000000
shortLongTermDebt,1005000000,3003000000,2920000000,123000000
otherStockholderEquity,-1920000000,-3550000000,-3818000000,-3778000000
propertyPlantEquipment,6993000000,6761000000,6298000000,3978000000
totalCurrentAssets,19987000000,21543000000,20288000000,18189000000
netTangibleAssets,-4435000000,-6509000000,-8014000000,-10447000000
netReceivables,11539000000,11185000000,11401000000,10335000000
longTermDebt,10490000000,9995000000,9010000000,11444000000
inventory,5340000000,5745000000,6306000000,5977000000
accountsPayable,3167000000,2952000000,3162000000,3179000000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3873000000,3738000000,4202000000,4085000000
minorityInterest,,,,
netIncome,3257000000,3167000000,3484000000,3345000000
sellingGeneralAdministrative,2027000000,2113000000,2430000000,2253000000
grossProfit,6408000000,6325000000,6987000000,6657000000
ebit,4381000000,4212000000,4557000000,4404000000
operatingIncome,4381000000,4212000000,4557000000,4404000000
otherOperatingExpenses,,,,
interestExpense,-431000000,-489000000,-472000000,-374000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,616000000,571000000,718000000,727000000
totalRevenue,38469000000,37925000000,39350000000,36193000000
totalOperatingExpenses,34088000000,33713000000,34793000000,31789000000
costOfRevenue,32061000000,31600000000,32363000000,29536000000
totalOtherIncomeExpenseNet,-508000000,-474000000,-355000000,-319000000
discontinuedOperations,,,,-13000000.0
netIncomeFromContinuingOps,3257000000,3167000000,3484000000,3358000000
netIncomeApplicableToCommonShares,3257000000,3167000000,3484000000,3345000000
changeToLiabilities,194000000,-215000000,6000000,-197000000
totalCashflowsFromInvestingActivities,-882000000,-974000000,-994000000,-10234000000
netBorrowings,-1497000000,1019000000,-559000000,7983000000
totalCashFromFinancingActivities,-4590000000,-903000000,-1997000000,5086000000
changeToOperatingActivities,354000000,-707000000,-105000000,346000000
changeInCash,-1221000000,1922000000,-61000000,-2020000000
repurchaseOfStock,-1828000000,-587000000,-231000000,-1769000000
totalCashFromOperatingActivities,4251000000,3799000000,2930000000,3128000000
depreciation,890000000,878000000,829000000,763000000
otherCashflowsFromInvestingActivities,5000000,-7000000,-7000000,-7000000
dividendsPaid,-1315000000,-1240000000,-1152000000,-1075000000
changeToInventory,405000000,502000000,-376000000,-591000000
changeToAccountReceivables,-272000000,255000000,-1127000000,-383000000
otherCashflowsFromFinancingActivities,50000000,-95000000,-55000000,-53000000
changeToNetincome,-577000000,-81000000,219000000,-155000000
capitalExpenditures,-887000000,-967000000,-987000000,-690000000
