,2021,2020,2019,2018
intangibleAssets,9330000000.0,9671000000.0,10461000000.0,11942000000.0
totalLiab,157262000000.0,219137000000.0,235316000000.0,259591000000.0
totalStockholderEquity,40304000000.0,35546000000.0,28310000000.0,30975000000.0
minorityInterest,1302000000.0,1522000000.0,1545000000.0,20500000000.0
deferredLongTermLiab,2550000000.0,2490000000.0,2391000000.0,5404000000.0
otherCurrentLiab,20372000000.0,22329000000.0,37867000000.0,33642000000.0
totalAssets,198874000000.0,256211000000.0,265177000000.0,311072000000.0
commonStock,15000000.0,702000000.0,702000000.0,702000000.0
otherCurrentAssets,4062000000.0,2802000000.0,12512000000.0,66802000000.0
retainedEarnings,85110000000.0,92247000000.0,87732000000.0,93109000000.0
otherLiab,34471000000.0,48949000000.0,46125000000.0,71161000000.0
goodWill,26182000000.0,25524000000.0,25895000000.0,33070000000.0
treasuryStock,-44821000000.0,-57403000000.0,-60124000000.0,-62836000000.0
otherAssets,31356000000.0,70533000000.0,28010000000.0,46043000000.0
cash,13470000000.0,36530000000.0,17613000000.0,16632000000.0
totalCurrentLiabilities,51953000000.0,54613000000.0,78865000000.0,62615000000.0
deferredLongTermAssetCharges,10855000000.0,14253000000.0,8189000000.0,12117000000.0
shortLongTermDebt,4264000000.0,3256000000.0,,
otherStockholderEquity,36272000000.0,24558000000.0,22673000000.0,21089000000.0
propertyPlantEquipment,15609000000.0,16699000000.0,45879000000.0,43611000000.0
totalCurrentAssets,66348000000.0,84853000000.0,103096000000.0,141216000000.0
longTermInvestments,50049000000.0,48931000000.0,120000000.0,34050000000.0
netTangibleAssets,4792000000.0,351000000.0,-9077000000.0,-15177000000.0
shortTermInvestments,12297000000.0,7319000000.0,9888000000.0,
netReceivables,20331000000.0,21904000000.0,23958000000.0,14645000000.0
longTermDebt,30824000000.0,70189000000.0,67241000000.0,88949000000.0
inventory,15847000000.0,15890000000.0,17215000000.0,13803000000.0
accountsPayable,16243000000.0,16458000000.0,17357000000.0,13826000000.0
researchDevelopment,2497000000.0,2565000000.0,3118000000.0,3415000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,-3682000000.0,5970000000.0,-55000000.0,-20988000000.0
netIncome,-6520000000.0,5704000000.0,-4979000000.0,-22355000000.0
sellingGeneralAdministrative,13210000000.0,14203000000.0,15790000000.0,11450000000.0
grossProfit,18411000000.0,16136000000.0,22461000000.0,21576000000.0
ebit,2704000000.0,-632000000.0,3553000000.0,6711000000.0
operatingIncome,2704000000.0,-632000000.0,3553000000.0,6711000000.0
otherOperatingExpenses,,,,
interestExpense,-1876000000.0,-2068000000.0,-2927000000.0,-2415000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-286000000.0,-487000000.0,552000000.0,93000000.0
totalRevenue,74196000000.0,75834000000.0,90221000000.0,97012000000.0
totalOperatingExpenses,71492000000.0,76466000000.0,86668000000.0,90301000000.0
costOfRevenue,55785000000.0,59698000000.0,67760000000.0,75436000000.0
totalOtherIncomeExpenseNet,-6386000000.0,6602000000.0,-3608000000.0,-27699000000.0
discontinuedOperations,-3195000000.0,-911000000.0,-4306000000.0,-1363000000.0
netIncomeFromContinuingOps,-3396000000.0,6457000000.0,-607000000.0,-21081000000.0
netIncomeApplicableToCommonShares,-6766000000.0,5066000000.0,-5440000000.0,-22809000000.0
investments,-1290000000.0,-1352000000.0,-1600000000.0,2534000000.0
changeToLiabilities,-1054000000.0,-829000000.0,4155000000.0,103000000.0
totalCashflowsFromInvestingActivities,21308000000.0,16671000000.0,8977000000.0,18280000000.0
netBorrowings,-36867000000.0,-18772000000.0,-13842000000.0,-21542000000.0
totalCashFromFinancingActivities,-45177000000.0,-19852000000.0,-16133000000.0,-31806000000.0
changeInCash,-20750000000.0,531000000.0,1529000000.0,-9176000000.0
effectOfExchangeRate,-213000000.0,145000000.0,-50000000.0,-628000000.0
totalCashFromOperatingActivities,3332000000.0,3568000000.0,8734000000.0,4978000000.0
depreciation,3009000000.0,3351000000.0,3541000000.0,6154000000.0
otherCashflowsFromInvestingActivities,-1160000000.0,-1344000000.0,2393000000.0,10147000000.0
dividendsPaid,-575000000.0,-648000000.0,-649000000.0,-4474000000.0
changeToInventory,-702000000.0,1105000000.0,-1581000000.0,-573000000.0
changeToAccountReceivables,854000000.0,312000000.0,-1960000000.0,393000000.0
otherCashflowsFromFinancingActivities,-7735000000.0,-432000000.0,-1642000000.0,-5790000000.0
changeToNetincome,7745000000.0,-6075000000.0,9558000000.0,21256000000.0
capitalExpenditures,-1250000000.0,-1579000000.0,-2216000000.0,-6627000000.0
annualDilutedAverageShares,1098000000.0,1095125000.0,1090500000.0,1086375000.0
