,2022,2021,2020,2019
intangibleAssets,1023000000.0,1116000000.0,1067000000.0,1202000000.0
totalLiab,7036000000.0,6861000000.0,7725000000.0,10200000000.0
totalStockholderEquity,-93000000.0,-500000000.0,10000000.0,5738000000.0
otherCurrentLiab,1373000000.0,1321000000.0,1244000000.0,2439000000.0
totalAssets,6943000000.0,6361000000.0,7735000000.0,15938000000.0
commonStock,1851000000.0,2229000000.0,3356000000.0,4812000000.0
otherCurrentAssets,80000000.0,248000000.0,357000000.0,169000000.0
retainedEarnings,-1940000000.0,-2776000000.0,-3330000000.0,933000000.0
otherLiab,1160000000.0,1371000000.0,1565000000.0,2473000000.0
goodWill,2873000000.0,2867000000.0,2585000000.0,2677000000.0
treasuryStock,-4000000.0,47000000.0,-16000000.0,-7000000.0
otherAssets,475000000.0,501000000.0,491000000.0,7994000000.0
cash,1887000000.0,933000000.0,2177000000.0,1791000000.0
totalCurrentLiabilities,3065000000.0,2136000000.0,2622000000.0,3766000000.0
deferredLongTermAssetCharges,351000000.0,355000000.0,387000000.0,830000000.0
shortLongTermDebt,1000000000.0,313000000.0,756000000.0,491000000.0
otherStockholderEquity,-4000000.0,47000000.0,-16000000.0,-7000000.0
propertyPlantEquipment,134000000.0,154000000.0,326000000.0,663000000.0
totalCurrentAssets,2260000000.0,1538000000.0,3079000000.0,3186000000.0
longTermInvestments,178000000.0,185000000.0,187000000.0,216000000.0
netTangibleAssets,-3989000000.0,-4483000000.0,-3642000000.0,1859000000.0
shortTermInvestments,4000000.0,18000000.0,86000000.0,252000000.0
netReceivables,182000000.0,244000000.0,349000000.0,838000000.0
longTermDebt,2736000000.0,3288000000.0,3465000000.0,3961000000.0
accountsPayable,63000000.0,52000000.0,87000000.0,165000000.0
researchDevelopment,253000000.0,267000000.0,328000000.0,420000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,1042000000.0,872000000.0,819000000.0,-107000000.0
minorityInterest,,,,
netIncome,836000000.0,554000000.0,3887000000.0,31000000.0
sellingGeneralAdministrative,829000000.0,791000000.0,1069000000.0,1122000000.0
grossProfit,2388000000.0,2189000000.0,2097000000.0,2001000000.0
ebit,1221000000.0,1058000000.0,620000000.0,379000000.0
operatingIncome,1221000000.0,1058000000.0,620000000.0,379000000.0
otherOperatingExpenses,,,,
interestExpense,-126000000.0,-144000000.0,-196000000.0,-208000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,206000000.0,176000000.0,241000000.0,3000000.0
totalRevenue,2796000000.0,2551000000.0,2490000000.0,2456000000.0
totalOperatingExpenses,1575000000.0,1493000000.0,1870000000.0,2077000000.0
costOfRevenue,408000000.0,362000000.0,393000000.0,455000000.0
totalOtherIncomeExpenseNet,-179000000.0,-186000000.0,199000000.0,-486000000.0
discontinuedOperations,,-142000000.0,3309000000.0,141000000.0
netIncomeFromContinuingOps,836000000.0,696000000.0,578000000.0,-110000000.0
netIncomeApplicableToCommonShares,836000000.0,554000000.0,3887000000.0,31000000.0
investments,15000000.0,68000000.0,547000000.0,139000000.0
changeToLiabilities,77000000.0,74000000.0,-182000000.0,202000000.0
totalCashflowsFromInvestingActivities,326000000.0,-69000000.0,11379000000.0,-241000000.0
netBorrowings,-29000000.0,-1191000000.0,-568000000.0,-600000000.0
totalCashFromFinancingActivities,-333000000.0,-1903000000.0,-10123000000.0,-1209000000.0
changeToOperatingActivities,157000000.0,55000000.0,-299000000.0,88000000.0
issuanceOfStock,14000000.0,24000000.0,123000000.0,19000000.0
changeInCash,954000000.0,-1244000000.0,386000000.0,17000000.0
repurchaseOfStock,-15000000.0,-362000000.0,-1659000000.0,-407000000.0
effectOfExchangeRate,-13000000.0,22000000.0,-9000000.0,-28000000.0
totalCashFromOperatingActivities,974000000.0,706000000.0,-861000000.0,1495000000.0
depreciation,101000000.0,119000000.0,201000000.0,217000000.0
otherCashflowsFromInvestingActivities,1000000.0,-5000000.0,3000000.0,-19000000.0
dividendsPaid,-303000000.0,-373000000.0,-252299000.0,-217000000.0
changeToAccountReceivables,-9000000.0,3000000.0,583000000.0,113000000.0
changeToNetincome,-149000000.0,169000000.0,-5464000000.0,747000000.0
capitalExpenditures,-6000000.0,-6000000.0,-89000000.0,-207000000.0
otherCashflowsFromFinancingActivities,,-1000000.0,-538000000.0,-4000000.0
annualDilutedAverageShares,591000000.0,600000000.0,643000000.0,661000000.0
