,2021,2020,2019,2018
intangibleAssets,33455000000.0,33126000000.0,13786000000.0,15738000000.0
capitalSurplus,4661000000.0,3880000000.0,3051000000.0,2282000000.0
totalLiab,46888000000.0,50186000000.0,38977000000.0,42141000000.0
totalStockholderEquity,21069000000.0,18202000000.0,22525000000.0,21387000000.0
minorityInterest,-5000000.0,19000000.0,125000000.0,147000000.0
otherCurrentLiab,2292000000.0,1299000000.0,430000000.0,556000000.0
totalAssets,67952000000.0,68407000000.0,61627000000.0,63675000000.0
commonStock,1000000.0,1000000.0,1000000.0,1000000.0
otherCurrentAssets,75000000.0,12000000.0,37000000.0,73000000.0
retainedEarnings,16324000000.0,14381000000.0,19388000000.0,19024000000.0
otherLiab,9610000000.0,9536000000.0,6498000000.0,6962000000.0
goodWill,8332000000.0,8108000000.0,4117000000.0,4117000000.0
treasuryStock,83000000.0,-60000000.0,85000000.0,80000000.0
otherAssets,2886000000.0,1744000000.0,3119000000.0,2413000000.0
cash,5338000000.0,5997000000.0,11631000000.0,17940000000.0
totalCurrentLiabilities,11610000000.0,11397000000.0,9759000000.0,10605000000.0
shortLongTermDebt,1516000000.0,2757000000.0,2499000000.0,2748000000.0
otherStockholderEquity,83000000.0,-60000000.0,85000000.0,80000000.0
propertyPlantEquipment,5663000000.0,5613000000.0,5170000000.0,4006000000.0
totalCurrentAssets,14772000000.0,15996000000.0,30296000000.0,35836000000.0
longTermInvestments,2844000000.0,3820000000.0,5139000000.0,1565000000.0
netTangibleAssets,-20718000000.0,-23032000000.0,4622000000.0,1532000000.0
shortTermInvestments,2626000000.0,2827000000.0,13040000000.0,13012000000.0
netReceivables,4493000000.0,4892000000.0,3619000000.0,3327000000.0
longTermDebt,25179000000.0,28645000000.0,22094000000.0,24574000000.0
inventory,1618000000.0,1683000000.0,922000000.0,814000000.0
accountsPayable,705000000.0,844000000.0,713000000.0,790000000.0
researchDevelopment,5363000000.0,4873000000.0,4055000000.0,3920000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,8278000000.0,1669000000.0,5160000000.0,7799000000.0
netIncome,6225000000.0,123000000.0,5386000000.0,5455000000.0
sellingGeneralAdministrative,5246000000.0,4908000000.0,4381000000.0,4056000000.0
grossProfit,21779000000.0,20998000000.0,17774000000.0,17274000000.0
ebit,11170000000.0,11217000000.0,9338000000.0,9298000000.0
operatingIncome,11170000000.0,11217000000.0,9338000000.0,9298000000.0
otherOperatingExpenses,,,,
interestExpense,-1001000000.0,-984000000.0,-995000000.0,-1077000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2077000000.0,1580000000.0,-204000000.0,2339000000.0
totalRevenue,27305000000.0,24689000000.0,22449000000.0,22127000000.0
totalOperatingExpenses,16135000000.0,13472000000.0,13111000000.0,12829000000.0
costOfRevenue,5526000000.0,3691000000.0,4675000000.0,4853000000.0
totalOtherIncomeExpenseNet,-2892000000.0,-9548000000.0,-4178000000.0,-1499000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,6201000000.0,89000000.0,5364000000.0,5460000000.0
netIncomeApplicableToCommonShares,6225000000.0,123000000.0,5386000000.0,5455000000.0
investments,-987000000.0,11948000000.0,-2307000000.0,15469000000.0
changeToLiabilities,-118000000.0,80000000.0,-61000000.0,-39000000.0
totalCashflowsFromInvestingActivities,-3131000000.0,-14615000000.0,-7817000000.0,14355000000.0
netBorrowings,-4750000000.0,5684000000.0,-2750000000.0,-6250000000.0
totalCashFromFinancingActivities,-8877000000.0,770000000.0,-7634000000.0,-12318000000.0
changeToOperatingActivities,647000000.0,426000000.0,-696000000.0,389000000.0
issuanceOfStock,169000000.0,256000000.0,209000000.0,289000000.0
changeInCash,-659000000.0,-5634000000.0,-6309000000.0,10352000000.0
repurchaseOfStock,-546000000.0,-1583000000.0,-1749000000.0,-2900000000.0
effectOfExchangeRate,-35000000.0,43000000.0,-2000000.0,-85000000.0
totalCashFromOperatingActivities,11384000000.0,8168000000.0,9144000000.0,8400000000.0
depreciation,2050000000.0,1480000000.0,1404000000.0,1429000000.0
otherCashflowsFromInvestingActivities,-163000000.0,-171000000.0,-434000000.0,-190000000.0
dividendsPaid,-3605000000.0,-3449000000.0,-3222000000.0,-2971000000.0
changeToInventory,11000000.0,-195000000.0,-95000000.0,-310000000.0
changeToAccountReceivables,313000000.0,-1171000000.0,-218000000.0,480000000.0
otherCashflowsFromFinancingActivities,-145000000.0,-138000000.0,-122000000.0,-486000000.0
changeToNetincome,2620000000.0,8203000000.0,3152000000.0,2455000000.0
capitalExpenditures,-579000000.0,-650000000.0,-825000000.0,-924000000.0
annualDilutedAverageShares,1262000000.0,1263000000.0,1277000000.0,1308000000.0
