,2021,2020,2019,2018
intangibleAssets,4914728000.0,4595444000.0,4341941000.0,4137925000.0
capitalSurplus,520564000.0,527435000.0,531554000.0,524414000.0
totalLiab,21125242000.0,20275639000.0,18683153000.0,17680545000.0
totalStockholderEquity,8642806000.0,8771092000.0,7294307000.0,5415177000.0
otherCurrentLiab,1830493000.0,1895451000.0,1540541000.0,113671000.0
totalAssets,29768048000.0,29046731000.0,25977460000.0,23095722000.0
commonStock,109218000.0,113218000.0,117218000.0,121218000.0
otherCurrentAssets,251307000.0,248991000.0,245129000.0,311580000.0
retainedEarnings,6182100000.0,5874109000.0,5551329000.0,5213468000.0
otherLiab,16855671000.0,16057877000.0,15129484000.0,15551015000.0
goodWill,481791000.0,441591000.0,441591000.0,441591000.0
treasuryStock,1830924000.0,2256330000.0,1094206000.0,-443923000.0
otherAssets,1404878000.0,1219058000.0,930117000.0,835231000.0
cash,92163000.0,94847000.0,75933000.0,121026000.0
totalCurrentLiabilities,2723077000.0,2549876000.0,2204681000.0,772345000.0
shortLongTermDebt,149752000.0,,9375000.0,6875000.0
otherStockholderEquity,2677583000.0,3029244000.0,1844830000.0,319475000.0
propertyPlantEquipment,205000000.0,186000000.0,161000000.0,135000000.0
totalCurrentAssets,900058000.0,925800000.0,801009000.0,911051000.0
longTermInvestments,21861593000.0,21678838000.0,19301802000.0,16634924000.0
netTangibleAssets,8161015000.0,8329501000.0,6852716000.0,4973586000.0
shortTermInvestments,69145000.0,107782000.0,38285000.0,63288000.0
netReceivables,487443000.0,474180000.0,441662000.0,415157000.0
longTermDebt,1546494000.0,1667886000.0,1348988000.0,1357185000.0
accountsPayable,412940000.0,399507000.0,365402000.0,350826000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,912390000,896684000,931279000,863671000
minorityInterest,,,,
netIncome,744959000,731773000,760790000,701466000
sellingGeneralAdministrative,10000000,9800000,9500000,9000000
grossProfit,1317905000,1284426000,1320410000,1233332000
ebit,1004015000,986663000,1023943000,953747000
operatingIncome,1004015000,986663000,1023943000,953747000
otherOperatingExpenses,273618000,252071000,242124000,230793000
interestExpense,-83486000,-86704000,-84306000,-90076000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,167431000,164911000,170397000,162161000
totalRevenue,5112869000,4737921000,4527532000,4303751000
totalOperatingExpenses,4108854000,3751258000,3503589000,3350004000
costOfRevenue,3794964000,3453495000,3207122000,3070419000
totalOtherIncomeExpenseNet,-91625000,-89979000,-92664000,-91076000
discontinuedOperations,,,-92000.0,-44000.0
netIncomeFromContinuingOps,744959000,731773000,760882000,701510000
netIncomeApplicableToCommonShares,744959000,731773000,760790000,701466000
investments,-813171000,-1124036000,-741714000,-832581000
changeToLiabilities,0,0,0,0
totalCashflowsFromInvestingActivities,-913370000,-1181730000,-809311000,-896223000
netBorrowings,99974000,278680000,-18485000,199519000
totalCashFromFinancingActivities,-523603000,-274057000,-590508000,-391520000
changeToOperatingActivities,872914000,832746000,677467000,682131000
issuanceOfStock,69826000,48093000,83163000,36091000
changeInCash,-2684000,18914000,-45093000,2463000
repurchaseOfStock,-541435000,-443866000,-459569000,-421749000
effectOfExchangeRate,-3391000,-1733000,-9148000,12559000
totalCashFromOperatingActivities,1437680000,1476434000,1363874000,1277647000
depreciation,20000000,17000000,16000000,13000000
otherCashflowsFromInvestingActivities,-56700000,-7051000,32000,1987000
dividendsPaid,-80043000,-78192000,-74188000,-71421000
otherCashflowsFromFinancingActivities,-71925000,-78772000,-121429000,-133960000
changeToNetincome,-875950000,-769012000,-710697000,-705009000
capitalExpenditures,-38244000,-41756000,-42203000,-45092000
