,2021,2020,2019,2018
intangibleAssets,1148000000,1308000000,1185000000,1292000000
capitalSurplus,16475000000,14642000000,14323000000,14212000000
totalLiab,17609000000,17327000000,15901000000,13619000000
totalStockholderEquity,12333000000,10957000000,10607000000,11492000000
minorityInterest,212000000,191000000,90000000,94000000
otherCurrentLiab,769000000,783000000,443000000,392000000
totalAssets,30154000000,30775000000,28898000000,27505000000
commonStock,907000000,863000000,859000000,857000000
otherCurrentAssets,1026000000,761000000,873000000,702000000
retainedEarnings,16389000000,16120000000,16408000000,16303000000
otherLiab,5123000000,5111000000,4201000000,4314000000
goodWill,2421000000,2460000000,1935000000,1936000000
treasuryStock,-21438000000,-20668000000,-20983000000,-19880000000
otherAssets,2063000000,2146000000,2140000000,1972000000
cash,2148000000,2672000000,2434000000,2355000000
totalCurrentLiabilities,4806000000,3767000000,3521000000,3311000000
deferredLongTermAssetCharges,1066000000,1121000000,1157000000,951000000
shortLongTermDebt,40000000,71000000,2000000,4000000
otherStockholderEquity,-1175000000,-740000000,-1171000000,-1010000000
propertyPlantEquipment,16545000000,16422000000,15841000000,14895000000
totalCurrentAssets,7659000000,8004000000,7463000000,7034000000
longTermInvestments,318000000,435000000,334000000,376000000
netTangibleAssets,8764000000,7189000000,7487000000,8264000000
netReceivables,2004000000,2133000000,1836000000,1940000000
longTermDebt,6821000000,7653000000,7458000000,5994000000
inventory,2481000000,2438000000,2320000000,2037000000
accountsPayable,1612000000,1174000000,1587000000,1456000000
researchDevelopment,994000000,907000000,1001000000,987000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2397000000,623000000,1216000000,1503000000
netIncome,1906000000,512000000,960000000,1066000000
sellingGeneralAdministrative,1727000000,1589000000,1649000000,1873000000
grossProfit,5143000000,3974000000,4423000000,4558000000
ebit,2293000000,1357000000,1660000000,1604000000
operatingIncome,2293000000,1357000000,1660000000,1604000000
otherOperatingExpenses,,,,
interestExpense,-300000000,-276000000,-221000000,-191000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,491000000,111000000,256000000,437000000
totalRevenue,14082000000,11303000000,11503000000,11290000000
totalOperatingExpenses,11789000000,9946000000,9843000000,9686000000
costOfRevenue,8939000000,7329000000,7080000000,6732000000
totalOtherIncomeExpenseNet,104000000,-734000000,-444000000,-101000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1906000000,512000000,960000000,1066000000
netIncomeApplicableToCommonShares,1079000000,414000000,862000000,968000000
investments,84000000,-28000000,-26000000,-26000000
changeToLiabilities,787000000,331000000,120000000,345000000
totalCashflowsFromInvestingActivities,-1419000000,-1310000000,-1891000000,-2887000000
netBorrowings,-838000000,22000000,1531000000,856000000
totalCashFromFinancingActivities,-2452000000,-729000000,-47000000,-1995000000
changeToOperatingActivities,-321000000,-37000000,-150000000,-20000000
issuanceOfStock,97000000,124000000,58000000,81000000
changeInCash,-524000000,238000000,79000000,-1962000000
repurchaseOfStock,-335000000,-116000000,-957000000,-2227000000
effectOfExchangeRate,-65000000,97000000,-14000000,1000000
totalCashFromOperatingActivities,3412000000,2180000000,2031000000,2919000000
depreciation,1481000000,1520000000,1503000000,1293000000
otherCashflowsFromInvestingActivities,14000000,58000000,35000000,246000000
dividendsPaid,-871000000,-787000000,-742000000,-685000000
changeToInventory,-103000000,423000000,-298000000,-346000000
changeToAccountReceivables,-54000000,-274000000,48000000,-154000000
otherCashflowsFromFinancingActivities,2000000,28000000,63000000,-20000000
changeToNetincome,-284000000,-295000000,-152000000,735000000
capitalExpenditures,-1637000000,-1377000000,-1978000000,-2310000000
