,2021,2020,2019,2018
intangibleAssets,1041162000.0,292023000.0,297734000.0,246490000.0
capitalSurplus,952939000.0,525541000.0,498866000.0,476116000.0
totalLiab,2605643000.0,1779012000.0,1571591000.0,1604049000.0
totalStockholderEquity,2213774000.0,1390293000.0,1032382000.0,760549000.0
minorityInterest,58363000.0,66118000.0,61696000.0,61716000.0
deferredLongTermLiab,8479000.0,6869000.0,6190000.0,4782000.0
otherCurrentLiab,175661000.0,87872000.0,53356000.0,53493000.0
totalAssets,4877780000.0,3235423000.0,2665669000.0,2426314000.0
commonStock,725000.0,721000.0,717000.0,712000.0
retainedEarnings,1965957000.0,1432565000.0,1084383000.0,831123000.0
otherLiab,467275000.0,249166000.0,206982000.0,166947000.0
goodWill,1409674000.0,855228000.0,805284000.0,764655000.0
treasuryStock,-705847000.0,-568534000.0,-551584000.0,-547402000.0
otherAssets,36362000.0,12473000.0,13896000.0,7164000.0
cash,147339000.0,655128000.0,322883000.0,224482000.0
totalCurrentLiabilities,1155907000.0,641524000.0,497064000.0,560706000.0
deferredLongTermAssetCharges,15740000.0,1497000.0,2933000.0,163000.0
shortLongTermDebt,1721000.0,1836000.0,553000.0,1075000.0
otherStockholderEquity,-256871000.0,-236370000.0,-227033000.0,-225929000.0
propertyPlantEquipment,542118000.0,405966000.0,352926000.0,278929000.0
totalCurrentAssets,1848464000.0,1669733000.0,1195829000.0,1120769000.0
netTangibleAssets,-237062000.0,243042000.0,-70636000.0,-250596000.0
netReceivables,546466000.0,374906000.0,319538000.0,326133000.0
longTermDebt,867125000.0,816704000.0,813635000.0,857127000.0
inventory,1089705000.0,603317000.0,522024000.0,544750000.0
accountsPayable,674208000.0,330247000.0,261977000.0,328091000.0
otherCurrentAssets,,1386000.0,37000.0,
longTermInvestments,,,,8307000.0
researchDevelopment,104303000.0,80251000.0,68394000.0,50019000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,691526000.0,446191000.0,319607000.0,311076000.0
netIncome,550494000.0,350576000.0,252007000.0,238257000.0
sellingGeneralAdministrative,469294000.0,364606000.0,326700000.0,295728000.0
grossProfit,1360082000.0,957654000.0,797752000.0,725040000.0
ebit,736599000.0,480517000.0,374014000.0,357181000.0
operatingIncome,736599000.0,480517000.0,374014000.0,357181000.0
otherOperatingExpenses,,,,
interestExpense,-32953000.0,-32991000.0,-41544000.0,-40956000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,134957000.0,98973000.0,67299000.0,69856000.0
totalRevenue,3737184000.0,2485200000.0,2204336000.0,2023464000.0
totalOperatingExpenses,3000585000.0,2004683000.0,1830322000.0,1666283000.0
costOfRevenue,2377102000.0,1527546000.0,1406584000.0,1298424000.0
totalOtherIncomeExpenseNet,-45073000.0,-34326000.0,-54407000.0,-46105000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,556569000.0,347218000.0,252308000.0,241220000.0
netIncomeApplicableToCommonShares,533392000.0,349329000.0,253260000.0,220287000.0
investments,1308000.0,1308000.0,1308000.0,1308000.0
changeToLiabilities,297323000.0,66040000.0,-69404000.0,86359000.0
totalCashflowsFromInvestingActivities,-817287000.0,-124095000.0,-170078000.0,-108894000.0
netBorrowings,75237000.0,-24607000.0,-37567000.0,-24317000.0
totalCashFromFinancingActivities,-102970000.0,-30428000.0,-41918000.0,-52034000.0
changeToOperatingActivities,46984000.0,86641000.0,-22597000.0,21359000.0
issuanceOfStock,38787000.0,13089000.0,9395000.0,5614000.0
changeInCash,-507789000.0,332245000.0,98401000.0,86010000.0
repurchaseOfStock,-184895000.0,-14910000.0,-6438000.0,-31315000.0
effectOfExchangeRate,1312000.0,235000.0,1510000.0,-289000.0
totalCashFromOperatingActivities,411156000.0,486533000.0,308887000.0,247227000.0
depreciation,92041000.0,68773000.0,60909000.0,47408000.0
changeToInventory,-470991000.0,-77983000.0,26369000.0,-152594000.0
changeToAccountReceivables,-131861000.0,-55976000.0,8231000.0,-43243000.0
otherCashflowsFromFinancingActivities,-32099000.0,-4000000.0,-7308000.0,-2016000.0
changeToNetincome,24577000.0,45864000.0,48660000.0,44932000.0
capitalExpenditures,-109992000.0,-62128000.0,-60802000.0,-47601000.0
annualDilutedAverageShares,64253408.0,63737734.0,62865446.0,62233225.0
