,2021,2020,2019,2018
intangibleAssets,11633709000.0,12015883000.0,13154655000.0,2488618000.0
capitalSurplus,22880261000.0,24963769000.0,25833307000.0,2235167000.0
totalLiab,19410296000.0,16714501000.0,16425173000.0,9044431000.0
totalStockholderEquity,25628201000.0,27332370000.0,27855747000.0,3991407000.0
minorityInterest,241216000.0,154674000.0,199242000.0,194936000.0
deferredLongTermLiab,487580000.0,365151000.0,265095000.0,207570000.0
otherCurrentLiab,2781037000.0,2478060000.0,2229707000.0,2073950000.0
totalAssets,45279713000.0,44201545000.0,44480162000.0,13230774000.0
otherCurrentAssets,1287254000.0,1374756000.0,1353778000.0,1600222000.0
retainedEarnings,2982122000.0,2570874000.0,2333011000.0,2066415000.0
otherLiab,2981747000.0,3185497000.0,3312371000.0,746042000.0
goodWill,24813274000.0,23871451000.0,23759740000.0,6341355000.0
treasuryStock,-234182000.0,-202273000.0,-310571000.0,-310175000.0
otherAssets,1940077000.0,1662122000.0,1379717000.0,362795000.0
cash,1979308000.0,1945868000.0,1678273000.0,1210878000.0
totalCurrentLiabilities,4463014000.0,4549091000.0,3579346000.0,3268620000.0
deferredLongTermAssetCharges,12117000.0,7627000.0,6292000.0,8128000.0
shortLongTermDebt,87377000.0,810470000.0,28567000.0,115075000.0
otherStockholderEquity,-234182000.0,-202273000.0,-310571000.0,-310175000.0
propertyPlantEquipment,2181668000.0,2059729000.0,1819602000.0,653542000.0
totalCurrentAssets,4710985000.0,4592360000.0,4366448000.0,3376208000.0
netTangibleAssets,-10818782000.0,-8554964000.0,-9058648000.0,-4838566000.0
netReceivables,946247000.0,794172000.0,895232000.0,348400000.0
longTermDebt,11370293000.0,8474125000.0,9109542000.0,5029769000.0
accountsPayable,262014000.0,128721000.0,148084000.0,76229000.0
longTermInvestments,,,,8256000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1156898000.0,682253000.0,531466000.0,562155000.0
netIncome,965460000.0,584520000.0,430613000.0,452053000.0
sellingGeneralAdministrative,3032361000.0,2597978000.0,2061572000.0,1478197000.0
grossProfit,4788237000.0,3811431000.0,2852989000.0,2271352000.0
ebit,1755876000.0,1213453000.0,791417000.0,793155000.0
operatingIncome,1755876000.0,1213453000.0,791417000.0,793155000.0
otherOperatingExpenses,,,,
interestExpense,-328000000.0,-326800000.0,-301200000.0,-195500000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,169034000.0,77153000.0,62190000.0,77488000.0
totalRevenue,8523762000.0,7423558000.0,4911892000.0,3366366000.0
totalOperatingExpenses,6767886000.0,6210105000.0,4120475000.0,2573211000.0
costOfRevenue,3735525000.0,3612127000.0,2058903000.0,1095014000.0
totalOtherIncomeExpenseNet,-598978000.0,-531200000.0,-259951000.0,-231000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,987864000.0,605100000.0,469276000.0,484667000.0
netIncomeApplicableToCommonShares,965460000.0,584520000.0,430613000.0,452053000.0
changeToLiabilities,132785000.0,-320000.0,-95091000.0,66182000.0
totalCashflowsFromInvestingActivities,-2293826000.0,-438342000.0,-917086000.0,-1476287000.0
netBorrowings,2380427000.0,-74207000.0,482741000.0,540683000.0
totalCashFromFinancingActivities,-405365000.0,-1546142000.0,-28674000.0,286930000.0
changeToOperatingActivities,-135425000.0,-145113000.0,54645000.0,-77322000.0
issuanceOfStock,49545000.0,66142000.0,24514000.0,14318000.0
changeInCash,33252000.0,411498000.0,467395000.0,-124977000.0
repurchaseOfStock,-2624278000.0,-692391000.0,-373960000.0,-239708000.0
effectOfExchangeRate,-48382000.0,81832000.0,21877000.0,-41702000.0
totalCashFromOperatingActivities,2780825000.0,2314150000.0,1391278000.0,1106082000.0
depreciation,1691384000.0,1614440000.0,878335000.0,522813000.0
otherCashflowsFromInvestingActivities,10822000.0,39323000.0,35404000.0,-3305000.0
dividendsPaid,-259726000.0,-233216000.0,-63498000.0,-6332000.0
changeToAccountReceivables,-165543000.0,55986000.0,-115528000.0,-33386000.0
otherCashflowsFromFinancingActivities,48667000.0,-612470000.0,-98471000.0,-22031000.0
changeToNetincome,198836000.0,126490000.0,172218000.0,124201000.0
capitalExpenditures,-493216000.0,-436236000.0,-307868000.0,-213290000.0
annualDilutedAverageShares,293669000.0,300516000.0,199134000.0,159271000.0
