,2021,2020,2019,2018
intangibleAssets,215993000,244356000,192521000,116063000
capitalSurplus,1960722000,1880354000,1835622000,1823638000
totalLiab,1740268000,1515257000,1373303000,1219884000
totalStockholderEquity,6114159000,5516116000,4793496000,4162974000
deferredLongTermLiab,12361000,16510000,23493000,29473000
otherCurrentLiab,519227000,431737000,408495000,386773000
totalAssets,7854427000,7031373000,6166799000,5382858000
commonStock,17979000,17979000,17979000,17979000
otherCurrentAssets,15961000,20145000,25105000,28462000
retainedEarnings,4320737000,3754372000,3229061000,2710619000
otherLiab,222076000,275082000,288132000,298571000
goodWill,575080000,584210000,467108000,301017000
treasuryStock,-185279000,-136589000,-289166000,-389262000
otherAssets,375949000,452116000,451335000,306760000
cash,1498058000,1458442000,1027567000,1201732000
totalCurrentLiabilities,1448148000,1164217000,1035933000,921313000
deferredLongTermAssetCharges,260205000,245455000,268518000,176959000
otherStockholderEquity,117835000,183427000,55874000,8430000
propertyPlantEquipment,1156935000,950165000,792510000,663527000
totalCurrentAssets,4261772000,3669351000,3057850000,2665368000
longTermInvestments,1268698000,1131175000,1205475000,1330123000
netTangibleAssets,5323086000,4687550000,4133867000,3745894000
shortTermInvestments,347980000,387642000,376463000,182989000
netReceivables,854433000,849469000,706763000,569833000
inventory,1227609000,762084000,752908000,561840000
accountsPayable,370048000,258885000,240831000,204985000
researchDevelopment,840024000,705685000,605366000,567805000
effectOfAccountingCharges,,,,
incomeBeforeTax,1206796000,1103410000,987222000,823247000
minorityInterest,,,,
netIncome,1082200000,992324000,952486000,694080000
sellingGeneralAdministrative,831815000,721411000,683024000,633571000
grossProfit,2890459000,2481336000,2233976000,1979719000
ebit,1218620000,1054240000,945586000,778343000
operatingIncome,1218620000,1054240000,945586000,778343000
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,124596000,111086000,34736000,129167000
totalRevenue,4982795000,4186573000,3757505000,3347444000
totalOperatingExpenses,3764175000,3132333000,2811919000,2569101000
costOfRevenue,2092336000,1705237000,1523529000,1367725000
totalOtherIncomeExpenseNet,-11824000,49170000,41636000,44904000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1082200000,992324000,952486000,694080000
netIncomeApplicableToCommonShares,1082200000,992324000,952486000,694080000
investments,-145642000,73613000,-30578000,-119578000
changeToLiabilities,101569000,-23764000,15160000,23420000
totalCashflowsFromInvestingActivities,-475369000,-260524000,-450746000,-307503000
totalCashFromFinancingActivities,-486709000,-461760000,-416028000,-286161000
changeToOperatingActivities,40291000,66044000,-40078000,11646000
issuanceOfStock,35733000,15201000,27122000,26642000
changeInCash,40095000,431110000,-174167000,310046000
repurchaseOfStock,-30985000,-26330000,-25886000,-16655000
effectOfExchangeRate,-10254000,18127000,-5942000,-15810000
totalCashFromOperatingActivities,1012427000,1135267000,698549000,919520000
depreciation,154818000,126715000,106175000,96194000
dividendsPaid,-491457000,-450631000,-417264000,-296148000
changeToInventory,-476454000,28726000,-170169000,-57737000
changeToAccountReceivables,-19106000,-108859000,-123401000,7290000
changeToNetincome,123215000,74752000,-7327000,109507000
capitalExpenditures,-307645000,-185401000,-118031000,-155755000
