,2021,2020,2019,2018
intangibleAssets,238000000.0,228000000.0,304000000.0,460000000.0
capitalSurplus,1270000000.0,1239000000.0,1182000000.0,1134000000.0
totalLiab,4432000000.0,4202000000.0,3945000000.0,3780000000.0
totalStockholderEquity,1874000000.0,1828000000.0,1855000000.0,1921000000.0
minorityInterest,286000000.0,265000000.0,205000000.0,172000000.0
otherCurrentLiab,37000000.0,42000000.0,27000000.0,29000000.0
totalAssets,6592000000.0,6295000000.0,6005000000.0,5873000000.0
commonStock,55000000.0,55000000.0,55000000.0,55000000.0
retainedEarnings,9500000000.0,8779000000.0,8405000000.0,7869000000.0
otherLiab,208000000.0,210000000.0,353000000.0,189000000.0
goodWill,384000000.0,391000000.0,429000000.0,424000000.0
treasuryStock,-8951000000.0,-8245000000.0,-7787000000.0,-7137000000.0
otherAssets,141000000.0,131000000.0,317000000.0,80000000.0
cash,241000000.0,585000000.0,360000000.0,538000000.0
totalCurrentLiabilities,1528000000.0,1441000000.0,1678000000.0,1501000000.0
otherStockholderEquity,-96000000.0,-61000000.0,-154000000.0,-171000000.0
propertyPlantEquipment,1817000000.0,1605000000.0,1400000000.0,1352000000.0
totalCurrentAssets,4011000000.0,3919000000.0,3555000000.0,3557000000.0
longTermInvestments,1000000.0,21000000.0,,
netTangibleAssets,1252000000.0,1209000000.0,1122000000.0,1037000000.0
netReceivables,1754000000.0,1474000000.0,1425000000.0,1385000000.0
longTermDebt,2362000000.0,2389000000.0,1914000000.0,2090000000.0
inventory,1870000000.0,1733000000.0,1655000000.0,1541000000.0
accountsPayable,816000000.0,779000000.0,719000000.0,678000000.0
shortLongTermDebt,,8000000.0,246000000.0,81000000.0
otherCurrentAssets,,,11000000.0,10000000.0
deferredLongTermAssetCharges,,,11000000.0,12000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1485000000.0,947000000.0,1209000000.0,1081000000.0
netIncome,1043000000.0,695000000.0,849000000.0,782000000.0
sellingGeneralAdministrative,3088000000.0,2938000000.0,2912000000.0,2909000000.0
grossProfit,4720000000.0,4238000000.0,4397000000.0,4348000000.0
ebit,1569000000.0,1240000000.0,1407000000.0,1347000000.0
operatingIncome,1569000000.0,1240000000.0,1407000000.0,1347000000.0
otherOperatingExpenses,,,,
interestExpense,-87000000.0,-93000000.0,-79000000.0,-82000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,371000000.0,192000000.0,314000000.0,258000000.0
totalRevenue,13022000000.0,11797000000.0,11486000000.0,11221000000.0
totalOperatingExpenses,11453000000.0,10557000000.0,10079000000.0,9874000000.0
costOfRevenue,8302000000.0,7559000000.0,7089000000.0,6873000000.0
totalOtherIncomeExpenseNet,-84000000.0,-293000000.0,-198000000.0,-266000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1114000000.0,755000000.0,895000000.0,823000000.0
netIncomeApplicableToCommonShares,1043000000.0,695000000.0,849000000.0,782000000.0
changeToLiabilities,54000000.0,80000000.0,32000000.0,-51000000.0
totalCashflowsFromInvestingActivities,-226000000.0,-179000000.0,-202000000.0,-166000000.0
netBorrowings,-8000000.0,161000000.0,-37000000.0,-101000000.0
totalCashFromFinancingActivities,-1039000000.0,-726000000.0,-1023000000.0,-670000000.0
changeToOperatingActivities,5000000.0,5000000.0,-136000000.0,-11000000.0
issuanceOfStock,48000000.0,70000000.0,49000000.0,181000000.0
changeInCash,-344000000.0,225000000.0,-178000000.0,211000000.0
repurchaseOfStock,-725000000.0,-619000000.0,-711000000.0,-437000000.0
effectOfExchangeRate,-16000000.0,7000000.0,5000000.0,-10000000.0
totalCashFromOperatingActivities,937000000.0,1123000000.0,1042000000.0,1057000000.0
depreciation,185000000.0,182000000.0,229000000.0,257000000.0
dividendsPaid,-334000000.0,-320000000.0,-312000000.0,-302000000.0
changeToInventory,-152000000.0,-158000000.0,-106000000.0,-129000000.0
changeToAccountReceivables,-324000000.0,-121000000.0,-42000000.0,-79000000.0
otherCashflowsFromFinancingActivities,-20000000.0,-18000000.0,-12000000.0,-11000000.0
changeToNetincome,152000000.0,416000000.0,219000000.0,252000000.0
capitalExpenditures,-255000000.0,-197000000.0,-221000000.0,-239000000.0
otherCashflowsFromInvestingActivities,,-2000000.0,-2000000.0,-13000000.0
investments,,,2000000.0,2000000.0
annualDilutedAverageShares,52200000.0,53700000.0,54900000.0,56534000.0
