,2021,2020,2019,2018
capitalSurplus,32000000.0,,143000000.0,211000000.0
totalLiab,15593000000.0,15697000000.0,17352000000.0,16438000000.0
totalStockholderEquity,6713000000.0,4974000000.0,8012000000.0,9522000000.0
minorityInterest,15000000.0,9000000.0,13000000.0,22000000.0
otherCurrentLiab,895000000.0,1069000000.0,1294000000.0,790000000.0
totalAssets,22321000000.0,20680000000.0,25377000000.0,25982000000.0
commonStock,2665000000.0,2666000000.0,2669000000.0,2671000000.0
otherCurrentAssets,872000000.0,1492000000.0,1228000000.0,881000000.0
retainedEarnings,9710000000.0,8691000000.0,11989000000.0,13739000000.0
otherLiab,1230000000.0,1268000000.0,1209000000.0,1324000000.0
goodWill,2843000000.0,2804000000.0,2812000000.0,2825000000.0
treasuryStock,-5694000000.0,-6383000000.0,-6789000000.0,-7099000000.0
otherAssets,3841000000.0,3177000000.0,2989000000.0,3133000000.0
cash,3044000000.0,2563000000.0,2268000000.0,2008000000.0
totalCurrentLiabilities,4306000000.0,4421000000.0,4878000000.0,4802000000.0
deferredLongTermAssetCharges,2695000000.0,2166000000.0,1683000000.0,1384000000.0
shortLongTermDebt,7000000.0,695000000.0,11000000.0,
otherStockholderEquity,-183000000.0,-362000000.0,-362000000.0,-355000000.0
propertyPlantEquipment,5345000000.0,5224000000.0,8364000000.0,8873000000.0
totalCurrentAssets,9943000000.0,9475000000.0,11212000000.0,11151000000.0
longTermInvestments,349000000.0,,,
netTangibleAssets,3870000000.0,2170000000.0,5200000000.0,6697000000.0
netReceivables,3666000000.0,3071000000.0,4577000000.0,5234000000.0
longTermDebt,9127000000.0,9132000000.0,10316000000.0,10312000000.0
inventory,2361000000.0,2349000000.0,3139000000.0,3028000000.0
accountsPayable,2353000000.0,1573000000.0,2432000000.0,3018000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1252000000.0,-3220000000.0,-1122000000.0,1814000000.0
netIncome,1457000000.0,-2945000000.0,-1131000000.0,1656000000.0
sellingGeneralAdministrative,204000000.0,182000000.0,227000000.0,254000000.0
grossProfit,2016000000.0,1040000000.0,2285000000.0,2986000000.0
ebit,1741000000.0,577000000.0,1481000000.0,2732000000.0
operatingIncome,1741000000.0,577000000.0,1481000000.0,2732000000.0
otherOperatingExpenses,71000000.0,281000000.0,577000000.0,577000000.0
interestExpense,-529000000.0,-543000000.0,-592000000.0,-598000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-216000000.0,-278000000.0,7000000.0,157000000.0
totalRevenue,15295000000.0,14445000000.0,22408000000.0,23995000000.0
totalOperatingExpenses,13554000000.0,13868000000.0,20927000000.0,21263000000.0
costOfRevenue,13279000000.0,13405000000.0,20123000000.0,21009000000.0
totalOtherIncomeExpenseNet,-489000000.0,-3797000000.0,-2603000000.0,-918000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1468000000.0,-2942000000.0,-1129000000.0,1657000000.0
netIncomeApplicableToCommonShares,1457000000.0,-2945000000.0,-1131000000.0,1656000000.0
changeToLiabilities,795000000.0,-934000000.0,-595000000.0,483000000.0
totalCashflowsFromInvestingActivities,-534000000.0,-486000000.0,-1445000000.0,-1993000000.0
netBorrowings,-700000000.0,-660000000.0,-13000000.0,-445000000.0
totalCashFromFinancingActivities,-838000000.0,-1007000000.0,-695000000.0,-1419000000.0
issuanceOfStock,79000000.0,87000000.0,118000000.0,195000000.0
changeInCash,481000000.0,295000000.0,260000000.0,-329000000.0
effectOfExchangeRate,-58000000.0,-93000000.0,-45000000.0,-74000000.0
totalCashFromOperatingActivities,1911000000.0,1881000000.0,2445000000.0,3157000000.0
depreciation,904000000.0,1058000000.0,1625000000.0,1606000000.0
otherCashflowsFromInvestingActivities,-79000000.0,-44000000.0,-105000000.0,2000000.0
dividendsPaid,-161000000.0,-278000000.0,-630000000.0,-630000000.0
changeToInventory,-10000000.0,340000000.0,-202000000.0,-681000000.0
changeToAccountReceivables,-500000000.0,1394000000.0,636000000.0,-186000000.0
otherCashflowsFromFinancingActivities,-56000000.0,-56000000.0,-70000000.0,-139000000.0
changeToNetincome,-735000000.0,2968000000.0,2112000000.0,279000000.0
capitalExpenditures,-799000000.0,-728000000.0,-1530000000.0,-2026000000.0
repurchaseOfStock,,-100000000.0,-100000000.0,-400000000.0
annualDilutedAverageShares,892000000.0,881000000.0,875000000.0,877000000.0
