,2022,2021,2020,2019
intangibleAssets,3503000000.0,3612000000.0,,
capitalSurplus,12132000000.0,11540000000.0,11001000000.0,10578000000.0
totalLiab,73572000000.0,67282000000.0,54352000000.0,45881000000.0
totalStockholderEquity,-1696000000.0,3299000000.0,-3116000000.0,-1878000000.0
otherCurrentLiab,3754000000.0,3016000000.0,2171000000.0,1793000000.0
totalAssets,71876000000.0,70581000000.0,51236000000.0,44003000000.0
commonStock,90000000.0,89000000.0,89000000.0,89000000.0
otherCurrentAssets,1218000000.0,963000000.0,1040000000.0,890000000.0
retainedEarnings,67580000000.0,58134000000.0,51729000000.0,46423000000.0
otherLiab,2922000000.0,2938000000.0,2241000000.0,2358000000.0
goodWill,7449000000.0,7126000000.0,2254000000.0,2252000000.0
treasuryStock,-81498000000.0,-66464000000.0,-65935000000.0,-58968000000.0
otherAssets,644000000.0,527000000.0,687000000.0,847000000.0
cash,2343000000.0,7895000000.0,2133000000.0,1778000000.0
totalCurrentLiabilities,28693000000.0,23166000000.0,18375000000.0,16716000000.0
deferredLongTermAssetCharges,344000000.0,305000000.0,139000000.0,121000000.0
shortLongTermDebt,2249000000.0,1350000000.0,1755000000.0,999000000.0
otherStockholderEquity,-704000000.0,-671000000.0,-739000000.0,-772000000.0
propertyPlantEquipment,31167000000.0,30667000000.0,28365000000.0,22375000000.0
totalCurrentAssets,29055000000.0,28477000000.0,19810000000.0,18529000000.0
longTermInvestments,58000000.0,172000000.0,120000000.0,
netTangibleAssets,-12648000000.0,-7439000000.0,-5370000000.0,-4130000000.0
netReceivables,3426000000.0,2992000000.0,2106000000.0,1936000000.0
longTermDebt,33566000000.0,33122000000.0,27589000000.0,25815000000.0
inventory,22068000000.0,16627000000.0,14531000000.0,13925000000.0
accountsPayable,13462000000.0,11606000000.0,7787000000.0,7755000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,21737000000.0,16978000000.0,14715000000.0,14556000000.0
minorityInterest,,,,
netIncome,16433000000.0,12866000000.0,11242000000.0,11121000000.0
sellingGeneralAdministrative,25144000000.0,22237000000.0,19740000000.0,19513000000.0
grossProfit,50832000000.0,44853000000.0,37572000000.0,37160000000.0
ebit,23302000000.0,20488000000.0,15843000000.0,15777000000.0
operatingIncome,23302000000.0,20488000000.0,15843000000.0,15777000000.0
otherOperatingExpenses,,,,
interestExpense,-1347000000.0,-1347000000.0,-1201000000.0,-1051000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5304000000.0,4112000000.0,3473000000.0,3435000000.0
totalRevenue,151157000000.0,132110000000.0,110225000000.0,108203000000.0
totalOperatingExpenses,127855000000.0,111622000000.0,94382000000.0,92426000000.0
costOfRevenue,100325000000.0,87257000000.0,72653000000.0,71043000000.0
totalOtherIncomeExpenseNet,-1565000000.0,-3510000000.0,-1128000000.0,-1221000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,16433000000.0,12866000000.0,11242000000.0,11121000000.0
netIncomeApplicableToCommonShares,16433000000.0,12866000000.0,11242000000.0,11121000000.0
changeToLiabilities,2900000000.0,5251000000.0,568000000.0,976000000.0
totalCashflowsFromInvestingActivities,-2969000000.0,-10170000000.0,-2653000000.0,-2416000000.0
netBorrowings,2482000000.0,4087000000.0,1985000000.0,2037000000.0
totalCashFromFinancingActivities,-19120000000.0,-2983000000.0,-10798000000.0,-12547000000.0
changeToOperatingActivities,-330000000.0,43000000.0,-135000000.0,-257000000.0
issuanceOfStock,337000000.0,326000000.0,280000000.0,236000000.0
changeInCash,-5552000000.0,5762000000.0,355000000.0,-1817000000.0
repurchaseOfStock,-14809000000.0,-791000000.0,-6965000000.0,-9963000000.0
effectOfExchangeRate,-34000000.0,76000000.0,119000000.0,-19000000.0
totalCashFromOperatingActivities,16571000000.0,18839000000.0,13687000000.0,13165000000.0
depreciation,2862000000.0,2519000000.0,2296000000.0,2152000000.0
otherCashflowsFromInvestingActivities,18000000.0,73000000.0,25000000.0,47000000.0
dividendsPaid,-6985000000.0,-6451000000.0,-5958000000.0,-4704000000.0
changeToInventory,-5403000000.0,-1657000000.0,-593000000.0,-1244000000.0
changeToAccountReceivables,-435000000.0,-465000000.0,-170000000.0,33000000.0
otherCashflowsFromFinancingActivities,-145000000.0,-154000000.0,-140000000.0,-153000000.0
changeToNetincome,595000000.0,431000000.0,435000000.0,426000000.0
capitalExpenditures,-2566000000.0,-2463000000.0,-2678000000.0,-2442000000.0
annualDilutedAverageShares,1058000000.0,1078000000.0,1097000000.0,1143000000.0
