,2021,2020,2019,2018
intangibleAssets,1159000000.0,512000000.0,492000000.0,492000000.0
capitalSurplus,1998000000.0,1972000000.0,1961000000.0,1954000000.0
totalLiab,7819000000.0,6256000000.0,5443000000.0,4867000000.0
totalStockholderEquity,2808000000.0,1901000000.0,1588000000.0,1516000000.0
otherCurrentLiab,983000000.0,917000000.0,704000000.0,634000000.0
totalAssets,10627000000.0,8157000000.0,7031000000.0,6383000000.0
commonStock,1000000.0,1000000.0,1000000.0,1000000.0
retainedEarnings,3891000000.0,3533000000.0,3009000000.0,2609000000.0
otherLiab,1900000000.0,2187000000.0,2103000000.0,1755000000.0
goodWill,2628000000.0,1617000000.0,1373000000.0,1263000000.0
treasuryStock,-3082000000.0,-3605000000.0,-3383000000.0,-3048000000.0
otherAssets,615000000.0,414000000.0,348000000.0,366000000.0
cash,627000000.0,512000000.0,75000000.0,240000000.0
totalCurrentLiabilities,2427000000.0,2226000000.0,1890000000.0,1829000000.0
otherStockholderEquity,-923000000.0,-1547000000.0,-1409000000.0,-1288000000.0
propertyPlantEquipment,3348000000.0,3170000000.0,3033000000.0,2517000000.0
totalCurrentAssets,2790000000.0,2444000000.0,1785000000.0,1745000000.0
longTermInvestments,87000000.0,,,
netTangibleAssets,-979000000.0,-228000000.0,-277000000.0,-239000000.0
netReceivables,1952000000.0,1617000000.0,1455000000.0,1349000000.0
longTermDebt,3298000000.0,1686000000.0,1286000000.0,1283000000.0
inventory,161000000.0,137000000.0,136000000.0,128000000.0
accountsPayable,603000000.0,460000000.0,497000000.0,562000000.0
otherCurrentAssets,,133000000.0,95000000.0,1000000.0
deferredLongTermAssetCharges,,133000000.0,108000000.0,163000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,622000000,810000000,683000000,971000000
minorityInterest,,,,
netIncome,544000000,696000000,549000000,836000000
sellingGeneralAdministrative,701000000,785000000,776000000,797000000
grossProfit,1368000000,1670000000,1531000000,1791000000
ebit,668000000,886000000,755000000,1008000000
operatingIncome,668000000,886000000,755000000,1008000000
otherOperatingExpenses,-1000000,-1000000,-1000000,-14000000
interestExpense,-89000000,-114000000,-70000000,-58000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,78000000,114000000,134000000,135000000
totalRevenue,9524000000,9361000000,8899000000,8176000000
totalOperatingExpenses,8856000000,8475000000,8144000000,7168000000
costOfRevenue,8156000000,7691000000,7368000000,6385000000
totalOtherIncomeExpenseNet,-46000000,-76000000,-72000000,-37000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,544000000,696000000,549000000,836000000
netIncomeApplicableToCommonShares,544000000,696000000,549000000,836000000
investments,-22000000,-22000000,-22000000,-10000000
changeToLiabilities,45000000,344000000,4000000,335000000
totalCashflowsFromInvestingActivities,-1954000000,-759000000,-627000000,-476000000
netBorrowings,1625000000,400000000,400000000,400000000
totalCashFromFinancingActivities,1309000000,103000000,-434000000,-899000000
changeToOperatingActivities,-166000000,-238000000,-13000000,-494000000
changeInCash,115000000,437000000,-165000000,-461000000
repurchaseOfStock,-108000000,-97000000,-285000000,-767000000
totalCashFromOperatingActivities,760000000,1093000000,896000000,914000000
depreciation,293000000,247000000,227000000,203000000
otherCashflowsFromInvestingActivities,22000000,11000000,98000000,61000000
dividendsPaid,-186000000,-172000000,-149000000,-132000000
changeToInventory,-25000000,11000000,-11000000,40000000
changeToAccountReceivables,-68000000,-48000000,-19000000,-47000000
otherCashflowsFromFinancingActivities,-22000000,-28000000,-28000000,-28000000
changeToNetincome,129000000,74000000,156000000,37000000
capitalExpenditures,-331000000,-353000000,-530000000,-463000000
