,2021,2020,2019,2018
intangibleAssets,3613000000.0,3560000000.0,3734000000.0,4139000000.0
capitalSurplus,8141000000.0,7292000000.0,6876000000.0,6452000000.0
totalLiab,45221000000.0,46789000000.0,39966000000.0,39408000000.0
totalStockholderEquity,18569000000.0,17549000000.0,18494000000.0,18180000000.0
minorityInterest,680000000.0,248000000.0,219000000.0,185000000.0
otherCurrentLiab,4408000000.0,4323000000.0,3957000000.0,3623000000.0
totalAssets,64470000000.0,64586000000.0,58679000000.0,57773000000.0
commonStock,958000000.0,958000000.0,958000000.0,958000000.0
otherCurrentAssets,1700000000.0,1463000000.0,1658000000.0,1478000000.0
retainedEarnings,42827000000.0,39905000000.0,37693000000.0,33978000000.0
otherLiab,10612000000.0,10609000000.0,10224000000.0,10728000000.0
goodWill,17756000000.0,16058000000.0,15563000000.0,15546000000.0
treasuryStock,-33357000000.0,-30606000000.0,-27033000000.0,-23208000000.0
otherAssets,9998000000.0,9765000000.0,8493000000.0,7688000000.0
cash,10959000000.0,14275000000.0,9067000000.0,9287000000.0
totalCurrentLiabilities,19508000000.0,19197000000.0,18098000000.0,18924000000.0
deferredLongTermAssetCharges,489000000.0,760000000.0,86000000.0,382000000.0
shortLongTermDebt,1746000000.0,2385000000.0,1317000000.0,2872000000.0
otherStockholderEquity,-2895000000.0,-3377000000.0,-3197000000.0,-3437000000.0
propertyPlantEquipment,6509000000.0,6343000000.0,5998000000.0,5296000000.0
totalCurrentAssets,25372000000.0,28175000000.0,24303000000.0,24362000000.0
longTermInvestments,1222000000.0,685000000.0,588000000.0,742000000.0
netTangibleAssets,-2800000000.0,-2069000000.0,-803000000.0,-1505000000.0
shortTermInvestments,564000000.0,945000000.0,1349000000.0,1623000000.0
netReceivables,7011000000.0,7003000000.0,7808000000.0,7648000000.0
longTermDebt,14155000000.0,16218000000.0,10954000000.0,9756000000.0
inventory,5138000000.0,4489000000.0,4421000000.0,4326000000.0
accountsPayable,6484000000.0,5750000000.0,5730000000.0,5607000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,7235000000.0,6012000000.0,7559000000.0,7487000000.0
netIncome,5542000000.0,4779000000.0,6143000000.0,6765000000.0
sellingGeneralAdministrative,3525000000.0,3814000000.0,4866000000.0,4854000000.0
grossProfit,10998000000.0,10468000000.0,12370000000.0,12756000000.0
ebit,7473000000.0,6654000000.0,7504000000.0,7902000000.0
operatingIncome,7473000000.0,6654000000.0,7504000000.0,7902000000.0
otherOperatingExpenses,,,,
interestExpense,-359000000.0,-377000000.0,-376000000.0,-367000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1625000000.0,1147000000.0,1329000000.0,659000000.0
totalRevenue,34392000000.0,32637000000.0,36709000000.0,41802000000.0
totalOperatingExpenses,26919000000.0,25983000000.0,29205000000.0,33900000000.0
costOfRevenue,23394000000.0,22169000000.0,24339000000.0,29046000000.0
totalOtherIncomeExpenseNet,-238000000.0,-642000000.0,55000000.0,-415000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,5610000000.0,4865000000.0,6230000000.0,6828000000.0
netIncomeApplicableToCommonShares,5542000000.0,4779000000.0,6143000000.0,6765000000.0
investments,152000000.0,272000000.0,211000000.0,1973000000.0
changeToLiabilities,744000000.0,15000000.0,118000000.0,733000000.0
totalCashflowsFromInvestingActivities,-1061000000.0,-987000000.0,-533000000.0,1027000000.0
netBorrowings,-2396000000.0,5891000000.0,-177000000.0,-1507000000.0
totalCashFromFinancingActivities,-8254000000.0,-81000000.0,-6600000000.0,-5032000000.0
changeToOperatingActivities,237000000.0,746000000.0,15000000.0,292000000.0
issuanceOfStock,229000000.0,393000000.0,498000000.0,267000000.0
changeInCash,-3316000000.0,5208000000.0,-220000000.0,2228000000.0
repurchaseOfStock,-3380000000.0,-3714000000.0,-4400000000.0,-4000000000.0
effectOfExchangeRate,-39000000.0,68000000.0,16000000.0,-201000000.0
totalCashFromOperatingActivities,6038000000.0,6208000000.0,6897000000.0,6434000000.0
depreciation,1223000000.0,1002000000.0,1088000000.0,1116000000.0
otherCashflowsFromInvestingActivities,778000000.0,-149000000.0,102000000.0,402000000.0
dividendsPaid,-2626000000.0,-2592000000.0,-2442000000.0,-2272000000.0
changeToInventory,-685000000.0,-67000000.0,-100000000.0,-503000000.0
changeToAccountReceivables,-8000000.0,669000000.0,11000000.0,-236000000.0
otherCashflowsFromFinancingActivities,-81000000.0,-59000000.0,-79000000.0,2480000000.0
changeToNetincome,-1015000000.0,-936000000.0,-378000000.0,-1733000000.0
capitalExpenditures,-895000000.0,-906000000.0,-839000000.0,-828000000.0
annualDilutedAverageShares,700400000.0,711200000.0,730300000.0,753000000.0
