,2022,2021,2020,2019,2018
intangibleAssets,18136000000.0,1022000000.0,1103000000.0,1128000000.0,789000000.0
capitalSurplus,28299000000.0,28470000000.0,28350000000.0,28444000000.0,30342000000.0
totalLiab,37214000000.0,37682000000.0,37919000000.0,34654000000.0,34219000000.0
totalStockholderEquity,19864000000.0,19971000000.0,16049000000.0,17098000000.0,21239000000.0
minorityInterest,45000000.0,46000000.0,47000000.0,51000000.0,35000000.0
deferredLongTermLiab,,95000000.0,76000000.0,74000000.0,
otherCurrentLiab,3819000000.0,4816000000.0,4663000000.0,3910000000.0,4090000000.0
totalAssets,57123000000.0,57699000000.0,54015000000.0,51803000000.0,55493000000.0
commonStock,13000000.0,13000000.0,13000000.0,13000000.0,14000000.0
otherCurrentAssets,3559000000.0,1498000000.0,1782000000.0,1839000000.0,210000000.0
retainedEarnings,-5350000000.0,-5597000000.0,-8375000000.0,-7632000000.0,-5899000000.0
otherLiab,6187000000.0,6161000000.0,6097000000.0,6100000000.0,6885000000.0
goodWill,,18162000000.0,17873000000.0,18162000000.0,17393000000.0
treasuryStock,-3098000000.0,-2915000000.0,-3939000000.0,-3727000000.0,-3218000000.0
otherAssets,,5415000000.0,3989000000.0,3706000000.0,6619000000.0
cash,4163000000.0,3098000000.0,3504000000.0,3042000000.0,4067000000.0
totalCurrentLiabilities,23174000000.0,20687000000.0,18738000000.0,19159000000.0,17198000000.0
deferredLongTermAssetCharges,,2023000000.0,1778000000.0,1515000000.0,2403000000.0
shortLongTermDebt,,2608000000.0,2765000000.0,3452000000.0,1196000000.0
otherStockholderEquity,-3098000000.0,-2915000000.0,-3939000000.0,-3727000000.0,-3218000000.0
propertyPlantEquipment,5784000000.0,2496000000.0,2528000000.0,1970000000.0,1926000000.0
totalCurrentAssets,20506000000.0,18878000000.0,16556000000.0,15143000000.0,17272000000.0
longTermInvestments,2160000000.0,2543000000.0,2685000000.0,2517000000.0,2398000000.0
netTangibleAssets,1728000000.0,643000000.0,-3071000000.0,-2336000000.0,2913000000.0
netReceivables,4101000000.0,4926000000.0,4073000000.0,3592000000.0,5546000000.0
longTermDebt,7853000000.0,9848000000.0,12133000000.0,9328000000.0,10136000000.0
inventory,5161000000.0,4511000000.0,2674000000.0,2387000000.0,2447000000.0
accountsPayable,8717000000.0,7004000000.0,5383000000.0,5595000000.0,6092000000.0
researchDevelopment,2045000000,1979000000.0,1874000000.0,1842000000.0,1667000000.0
effectOfAccountingCharges,,,,,
incomeBeforeTax,876000000,3587000000.0,-442000000.0,1553000000.0,268000000.0
netIncome,868000000,3427000000.0,-322000000.0,1049000000.0,1908000000.0
sellingGeneralAdministrative,4807000000,4851000000.0,4483000000.0,4837000000.0,4783000000.0
grossProfit,9617000000,9376000000.0,8469000000.0,9493000000.0,9231000000.0
