,2022,2021,2020,2019,2018
intangibleAssets,,784000000.0,540000000.0,661000000.0,453000000.0
capitalSurplus,,1060000000.0,963000000.0,835000000.0,663000000.0
totalLiab,41505000000.0,40260000000.0,36909000000.0,34660000000.0,35261000000.0
totalStockholderEquity,-2918000000.0,-1650000000.0,-2228000000.0,-1193000000.0,-639000000.0
deferredLongTermLiab,,36000000.0,34000000.0,30000000.0,
otherCurrentLiab,10651000000.0,5532000000.0,5137000000.0,4619000000.0,3976000000.0
totalAssets,38587000000.0,38610000000.0,34681000000.0,33467000000.0,34622000000.0
commonStock,-2918000000.0,11000000.0,13000000.0,15000000.0,16000000.0
otherCurrentAssets,4515000000.0,278000000.0,226000000.0,324000000.0,408000000.0
retainedEarnings,,-2461000000.0,-1961000000.0,-818000000.0,-473000000.0
otherLiab,4556000000.0,3818000000.0,4239000000.0,4587000000.0,5583000000.0
goodWill,8541000000.0,6803000000.0,6380000000.0,6372000000.0,5968000000.0
treasuryStock,,-260000000.0,-1243000000.0,-1225000000.0,-845000000.0
otherAssets,7471000000.0,4985000000.0,3277000000.0,3403000000.0,4563000000.0
cash,3145000000.0,4299000000.0,4864000000.0,4537000000.0,5166000000.0
totalCurrentLiabilities,26153000000.0,29096000000.0,26220000000.0,25293000000.0,25131000000.0
deferredLongTermAssetCharges,,2917000000.0,2515000000.0,2620000000.0,2431000000.0
shortLongTermDebt,,662000000.0,633000000.0,307000000.0,565000000.0
otherStockholderEquity,,-260000000.0,-1243000000.0,-1225000000.0,-845000000.0
propertyPlantEquipment,2774000000.0,3738000000.0,3734000000.0,2794000000.0,2198000000.0
totalCurrentAssets,19801000000.0,22170000000.0,20648000000.0,20177000000.0,21387000000.0
longTermInvestments,,130000000.0,102000000.0,60000000.0,53000000.0
netTangibleAssets,-11459000000.0,-9237000000.0,-9148000000.0,-8226000000.0,-7060000000.0
shortTermInvestments,,5000000.0,274000000.0,,711000000.0
netReceivables,4546000000.0,8849000000.0,8443000000.0,8939000000.0,8003000000.0
longTermDebt,10796000000.0,6396000000.0,5546000000.0,4780000000.0,4547000000.0
inventory,7595000000.0,7930000000.0,5963000000.0,5734000000.0,6062000000.0
accountsPayable,15284000000.0,16075000000.0,14704000000.0,14793000000.0,14816000000.0
researchDevelopment,1593000000,1907000000.0,1478000000.0,1499000000.0,1404000000.0
effectOfAccountingCharges,,,,,
incomeBeforeTax,4441000000,7511000000.0,3231000000.0,2523000000.0,3013000000.0
minorityInterest,,,,,
netIncome,3203000000,6503000000.0,2844000000.0,3152000000.0,5327000000.0
sellingGeneralAdministrative,5264000000,5545000000.0,4881000000.0,5290000000.0,4866000000.0
grossProfit,12335000000,13417000000.0,10437000000.0,11170000000.0,10669000000.0
ebit,5250000000,5811000000.0,3965000000.0,4265000000.0,4319000000.0
operatingIncome,5250000000,5811000000.0,3965000000.0,4265000000.0,4319000000.0
otherOperatingExpenses,,,,,
interestExpense,-235000000,-254000000.0,-239000000.0,-242000000.0,-312000000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,1238000000,1008000000.0,387000000.0,-629000000.0,-2314000000.0
totalRevenue,62983000000,63487000000.0,56639000000.0,58756000000.0,58472000000.0
totalOperatingExpenses,57733000000,57676000000.0,52674000000.0,54491000000.0,54153000000.0
costOfRevenue,50648000000,50070000000.0,46202000000.0,47586000000.0,47803000000.0
totalOtherIncomeExpenseNet,-809000000,1700000000.0,-734000000.0,-1742000000.0,-1306000000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,3203000000,6503000000.0,2844000000.0,3152000000.0,5327000000.0
netIncomeApplicableToCommonShares,3203000000,6503000000.0,2844000000.0,3152000000.0,5327000000.0
investments,-43000000,276000000.0,-276000000.0,691000000.0,480000000.0
changeToLiabilities,-928000000,1257000000.0,-35000000.0,-53000000.0,1429000000.0
totalCashflowsFromInvestingActivities,-3549000000,-1012000000.0,-1016000000.0,-438000000.0,-716000000.0
netBorrowings,3082000000,1276000000.0,1259000000.0,-1409000000.0,-2239000000.0
totalCashFromFinancingActivities,-2068000000,-5962000000.0,-2973000000.0,-4845000000.0,-5643000000.0
changeToOperatingActivities,-1627000000,-329000000.0,-673000000.0,1532000000.0,416000000.0
changeInCash,-1154000000,-565000000.0,327000000.0,-629000000.0,-1831000000.0
repurchaseOfStock,-4297000000,-6249000000.0,-3107000000.0,-2405000000.0,-2557000000.0
totalCashFromOperatingActivities,4463000000,6409000000.0,4316000000.0,4654000000.0,4528000000.0
depreciation,780000000,785000000.0,789000000.0,744000000.0,528000000.0
otherCashflowsFromInvestingActivities,14000000,148000000.0,-163000000.0,-163000000.0,214000000.0
dividendsPaid,-1037000000,-938000000.0,-997000000.0,-970000000.0,-899000000.0
changeToInventory,233000000,-2164000000.0,-386000000.0,-68000000.0,-136000000.0
changeToAccountReceivables,1260000000,-80000000.0,575000000.0,-761000000.0,-491000000.0
otherCashflowsFromFinancingActivities,184000000,-51000000.0,-128000000.0,-61000000.0,-61000000.0
changeToNetincome,1625000000,373000000.0,1349000000.0,959000000.0,-2934000000.0
capitalExpenditures,-791000000,-582000000.0,-580000000.0,-671000000.0,-546000000.0
issuanceOfStock,,,,,52000000.0
annualDilutedAverageShares,,1220000000.0,1420000000.0,1524000000.0,
