,2021,2020,2019,2018
intangibleAssets,732975000.0,527079000.0,615323000.0,414272000.0
totalLiab,3804587000.0,3460448000.0,3233706000.0,4646583000.0
totalStockholderEquity,3425126000.0,3348172000.0,2998044000.0,2961332000.0
minorityInterest,1251378000.0,963912000.0,919351000.0,892612000.0
otherCurrentLiab,230439000.0,210171000.0,235971000.0,797520000.0
totalAssets,8481091000.0,7772532000.0,7151101000.0,8500527000.0
commonStock,1371000.0,1425000.0,1434000.0,1514000.0
retainedEarnings,3595233000.0,3454831000.0,3116215000.0,3208589000.0
otherLiab,418955000.0,422846000.0,396162000.0,447412000.0
goodWill,2854150000.0,2504392000.0,2462495000.0,2081029000.0
treasuryStock,-171478000.0,-108084000.0,-167373000.0,-248771000.0
otherAssets,190407000.0,149413000.0,120815000.0,1254831000.0
cash,117965000.0,421185000.0,106097000.0,56885000.0
totalCurrentLiabilities,2306514000.0,2283102000.0,2038369000.0,3218827000.0
deferredLongTermAssetCharges,34607000.0,42594000.0,23625000.0,12196000.0
shortLongTermDebt,7424000.0,107416000.0,108113000.0,7304000.0
otherStockholderEquity,-171478000.0,-108084000.0,-167373000.0,-248771000.0
propertyPlantEquipment,691406000.0,630851000.0,561307000.0,314221000.0
totalCurrentAssets,3844035000.0,3791415000.0,3226502000.0,4175220000.0
longTermInvestments,168118000.0,169382000.0,164659000.0,260954000.0
netTangibleAssets,-161999000.0,316701000.0,-79774000.0,466031000.0
netReceivables,1451829000.0,1424787000.0,1246246000.0,1168776000.0
longTermDebt,807386000.0,512232000.0,619250000.0,977376000.0
inventory,1861138000.0,1512499000.0,1428799000.0,1415512000.0
accountsPayable,1053934000.0,1005655000.0,880266000.0,785756000.0
capitalSurplus,,,47768000.0,
otherCurrentAssets,,,,1083014000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,857875000.0,513811000.0,884976000.0,557873000.0
netIncome,631232000.0,403794000.0,694734000.0,535881000.0
sellingGeneralAdministrative,2824043000.0,2247757000.0,2357920000.0,2217273000.0
grossProfit,3672251000.0,2814228000.0,3090886000.0,2910747000.0
ebit,848208000.0,566471000.0,732966000.0,693474000.0
operatingIncome,848208000.0,566471000.0,732966000.0,693474000.0
otherOperatingExpenses,,,,
interestExpense,-27600000.0,-41377000.0,-50792000.0,-76016000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,197349000.0,95374000.0,159515000.0,107432000.0
totalRevenue,12401021000.0,10119141000.0,9985803000.0,9417603000.0
totalOperatingExpenses,11552813000.0,9552670000.0,9252837000.0,8724129000.0
costOfRevenue,8728770000.0,7304913000.0,6894917000.0,6506856000.0
totalOtherIncomeExpenseNet,9667000.0,-52660000.0,152010000.0,-135601000.0
discontinuedOperations,,986000.0,-5957000.0,105164000.0
netIncomeFromContinuingOps,660526000.0,418437000.0,725461000.0,450441000.0
netIncomeApplicableToCommonShares,631232000.0,403794000.0,694734000.0,535881000.0
investments,-560801000.0,-46153000.0,-348628000.0,-52240000.0
changeToLiabilities,84708000.0,224273000.0,160851000.0,180606000.0
totalCashflowsFromInvestingActivities,-677217000.0,-115019000.0,-424373000.0,-192954000.0
netBorrowings,164322000.0,-64713000.0,-1188115000.0,301006000.0
totalCashFromFinancingActivities,-332957000.0,-187185000.0,-215980000.0,-603776000.0
changeToOperatingActivities,9060000.0,-6479000.0,-57291000.0,-165645000.0
changeInCash,-303220000.0,315088000.0,25888000.0,-94449000.0
repurchaseOfStock,-408682000.0,-88088000.0,-535814000.0,-218023000.0
effectOfExchangeRate,-2626000.0,18382000.0,12154000.0,17575000.0
totalCashFromOperatingActivities,709580000.0,598910000.0,654087000.0,684706000.0
depreciation,209528000.0,185538000.0,184942000.0,143630000.0
otherCashflowsFromInvestingActivities,-37401000.0,-20037000.0,474000.0,-69431000.0
changeToInventory,-295131000.0,-31817000.0,14702000.0,-41042000.0
changeToAccountReceivables,4162000.0,-189349000.0,-72689000.0,-127201000.0
otherCashflowsFromFinancingActivities,-88597000.0,-34384000.0,1146825000.0,-689835000.0
changeToNetincome,66021000.0,12950000.0,-271162000.0,158477000.0
capitalExpenditures,-79015000.0,-48829000.0,-76219000.0,-71283000.0
issuanceOfStock,,,361124000.0,3076000.0
annualDilutedAverageShares,141773000.0,143404000.0,149257000.0,153707000.0
