,2021,2020,2019,2018
intangibleAssets,2298244000.0,1482887000.0,1495008000.0,1404671000.0
capitalSurplus,1260331000.0,1191200000.0,1142210000.0,982205000.0
totalLiab,7655002000.0,6893962000.0,6395401000.0,6295754000.0
totalStockholderEquity,2757229000.0,2234352000.0,1739222000.0,1398721000.0
otherCurrentLiab,3070000.0,17051000.0,19921000.0,34369000.0
totalAssets,10412231000.0,9131845000.0,8140395000.0,7703020000.0
commonStock,221553000.0,221553000.0,221553000.0,359901000.0
otherCurrentAssets,127678000.0,158809000.0,156022000.0,203669000.0
retainedEarnings,2719936000.0,1928673000.0,1290461000.0,7032020000.0
otherLiab,764163000.0,730591000.0,671632000.0,622908000.0
goodWill,2633174000.0,1988215000.0,1985955000.0,1801103000.0
treasuryStock,-1444591000.0,-1107074000.0,-915002000.0,-6975405000.0
otherAssets,203619000.0,120964000.0,168513000.0,127771000.0
cash,329266000.0,1143987000.0,493262000.0,587998000.0
totalCurrentLiabilities,2493313000.0,1891745000.0,2008793000.0,2418566000.0
deferredLongTermAssetCharges,40873000.0,29369000.0,31033000.0,1166000.0
otherStockholderEquity,-249215000.0,-338082000.0,-323966000.0,-356780000.0
propertyPlantEquipment,2937899000.0,2509523000.0,2373817000.0,2130294000.0
totalCurrentAssets,2246206000.0,2977905000.0,2117102000.0,2239181000.0
longTermInvestments,93089000.0,52351000.0,,
netTangibleAssets,-2174189000.0,-1236750000.0,-1741741000.0,-1807053000.0
netReceivables,671464000.0,615233000.0,568509000.0,594145000.0
longTermDebt,4020325000.0,4013868000.0,3455249000.0,3152300000.0
inventory,988511000.0,964207000.0,815251000.0,784879000.0
accountsPayable,692338000.0,580058000.0,550828000.0,502314000.0
minorityInterest,,3531000.0,5772000.0,8545000.0
shortLongTermDebt,,433961000.0,699311000.0,5387000.0
researchDevelopment,40107000,37577000,37146000,38521000
effectOfAccountingCharges,,,,
incomeBeforeTax,1797224000,1494997000,1380784000,1410061000
netIncome,1477512000,1278708000,1149692000,1177562000
sellingGeneralAdministrative,1965118000,1858457000,1888072000,1817660000
grossProfit,4053818000,3703478000,3622478000,3586648000
ebit,2048593000,1807444000,1697260000,1730467000
operatingIncome,2048593000,1807444000,1697260000,1730467000
otherOperatingExpenses,,,,
interestExpense,-129846000,-153471000,-152122000,-146858000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,314405000,219584000,234032000,239010000
totalRevenue,8971337000,8149719000,7986252000,7791069000
totalOperatingExpenses,6922744000,6342275000,6288992000,6060602000
costOfRevenue,4917519000,4446241000,4363774000,4204421000
totalOtherIncomeExpenseNet,-251369000,-312447000,-316476000,-320406000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1482819000,1275413000,1146752000,1171051000
netIncomeApplicableToCommonShares,1477512000,1278708000,1149692000,1177562000
investments,-128417000.0,-87211000.0,-80230000.0,-52641000.0
changeToLiabilities,39732000.0,41470000.0,41101000.0,-100252000.0
totalCashflowsFromInvestingActivities,-2222828000.0,-531280000.0,-780480000.0,-1502894000.0
netBorrowings,429586000.0,327168000.0,-184738000.0,934806000.0
totalCashFromFinancingActivities,-681136000.0,-499228000.0,-1081455000.0,116108000.0
changeToOperatingActivities,-21659000.0,-21176000.0,17767000.0,-68234000.0
issuanceOfStock,33211000.0,25532000.0,240806000.0,63323000.0
changeInCash,-814721000.0,650725000.0,-94736000.0,207819000.0
repurchaseOfStock,-457946000.0,-211196000.0,-527211000.0,-247500000.0
effectOfExchangeRate,-5075000.0,-6990000.0,3326000.0,-5388000.0
totalCashFromOperatingActivities,2082884000.0,1699657000.0,1763873000.0,1599993000.0
depreciation,315002000.0,294907000.0,291544000.0,286013000.0
otherCashflowsFromInvestingActivities,2539000.0,-2443000.0,20102000.0,20102000.0
dividendsPaid,-685987000.0,-640732000.0,-610312000.0,-562521000.0
changeToInventory,21457000.0,-151918000.0,-21194000.0,-12746000.0
changeToAccountReceivables,-14642000.0,-55537000.0,40252000.0,8585000.0
changeToNetincome,295164000.0,329361000.0,254255000.0,233497000.0
capitalExpenditures,-495877000.0,-441626000.0,-318192000.0,-328601000.0
otherCashflowsFromFinancingActivities,,,,-72000000.0
