,2021,2020,2019,2018
intangibleAssets,2639000000.0,329000000.0,177000000.0,245000000.0
capitalSurplus,3082000000.0,2705000000.0,2820000000.0,2535000000.0
totalLiab,28255000000.0,21241000000.0,17037000000.0,15252000000.0
totalStockholderEquity,16080000000.0,13728000000.0,12037000000.0,10161000000.0
minorityInterest,23000000.0,,,
otherCurrentLiab,254000000.0,318000000.0,247000000.0,283000000.0
totalAssets,44358000000.0,34969000000.0,29074000000.0,25413000000.0
commonStock,33000000.0,33000000.0,33000000.0,33000000.0
otherCurrentAssets,4493000000.0,3876000000.0,2506000000.0,2264000000.0
retainedEarnings,23086000000.0,20517000000.0,17483000000.0,15072000000.0
otherLiab,1837000000.0,1432000000.0,809000000.0,800000000.0
goodWill,11092000000.0,4447000000.0,3928000000.0,3897000000.0
treasuryStock,-10121000000.0,-9527000000.0,-8299000000.0,-7479000000.0
otherAssets,1062000000.0,1362000000.0,1247000000.0,1130000000.0
cash,3394000000.0,4673000000.0,4054000000.0,2343000000.0
totalCurrentLiabilities,15331000000.0,13394000000.0,10929000000.0,10077000000.0
shortLongTermDebt,998000000.0,,399000000.0,
otherStockholderEquity,42000000.0,391000000.0,156000000.0,-159000000.0
propertyPlantEquipment,3751000000.0,2808000000.0,2365000000.0,1735000000.0
totalCurrentAssets,24893000000.0,23641000000.0,19888000000.0,16948000000.0
longTermInvestments,921000000.0,2382000000.0,1469000000.0,1458000000.0
netTangibleAssets,2349000000.0,8952000000.0,7932000000.0,6019000000.0
shortTermInvestments,13192000000.0,12554000000.0,10972000000.0,10026000000.0
netReceivables,3814000000.0,2538000000.0,2356000000.0,2315000000.0
longTermDebt,10541000000.0,6060000000.0,4967000000.0,4375000000.0
accountsPayable,12613000000.0,12027000000.0,9642000000.0,7929000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3419000000.0,4674000000.0,3470000000.0,2074000000.0
netIncome,2933000000.0,3367000000.0,2707000000.0,1683000000.0
sellingGeneralAdministrative,10121000000.0,10052000000.0,7381000000.0,7525000000.0
grossProfit,14994000000.0,15527000000.0,11031000000.0,11030000000.0
ebit,4277000000.0,4986000000.0,3192000000.0,3112000000.0
operatingIncome,4277000000.0,4986000000.0,3192000000.0,3112000000.0
otherOperatingExpenses,,,,
interestExpense,-326000000.0,-283000000.0,-242000000.0,-218000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,485000000.0,1307000000.0,763000000.0,391000000.0
totalRevenue,84193000000.0,77155000000.0,64888000000.0,56912000000.0
totalOperatingExpenses,79916000000.0,72169000000.0,61696000000.0,53800000000.0
costOfRevenue,69199000000.0,61628000000.0,53857000000.0,45882000000.0
totalOtherIncomeExpenseNet,-858000000.0,-312000000.0,278000000.0,-1038000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2934000000.0,3367000000.0,2707000000.0,1683000000.0
netIncomeApplicableToCommonShares,2933000000.0,3367000000.0,2707000000.0,1683000000.0
investments,-1053000000.0,-1392000000.0,-542000000.0,-1316000000.0
changeToLiabilities,-65000000.0,71000000.0,-36000000.0,-95000000.0
totalCashflowsFromInvestingActivities,-6556000000.0,-3065000000.0,-1278000000.0,-3087000000.0
netBorrowings,3764000000.0,1078000000.0,-369000000.0,1165000000.0
totalCashFromFinancingActivities,3015000000.0,-1955000000.0,-2295000000.0,-785000000.0
changeToOperatingActivities,-211000000.0,2157000000.0,1731000000.0,-908000000.0
issuanceOfStock,21000000.0,49000000.0,58000000.0,45000000.0
changeInCash,-1279000000.0,619000000.0,1711000000.0,-1699000000.0
repurchaseOfStock,-79000000.0,-1820000000.0,-1070000000.0,-1090000000.0
totalCashFromOperatingActivities,2262000000.0,5639000000.0,5284000000.0,2173000000.0
depreciation,270000000.0,265000000.0,232000000.0,224000000.0
dividendsPaid,-354000000.0,-323000000.0,-291000000.0,-265000000.0
changeToAccountReceivables,-280000000.0,-85000000.0,-32000000.0,-164000000.0
otherCashflowsFromFinancingActivities,-337000000.0,-939000000.0,-623000000.0,-640000000.0
changeToNetincome,-828000000.0,-487000000.0,339000000.0,1135000000.0
capitalExpenditures,-1316000000.0,-964000000.0,-736000000.0,-612000000.0
annualDilutedAverageShares,129395998.0,133011998.0,134726998.0,138402998.0
