,2021,2020,2019,2018
intangibleAssets,549000000.0,571000000.0,599000000.0,919000000.0
capitalSurplus,4291000000.0,4668000000.0,7319000000.0,8319000000.0
totalLiab,6711000000.0,7866000000.0,12957000000.0,13108000000.0
totalStockholderEquity,3453000000.0,3522000000.0,4536000000.0,5518000000.0
otherCurrentLiab,211000000.0,353000000.0,1680000000.0,474000000.0
totalAssets,10219000000.0,11443000000.0,17562000000.0,18693000000.0
commonStock,422000000.0,433000000.0,433000000.0,483000000.0
otherCurrentAssets,2000000.0,1000000.0,1497000000.0,6000000.0
retainedEarnings,603000000.0,364000000.0,113000000.0,-358000000.0
otherLiab,1150000000.0,1407000000.0,3828000000.0,3692000000.0
goodWill,4067000000.0,4102000000.0,4067000000.0,4500000000.0
treasuryStock,-1863000000.0,-1943000000.0,-3329000000.0,-2926000000.0
otherAssets,291000000.0,375000000.0,4299000000.0,989000000.0
cash,720000000.0,1610000000.0,1577000000.0,2277000000.0
totalCurrentLiabilities,1253000000.0,1660000000.0,4125000000.0,3520000000.0
deferredLongTermAssetCharges,184000000.0,272000000.0,209000000.0,573000000.0
shortLongTermDebt,5000000.0,376000000.0,1034000000.0,405000000.0
otherStockholderEquity,-1863000000.0,-1943000000.0,-3329000000.0,-2926000000.0
propertyPlantEquipment,2575000000.0,2723000000.0,2754000000.0,5704000000.0
totalCurrentAssets,2737000000.0,3672000000.0,5843000000.0,6581000000.0
netTangibleAssets,-1163000000.0,-1151000000.0,-130000000.0,99000000.0
netReceivables,420000000.0,357000000.0,932000000.0,1498000000.0
longTermDebt,4227000000.0,4699000000.0,4906000000.0,5896000000.0
inventory,1402000000.0,1488000000.0,1607000000.0,2492000000.0
accountsPayable,732000000.0,599000000.0,976000000.0,2129000000.0
minorityInterest,,,14000000.0,12000000.0
researchDevelopment,17000000.0,17000000.0,28000000.0,41000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,324000000.0,171000000.0,210000000.0,428000000.0
netIncome,258000000.0,261000000.0,470000000.0,642000000.0
sellingGeneralAdministrative,260000000.0,296000000.0,412000000.0,390000000.0
grossProfit,1404000000.0,1422000000.0,1910000000.0,1664000000.0
ebit,857000000.0,830000000.0,1175000000.0,915000000.0
operatingIncome,857000000.0,830000000.0,1175000000.0,915000000.0
otherOperatingExpenses,,,,4000000.0
interestExpense,-259000000.0,-317000000.0,-338000000.0,-377000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,66000000.0,-40000000.0,84000000.0,119000000.0
totalRevenue,4972000000.0,5259000000.0,7098000000.0,6778000000.0
totalOperatingExpenses,4115000000.0,4429000000.0,5923000000.0,5863000000.0
costOfRevenue,3568000000.0,3837000000.0,5188000000.0,5114000000.0
totalOtherIncomeExpenseNet,-533000000.0,-659000000.0,-965000000.0,-487000000.0
discontinuedOperations,,50000000.0,344000000.0,333000000.0
netIncomeFromContinuingOps,258000000.0,211000000.0,126000000.0,309000000.0
netIncomeApplicableToCommonShares,256000000.0,259000000.0,468000000.0,640000000.0
investments,6000000.0,6000000.0,73000000.0,9000000.0
changeToLiabilities,144000000.0,-381000000.0,-1000000.0,339000000.0
totalCashflowsFromInvestingActivities,107000000.0,271000000.0,528000000.0,565000000.0
netBorrowings,-847000000.0,342000000.0,-404000000.0,-510000000.0
totalCashFromFinancingActivities,-1444000000.0,-369000000.0,-1568000000.0,-649000000.0
changeToOperatingActivities,-267000000.0,-472000000.0,-358000000.0,-533000000.0
issuanceOfStock,22000000.0,33000000.0,56000000.0,16000000.0
changeInCash,-889000000.0,-92000000.0,-579000000.0,129000000.0
repurchaseOfStock,-430000000.0,-73000000.0,-1150000000.0,-1150000000.0
effectOfExchangeRate,-1000000.0,-3000000.0,-3000000.0,-4000000.0
totalCashFromOperatingActivities,449000000.0,9000000.0,461000000.0,217000000.0
depreciation,270000000.0,280000000.0,295000000.0,576000000.0
otherCashflowsFromInvestingActivities,268000000.0,424000000.0,993000000.0,1015000000.0
dividendsPaid,-19000000.0,-11000000.0,-57000000.0,-119000000.0
changeToInventory,60000000.0,74000000.0,-3000000.0,-74000000.0
changeToAccountReceivables,-337000000.0,-238000000.0,-977000000.0,-1142000000.0
otherCashflowsFromFinancingActivities,-170000000.0,-660000000.0,-13000000.0,-36000000.0
changeToNetincome,362000000.0,387000000.0,1037000000.0,305000000.0
capitalExpenditures,-199000000.0,-267000000.0,-641000000.0,-768000000.0
annualDilutedAverageShares,435471834.0,439296141.0,462827223.0,502627363.0
