,2021,2020,2019,2018
intangibleAssets,12511000000,13739000000,15235000000,3087000000
totalLiab,113005000000,135245000000,131201000000,106452000000
totalStockholderEquity,18901000000,20597000000,20841000000,16796000000
minorityInterest,95000000,129000000,144000000,134000000
deferredLongTermLiab,924000000,1150000000,2472000000,2676000000
otherCurrentLiab,15000000000,19750000000,15259000000,14659000000
totalAssets,132001000000,155971000000,152186000000,123382000000
commonStock,57319000000,56556000000,55895000000,55151000000
otherCurrentAssets,2557000000,4567000000,2212000000,2911000000
retainedEarnings,154209000000,162717000000,162954000000,159206000000
otherLiab,32007000000,38439000000,35519000000,32620000000
goodWill,55643000000,53765000000,58222000000,36265000000
treasuryStock,-192627000000,-198676000000,-198008000000,-197561000000
otherAssets,19761000000,32229000000,16369000000,14718000000
cash,6650000000,13188000000,8172000000,11379000000
totalCurrentLiabilities,33619000000,39869000000,37701000000,38227000000
deferredLongTermAssetCharges,7370000000,8404000000,5182000000,5216000000
shortLongTermDebt,6729000000,6956000000,7470000000,7048000000
otherStockholderEquity,-23235000000,-29337000000,-28595000000,-29490000000
propertyPlantEquipment,8916000000,9771000000,15006000000,10792000000
totalCurrentAssets,29539000000,39165000000,38420000000,49146000000
longTermInvestments,206000000,216000000,222000000,226000000
netTangibleAssets,-49253000000,-46907000000,-52616000000,-22556000000
shortTermInvestments,600000000,600000000,696000000,618000000
netReceivables,8225000000,6910000000,10069000000,8645000000
longTermDebt,44854000000,54157000000,53951000000,35567000000
inventory,1649000000,1812000000,1619000000,1682000000
accountsPayable,3955000000,4033000000,4896000000,6558000000
researchDevelopment,6488000000,6262000000,5910000000,5379000000
effectOfAccountingCharges,,,,
incomeBeforeTax,4837000000,2572000000,7206000000,11342000000
netIncome,5743000000,5590000000,9431000000,8728000000
sellingGeneralAdministrative,19803000000,19586000000,18724000000,19366000000
grossProfit,31486000000,30865000000,31534000000,36937000000
ebit,5772000000,5596000000,7539000000,13218000000
operatingIncome,5772000000,5596000000,7539000000,13218000000
otherOperatingExpenses,-577000000,-579000000,-639000000,-1026000000
interestExpense,-1155000000,-1288000000,-1344000000,-723000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,124000000,-1360000000,60000000,2619000000
totalRevenue,57351000000,55179000000,57714000000,79591000000
totalOperatingExpenses,51579000000,49583000000,50175000000,66373000000
costOfRevenue,25865000000,24314000000,26180000000,42654000000
totalOtherIncomeExpenseNet,-935000000,-3024000000,-333000000,-1876000000
discontinuedOperations,1030000000,1658000000,2285000000,5000000
netIncomeFromContinuingOps,4713000000,3932000000,7146000000,8723000000
netIncomeApplicableToCommonShares,5743000000,5590000000,9431000000,8728000000
investments,-414000000,-628000000,268000000,-554000000
changeToLiabilities,85000000,138000000,-503000000,126000000
totalCashflowsFromInvestingActivities,-5975000000,-3028000000,-26936000000,-4913000000
netBorrowings,-8115000000,-3714000000,16284000000,-301000000
totalCashFromFinancingActivities,-13354000000,-9721000000,9042000000,-10469000000
changeToOperatingActivities,367000000,3023000000,1159000000,-451000000
changeInCash,-6718000000,5361000000,-3290000000,-630000000
repurchaseOfStock,-319000000,-302000000,-1633000000,-4614000000
effectOfExchangeRate,-185000000,-87000000,-167000000,-495000000
totalCashFromOperatingActivities,12796000000,18197000000,14770000000,15247000000
depreciation,6417000000,6695000000,6059000000,4480000000
otherCashflowsFromInvestingActivities,-1000000,-1000000,-1000000,-1000000
dividendsPaid,-5869000000,-5797000000,-5707000000,-5666000000
changeToInventory,138000000,-209000000,67000000,-127000000
changeToAccountReceivables,1372000000,5297000000,502000000,1006000000
otherCashflowsFromFinancingActivities,949000000,92000000,98000000,112000000
changeToNetincome,-1326000000,-2337000000,-1945000000,1485000000
capitalExpenditures,-2062000000,-2618000000,-2286000000,-3395000000
