,2021,2020,2019,2018
intangibleAssets,14097000000.0,14737000000.0,10559000000.0,10760000000.0
capitalSurplus,14069000000.0,13845000000.0,11742000000.0,11547000000.0
totalLiab,170754000000.0,106573000000.0,77129000000.0,75489000000.0
totalStockholderEquity,22709000000.0,19498000000.0,17255000000.0,17201000000.0
minorityInterest,39000000.0,129000000.0,109000000.0,101000000.0
otherCurrentLiab,150978000000.0,84521000000.0,65385000000.0,64341000000.0
totalAssets,193502000000.0,126200000000.0,94493000000.0,92791000000.0
commonStock,6000000.0,6000000.0,6000000.0,6000000.0
otherCurrentAssets,152165000000.0,85083000000.0,65930000000.0,64773000000.0
retainedEarnings,14350000000.0,11039000000.0,9629000000.0,8317000000.0
otherLiab,4694000000.0,4128000000.0,2782000000.0,2891000000.0
goodWill,21123000000.0,21291000000.0,13342000000.0,13085000000.0
treasuryStock,-5716000000.0,-5392000000.0,-4122000000.0,-2669000000.0
otherAssets,2644000000.0,1569000000.0,1378000000.0,1311000000.0
cash,607000000.0,583000000.0,841000000.0,724000000.0
totalCurrentLiabilities,153411000000.0,87999000000.0,68816000000.0,66108000000.0
shortLongTermDebt,499000000.0,,1248000000.0,
otherStockholderEquity,-196000000.0,-192000000.0,-243000000.0,-315000000.0
propertyPlantEquipment,1338000000.0,1384000000.0,1235000000.0,943000000.0
totalCurrentAssets,154300000000.0,87219000000.0,67979000000.0,66692000000.0
netTangibleAssets,-12511000000.0,-16530000000.0,-6646000000.0,-6644000000.0
netReceivables,1208000000.0,1230000000.0,988000000.0,953000000.0
longTermDebt,12397000000.0,14126000000.0,5250000000.0,6490000000.0
accountsPayable,474000000.0,639000000.0,505000000.0,521000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,5698000000,2766000000,2481000000,2520000000
netIncome,4058000000,2089000000,1933000000,1988000000
sellingGeneralAdministrative,2589000000,2153000000,1865000000,1780000000
grossProfit,7146000000,6036000000,5202000000,4979000000
ebit,3548000000,3143000000,2675000000,2613000000
operatingIncome,3548000000,3143000000,2675000000,2613000000
otherOperatingExpenses,,,,
interestExpense,-423000000,-357000000,-285000000,-244000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1629000000,658000000,521000000,500000000
totalRevenue,7146000000,6036000000,5202000000,4979000000
totalOperatingExpenses,3598000000,2893000000,2527000000,2366000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,2150000000,-377000000,-194000000,-93000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,4069000000,2108000000,1960000000,2020000000
netIncomeApplicableToCommonShares,4058000000,2089000000,1933000000,1988000000
investments,1121000000,4000000,69000000,-229000000
changeToLiabilities,34000000,2000000,-18000000,1000000
totalCashflowsFromInvestingActivities,-786000000,-10361000000,-1740000000,-1755000000
netBorrowings,-2639000000,8696000000,370000000,1330000000
totalCashFromFinancingActivities,62026000000,26000000000,-424000000,-463000000
changeToOperatingActivities,-116000000,18000000,19000000,-53000000
changeInCash,64357000000,18528000000,499000000,304000000
repurchaseOfStock,-320000000,-1321000000,-1525000000,-1278000000
effectOfExchangeRate,-6000000,8000000,4000000,-11000000
totalCashFromOperatingActivities,3123000000,2881000000,2659000000,2533000000
depreciation,796000000,561000000,456000000,422000000
otherCashflowsFromInvestingActivities,-1389000000,-509000000,-1152000000,-1152000000
dividendsPaid,-747000000,-669000000,-621000000,-555000000
changeToAccountReceivables,-5000000,-149000000,-30000000,-44000000
otherCashflowsFromFinancingActivities,65732000000,19294000000,1352000000,40000000
changeToNetincome,-1857000000,181000000,124000000,59000000
capitalExpenditures,-179000000,-207000000,-153000000,-134000000
