,2021,2020,2019,2018
intangibleAssets,99035000.0,52543000.0,58468000.0,41825000.0
capitalSurplus,1377320000.0,1294849000.0,1213517000.0,1138216000.0
totalLiab,1747211000.0,1661766000.0,1654650000.0,1546582000.0
totalStockholderEquity,689992000.0,632088000.0,177473000.0,-9513000.0
deferredLongTermLiab,122411000.0,116088000.0,108559000.0,99332000.0
otherCurrentLiab,83240000.0,97616000.0,75456000.0,67899000.0
totalAssets,2437203000.0,2294561000.0,1832475000.0,1537349000.0
commonStock,10688000.0,10646000.0,10571000.0,10509000.0
otherCurrentAssets,74590000.0,59639000.0,54815000.0,54138000.0
retainedEarnings,2920440000.0,2175595000.0,1595648000.0,1167928000.0
otherLiab,121036000.0,143474000.0,162931000.0,174790000.0
goodWill,359345000.0,243347000.0,239724000.0,214489000.0
treasuryStock,-3618456000.0,-2849002000.0,-2642263000.0,-2326166000.0
otherAssets,330400000.0,289595000.0,240192000.0,189593000.0
cash,144454000.0,383928000.0,90326000.0,123794000.0
totalCurrentLiabilities,763579000.0,582761000.0,725337000.0,770444000.0
deferredLongTermAssetCharges,24784000.0,31549000.0,8100000.0,8481000.0
shortLongTermDebt,74996000.0,49988000.0,288765000.0,398937000.0
otherStockholderEquity,-47765000.0,-49112000.0,-41720000.0,-37267000.0
propertyPlantEquipment,692768000.0,646338000.0,614452000.0,437270000.0
totalCurrentAssets,955655000.0,1062738000.0,679639000.0,654172000.0
netTangibleAssets,231612000.0,336198000.0,-120719000.0,-265827000.0
netReceivables,425584000.0,374742000.0,307487000.0,272623000.0
longTermDebt,775205000.0,858492000.0,698910000.0,601348000.0
inventory,269030000.0,209873000.0,195019000.0,173303000.0
accountsPayable,116140000.0,74558000.0,72172000.0,69534000.0
minorityInterest,,707000.0,352000.0,280000.0
researchDevelopment,161009000.0,141249000.0,133193000.0,117863000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,902654000.0,661985000.0,522218000.0,457742000.0
netIncome,744845000.0,581776000.0,427720000.0,377031000.0
sellingGeneralAdministrative,796395000.0,735267000.0,668610000.0,632344000.0
grossProfit,1889432000.0,1571040000.0,1365549000.0,1241542000.0
ebit,932028000.0,694524000.0,563746000.0,491335000.0
operatingIncome,932028000.0,694524000.0,563746000.0,491335000.0
otherOperatingExpenses,,,,
interestExpense,-29808000.0,-33125000.0,-31055000.0,-34744000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,157810000.0,79854000.0,94426000.0,80695000.0
totalRevenue,3215360000.0,2706655000.0,2406908000.0,2213242000.0
totalOperatingExpenses,2283332000.0,2012131000.0,1843162000.0,1721907000.0
costOfRevenue,1325928000.0,1135615000.0,1041359000.0,971700000.0
totalOtherIncomeExpenseNet,-29374000.0,-32539000.0,-41528000.0,-36222000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,744844000.0,582131000.0,427792000.0,377047000.0
netIncomeApplicableToCommonShares,744845000.0,581776000.0,427720000.0,377031000.0
changeToLiabilities,3682000.0,-12392000.0,-10403000.0,-7885000.0
totalCashflowsFromInvestingActivities,-292967000.0,-109376000.0,-205528000.0,138602000.0
netBorrowings,23500000.0,-89625000.0,-10275000.0,-256040000.0
totalCashFromFinancingActivities,-697414000.0,-248416000.0,-286409000.0,-597799000.0
changeToOperatingActivities,-55145000.0,60238000.0,-34788000.0,-39731000.0
issuanceOfStock,46565000.0,51328000.0,36106000.0,38201000.0
changeInCash,-239474000.0,293602000.0,-33468000.0,-63881000.0
repurchaseOfStock,-762339000.0,-203418000.0,-309711000.0,-378694000.0
effectOfExchangeRate,-4639000.0,3331000.0,-689000.0,-4768000.0
totalCashFromOperatingActivities,755546000.0,648063000.0,459158000.0,400084000.0
depreciation,104596000.0,95998000.0,88011000.0,83178000.0
changeToInventory,-52919000.0,-18885000.0,-37306000.0,-25623000.0
changeToAccountReceivables,-33141000.0,-60722000.0,-22472000.0,-18401000.0
otherCashflowsFromFinancingActivities,-5140000.0,-6701000.0,-2529000.0,-1266000.0
changeToNetincome,43628000.0,2050000.0,48396000.0,31515000.0
capitalExpenditures,-119549000.0,-106958000.0,-154969000.0,-115751000.0
investments,,,,284038000.0
annualDilutedAverageShares,86572000.0,86722000.0,87542000.0,88470000.0
