,2021,2020,2019,2018
intangibleAssets,10506000000.0,2727000000.0,2851935000.0,3039322000.0
capitalSurplus,19826000000.0,3853000000.0,3823152000.0,3793609000.0
totalLiab,18436000000.0,7135000000.0,6958820000.0,6764215000.0
totalStockholderEquity,21082000000.0,6310000000.0,6217304000.0,6032951000.0
minorityInterest,140000000.0,110000000.0,111287000.0,92229000.0
otherCurrentLiab,788000000.0,400000000.0,385278000.0,361981000.0
totalAssets,39658000000.0,13555000000.0,13287411000.0,12889395000.0
commonStock,35000000.0,16000000.0,16066000.0,16066000.0
otherCurrentAssets,1257000000.0,56000000.0,77878000.0,77085000.0
retainedEarnings,3641000000.0,4156000000.0,4117804000.0,3956221000.0
otherLiab,3350000000.0,1183000000.0,1153300000.0,1131487000.0
goodWill,16414000000.0,5593000000.0,5497596000.0,5378388000.0
treasuryStock,-2420000000.0,-1715000000.0,-1739718000.0,-1732945000.0
otherAssets,509000000.0,405000000.0,315754000.0,288673000.0
cash,711000000.0,650000000.0,606823000.0,634897000.0
totalCurrentLiabilities,3633000000.0,1904000000.0,1552190000.0,1128311000.0
deferredLongTermAssetCharges,82000000.0,197000000.0,125552000.0,89000000.0
shortLongTermDebt,301000000.0,632000000.0,389145000.0,48642000.0
otherStockholderEquity,-1423000000.0,-698000000.0,-716894000.0,-702227000.0
propertyPlantEquipment,5156000000.0,1765000000.0,1679582000.0,1241152000.0
totalCurrentAssets,6987000000.0,3060000000.0,2942544000.0,2941860000.0
longTermInvestments,86000000.0,5000000.0,,
netTangibleAssets,-5838000000.0,-2010000000.0,-2132227000.0,-2384759000.0
netReceivables,2215000000.0,1122000000.0,1024007000.0,1060379000.0
longTermDebt,10768000000.0,3779000000.0,3997438000.0,4504417000.0
inventory,2516000000.0,1132000000.0,1123068000.0,1078537000.0
accountsPayable,1532000000.0,556000000.0,510372000.0,471382000.0
researchDevelopment,629000000.0,357000000.0,346000000.0,311583000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,354000000.0,441000000.0,557000000.0,447757000.0
netIncome,270000000.0,363000000.0,456000000.0,337302000.0
sellingGeneralAdministrative,1474000000.0,799000000.0,867000000.0,678371000.0
grossProfit,4108000000.0,2087000000.0,2113000000.0,1682707000.0
ebit,1273000000.0,745000000.0,715000000.0,616874000.0
operatingIncome,1273000000.0,745000000.0,715000000.0,616874000.0
otherOperatingExpenses,,-7000000.0,-8000000.0,-8000000.0
interestExpense,-289000000.0,-132000000.0,-138000000.0,-132558000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,75000000.0,74000000.0,97000000.0,107976000.0
totalRevenue,11656000000.0,5084000000.0,5140000000.0,3977539000.0
totalOperatingExpenses,10383000000.0,4339000000.0,4425000000.0,3360665000.0
costOfRevenue,7548000000.0,2997000000.0,3027000000.0,2294832000.0
totalOtherIncomeExpenseNet,-919000000.0,-304000000.0,-158000000.0,-169117000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,279000000.0,367000000.0,460000000.0,339781000.0
netIncomeApplicableToCommonShares,268000000.0,365000000.0,454000000.0,333454000.0
changeToLiabilities,419000000.0,28000000.0,55000000.0,55136000.0
totalCashflowsFromInvestingActivities,-18000000.0,-187000000.0,-226000000.0,-5013235000.0
netBorrowings,-606000000.0,-147000000.0,-156000000.0,2879190000.0
totalCashFromFinancingActivities,-1304000000.0,-512000000.0,-505000000.0,4870703000.0
changeToOperatingActivities,-33000000.0,89000000.0,-90000000.0,-15033000.0
issuanceOfStock,9000000.0,9000000.0,9000000.0,2268094000.0
changeInCash,56000000.0,36000000.0,-25000000.0,280476000.0
repurchaseOfStock,-21000000.0,-8000000.0,-11000000.0,-25200000.0
effectOfExchangeRate,-59000000.0,21000000.0,7000000.0,-14567000.0
totalCashFromOperatingActivities,1437000000.0,714000000.0,699000000.0,437575000.0
depreciation,1156000000.0,325000000.0,321000000.0,171623000.0
dividendsPaid,-667000000.0,-323000000.0,-314000000.0,-230218000.0
changeToInventory,-363000000.0,18000000.0,-62000000.0,-117641000.0
changeToAccountReceivables,-169000000.0,-61000000.0,60000000.0,-49958000.0
otherCashflowsFromFinancingActivities,-19000000.0,-34000000.0,-24000000.0,-21163000.0
changeToNetincome,157000000.0,-48000000.0,-41000000.0,56146000.0
capitalExpenditures,-393000000.0,-192000000.0,-236000000.0,-170094000.0
otherCashflowsFromInvestingActivities,,-12000000.0,23000000.0,-805000.0
annualDilutedAverageShares,243000000.0,113630000.0,113307000.0,88121000.0
