,2022,2021,2020,2019,2018
intangibleAssets,2545000000.0,142000000.0,,145000000.0,185000000.0
capitalSurplus,8938000000.0,3815000000.0,,3560000000.0,3290000000.0
totalLiab,4477000000.0,2891000000.0,,2703000000.0,3053000000.0
totalStockholderEquity,10740000000.0,4694000000.0,,4613000000.0,3758000000.0
deferredLongTermLiab,705000000.0,,,,
otherCurrentLiab,355000000.0,267000000.0,,267000000.0,276000000.0
totalAssets,15217000000.0,7585000000.0,,7316000000.0,6959000000.0
commonStock,2000000.0,2000000.0,,2000000.0,2000000.0
retainedEarnings,5485000000.0,4723000000.0,,4067000000.0,3083000000.0
otherLiab,915000000.0,303000000.0,,202000000.0,359000000.0
goodWill,7113000000.0,897000000.0,,824000000.0,831000000.0
treasuryStock,-3685000000.0,-3846000000.0,,-3016000000.0,-2617000000.0
otherAssets,937000000.0,191000000.0,,179000000.0,118000000.0
cash,1232000000.0,1810000000.0,,2042000000.0,1144000000.0
totalCurrentLiabilities,1093000000.0,1244000000.0,,665000000.0,1804000000.0
otherStockholderEquity,17000000.0,2000000.0,,5000000.0,-1000000.0
propertyPlantEquipment,1696000000.0,1454000000.0,,1444000000.0,1075000000.0
totalCurrentAssets,2713000000.0,4483000000.0,,4451000000.0,4490000000.0
longTermInvestments,213000000.0,418000000.0,,273000000.0,260000000.0
netTangibleAssets,1082000000.0,3655000000.0,,3644000000.0,2742000000.0
shortTermInvestments,107000000.0,1662000000.0,,1372000000.0,2368000000.0
netReceivables,664000000.0,501000000.0,,573000000.0,514000000.0
longTermDebt,1695000000.0,673000000.0,,1141000000.0,621000000.0
inventory,431000000.0,372000000.0,,359000000.0,386000000.0
accountsPayable,332000000.0,192000000.0,,149000000.0,184000000.0
shortLongTermDebt,,511000000.0,,,1107000000.0
deferredLongTermAssetCharges,,,,64000000.0,70000000.0
minorityInterest,,,,,148000000.0
researchDevelopment,935000000.0,609000000.0,,575000000.0,568000000.0
effectOfAccountingCharges,,,,,
incomeBeforeTax,884000000.0,856000000.0,,1118000000.0,894000000.0
netIncome,762000000.0,656000000.0,,1002000000.0,826000000.0
sellingGeneralAdministrative,1567000000.0,922000000.0,,907000000.0,849000000.0
grossProfit,3225000000.0,2231000000.0,,2501000000.0,2335000000.0
ebit,652000000.0,672000000.0,,985000000.0,883000000.0
operatingIncome,652000000.0,672000000.0,,985000000.0,883000000.0
otherOperatingExpenses,,,,,
interestExpense,-61000000.0,-49000000.0,,-52000000.0,-57000000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,122000000.0,200000000.0,,128000000.0,112000000.0
totalRevenue,4526000000.0,3239000000.0,,3543000000.0,3333000000.0
totalOperatingExpenses,3874000000.0,2567000000.0,,2558000000.0,2450000000.0
costOfRevenue,1301000000.0,1008000000.0,,1042000000.0,998000000.0
totalOtherIncomeExpenseNet,232000000.0,184000000.0,,133000000.0,11000000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,762000000.0,656000000.0,,990000000.0,782000000.0
netIncomeApplicableToCommonShares,762000000.0,656000000.0,,1002000000.0,826000000.0
investments,1531000000.0,-135000000.0,,986000000.0,-1417000000.0
changeToLiabilities,60000000.0,40000000.0,,-35000000.0,45000000.0
totalCashflowsFromInvestingActivities,-1069000000.0,-554000000.0,,745000000.0,-1813000000.0
netBorrowings,471000000.0,471000000.0,,-550000000.0,731000000.0
totalCashFromFinancingActivities,-51000000.0,-766000000.0,,-897000000.0,594000000.0
changeToOperatingActivities,10000000.0,-44000000.0,,-126000000.0,95000000.0
issuanceOfStock,60000000.0,61000000.0,,59000000.0,46000000.0
changeInCash,-578000000.0,-232000000.0,,898000000.0,-81000000.0
repurchaseOfStock,-511000000.0,-827000000.0,,-406000000.0,-275000000.0
effectOfExchangeRate,-3000000.0,8000000.0,,-1000000.0,-4000000.0
totalCashFromOperatingActivities,545000000.0,1080000000.0,,1051000000.0,1142000000.0
depreciation,251000000.0,187000000.0,,188000000.0,179000000.0
otherCashflowsFromInvestingActivities,52000000.0,-132000000.0,,-18000000.0,-1517000000.0
changeToInventory,-58000000.0,-12000000.0,,25000000.0,-53000000.0
changeToAccountReceivables,-164000000.0,89000000.0,,-58000000.0,-105000000.0
otherCashflowsFromFinancingActivities,-71000000.0,-71000000.0,,-71000000.0,92000000.0
changeToNetincome,-348000000.0,124000000.0,,9000000.0,114000000.0
capitalExpenditures,-208000000.0,-189000000.0,,-209000000.0,-296000000.0
annualDilutedAverageShares,,151000000.0,148000000.0,149000000.0,149000000.0
