,2021,2020,2019,2018
intangibleAssets,150755000.0,172291000.0,193828000.0,215364000.0
capitalSurplus,4567111000.0,4352864000.0,4044490000.0,3813678000.0
totalLiab,1163348000.0,949650000.0,828344000.0,719795000.0
totalStockholderEquity,3770004000.0,2611268000.0,2598406000.0,1925967000.0
otherCurrentLiab,109858000.0,96319000.0,88825000.0,74085000.0
totalAssets,4933352000.0,3560918000.0,3426750000.0,2645762000.0
commonStock,221000.0,219000.0,216000.0,213000.0
retainedEarnings,-777874000.0,-1726455000.0,-1430758000.0,-1877759000.0
otherLiab,261800000.0,271694000.0,271232000.0,277084000.0
goodWill,155593000.0,155593000.0,155593000.0,155593000.0
treasuryStock,-19454000.0,-15360000.0,-15542000.0,-10165000.0
otherAssets,535596000.0,62763000.0,55559000.0,23601000.0
cash,2057440000.0,1513008000.0,1832684000.0,1163980000.0
totalCurrentLiabilities,854308000.0,631195000.0,513340000.0,425277000.0
deferredLongTermAssetCharges,467538000.0,2054000.0,1647000.0,1270000.0
otherStockholderEquity,-19454000.0,-15360000.0,-15542000.0,-10165000.0
propertyPlantEquipment,751468000.0,588076000.0,406625000.0,319751000.0
totalCurrentAssets,3118674000.0,2359894000.0,2481488000.0,1832254000.0
longTermInvestments,221266000.0,222301000.0,133657000.0,99199000.0
netTangibleAssets,3463656000.0,2283384000.0,2248985000.0,1555010000.0
shortTermInvestments,290752000.0,288369000.0,284870000.0,274343000.0
netReceivables,616300000.0,481994000.0,308809000.0,307598000.0
inventory,27904000.0,16425000.0,11400000.0,6967000.0
accountsPayable,172110000.0,98767000.0,83647000.0,103827000.0
shortLongTermDebt,,,18300000.0,
longTermDebt,,,,17434000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,570444000,-232218000,486791000,115347000
minorityInterest,,,,
netIncome,948581000,-295697000,446906000,109493000
sellingGeneralAdministrative,740963000,517872000,469276000,434934000
grossProfit,1340078000,276631000,890399000,589803000
ebit,599115000,-241241000,421123000,154869000
operatingIncome,599115000,-241241000,421123000,154869000
otherOperatingExpenses,,,,
interestExpense,-1908000,-2174000,-1855000,-1543000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-378137000,63479000,39885000,5854000
totalRevenue,2986267000,2666702000,2158759000,1881883000
totalOperatingExpenses,2387152000,2907943000,1737636000,1727014000
costOfRevenue,1646189000,2390071000,1268360000,1292080000
totalOtherIncomeExpenseNet,-28671000,9023000,65668000,-39522000
discontinuedOperations,,,,
netIncomeFromContinuingOps,948581000,-295697000,446906000,109493000
netIncomeApplicableToCommonShares,948581000,-295697000,446906000,109493000
investments,-26693000,-81622000,-9390000,-12940000
changeToLiabilities,73343000,15120000,-20180000,36156000
totalCashflowsFromInvestingActivities,-207699000,-269001000,-87454000,-86423000
netBorrowings,-2417000,-836000,-822000,-822000
totalCashFromFinancingActivities,6176000,71709000,45711000,14657000
changeToOperatingActivities,67359000,105792000,84786000,-45439000
issuanceOfStock,58626000,133064000,80050000,29942000
changeInCash,544395000,-318942000,668721000,264552000
repurchaseOfStock,-29940000,-22759000,-16751000,-16751000
effectOfExchangeRate,-3570000,2949000,-192000,91000
totalCashFromOperatingActivities,749488000,-124599000,710656000,336227000
depreciation,60544000,53707000,54533000,54969000
changeToInventory,-20965000,-19468000,-6100000,4043000
changeToAccountReceivables,-134306000,-173185000,-1211000,-41299000
otherCashflowsFromFinancingActivities,-20093000,-37760000,-16766000,-15285000
changeToNetincome,-245068000,188432000,151922000,218304000
capitalExpenditures,-181006000,-187379000,-78064000,-73483000
