,2021,2020,2019,2018
intangibleAssets,7270000000.0,9026000000.0,10827000000.0,11836000000.0
totalLiab,73015000000.0,72053000000.0,59020000000.0,53400000000.0
totalStockholderEquity,95391000000.0,81038000000.0,77504000000.0,74563000000.0
otherCurrentLiab,2555000000.0,3438000000.0,2330000000.0,1438000000.0
totalAssets,168406000000.0,153091000000.0,136524000000.0,127963000000.0
commonStock,28006000000.0,25556000000.0,25261000000.0,25365000000.0
otherCurrentAssets,8897000000.0,7575000000.0,1637000000.0,2646000000.0
retainedEarnings,68265000000.0,56233000000.0,53523000000.0,50172000000.0
otherLiab,11748000000.0,13402000000.0,11402000000.0,11676000000.0
goodWill,26963000000.0,26971000000.0,26276000000.0,24513000000.0
treasuryStock,-880000000.0,-751000000.0,-1280000000.0,-974000000.0
otherAssets,5523000000.0,5917000000.0,5553000000.0,4421000000.0
cash,4827000000.0,5865000000.0,4194000000.0,3019000000.0
totalCurrentLiabilities,27462000000.0,24754000000.0,22310000000.0,16626000000.0
deferredLongTermAssetCharges,874000000.0,1232000000.0,1209000000.0,1122000000.0
shortLongTermDebt,4656000000.0,2632000000.0,3747000000.0,761000000.0
otherStockholderEquity,-880000000.0,-751000000.0,-1280000000.0,-974000000.0
propertyPlantEquipment,63794000000.0,56584000000.0,55386000000.0,48976000000.0
totalCurrentAssets,57718000000.0,47249000000.0,31239000000.0,28787000000.0
longTermInvestments,7138000000.0,7344000000.0,7243000000.0,9430000000.0
netTangibleAssets,61158000000.0,45041000000.0,40401000000.0,38214000000.0
shortTermInvestments,2103000000.0,2292000000.0,1082000000.0,2788000000.0
netReceivables,9632000000.0,7352000000.0,7735000000.0,7238000000.0
longTermDebt,33510000000.0,33897000000.0,25308000000.0,25098000000.0
inventory,10776000000.0,8427000000.0,8744000000.0,7253000000.0
accountsPayable,5747000000.0,5581000000.0,4128000000.0,3824000000.0
researchDevelopment,15190000000.0,13556000000.0,13362000000.0,13543000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,21703000000.0,25078000000.0,24058000000.0,23317000000.0
minorityInterest,,,,
netIncome,19868000000.0,20899000000.0,21048000000.0,21053000000.0
sellingGeneralAdministrative,6543000000.0,6180000000.0,6350000000.0,6950000000.0
grossProfit,43815000000.0,43612000000.0,42140000000.0,43737000000.0
ebit,22082000000.0,23876000000.0,22428000000.0,23244000000.0
operatingIncome,22082000000.0,23876000000.0,22428000000.0,23244000000.0
otherOperatingExpenses,,,393000000.0,-72000000.0
interestExpense,-597000000.0,-629000000.0,-489000000.0,-468000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1835000000.0,4179000000.0,3010000000.0,2264000000.0
totalRevenue,79024000000.0,77867000000.0,71965000000.0,70848000000.0
totalOperatingExpenses,56942000000.0,53991000000.0,49537000000.0,47604000000.0
costOfRevenue,35209000000.0,34255000000.0,29825000000.0,27111000000.0
totalOtherIncomeExpenseNet,-379000000.0,1202000000.0,1630000000.0,73000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,19868000000.0,20899000000.0,21048000000.0,21053000000.0
netIncomeApplicableToCommonShares,19868000000.0,20899000000.0,21048000000.0,21053000000.0
investments,-5287000000.0,-6891000000.0,2140000000.0,3856000000.0
changeToLiabilities,-393000000.0,224000000.0,-86000000.0,1578000000.0
totalCashflowsFromInvestingActivities,-25167000000.0,-20796000000.0,-14405000000.0,-11239000000.0
netBorrowings,2474000000.0,5722000000.0,765000000.0,-2603000000.0
totalCashFromFinancingActivities,-5862000000.0,-12917000000.0,-17565000000.0,-18607000000.0
changeToOperatingActivities,974000000.0,-89000000.0,1682000000.0,41000000.0
issuanceOfStock,1020000000.0,897000000.0,750000000.0,555000000.0
changeInCash,-1038000000.0,1671000000.0,1175000000.0,-414000000.0
repurchaseOfStock,-2415000000.0,-14229000000.0,-13576000000.0,-10730000000.0
totalCashFromOperatingActivities,29991000000.0,35384000000.0,33145000000.0,29432000000.0
depreciation,11792000000.0,12239000000.0,10826000000.0,9085000000.0
otherCashflowsFromInvestingActivities,658000000.0,1385000000.0,1626000000.0,-272000000.0
dividendsPaid,-5644000000.0,-5568000000.0,-5576000000.0,-5541000000.0
changeToInventory,-2339000000.0,-687000000.0,-1481000000.0,-214000000.0
changeToAccountReceivables,-2674000000.0,883000000.0,-935000000.0,-1714000000.0
otherCashflowsFromFinancingActivities,-1297000000.0,261000000.0,72000000.0,-288000000.0
changeToNetincome,3204000000.0,295000000.0,1206000000.0,1204000000.0
capitalExpenditures,-20329000000.0,-14453000000.0,-16213000000.0,-15181000000.0
annualDilutedAverageShares,4090000000.0,4232000000.0,4473000000.0,4701000000.0
