,2022,2021,2020,2019
intangibleAssets,7061000000.0,3252000000.0,28000000.0,54000000.0
capitalSurplus,17722000000.0,10545000000.0,6179000000.0,5772000000.0
totalLiab,11293000000.0,5647000000.0,5825000000.0,2534000000.0
totalStockholderEquity,16441000000.0,9869000000.0,5106000000.0,3749000000.0
otherCurrentLiab,1530000000.0,1267000000.0,1221000000.0,1138000000.0
totalAssets,27734000000.0,15516000000.0,10931000000.0,6283000000.0
commonStock,3000000.0,3000000.0,3000000.0,3000000.0
otherCurrentAssets,431000000.0,457000000.0,455000000.0,436000000.0
retainedEarnings,13581000000.0,12296000000.0,10885000000.0,9621000000.0
otherLiab,706000000.0,578000000.0,44000000.0,182000000.0
goodWill,13736000000.0,5613000000.0,1654000000.0,1655000000.0
treasuryStock,-14865000000.0,-12975000000.0,-11961000000.0,-11647000000.0
otherAssets,355000000.0,291000000.0,290000000.0,187000000.0
cash,2796000000.0,2562000000.0,6442000000.0,2116000000.0
totalCurrentLiabilities,3630000000.0,2655000000.0,3529000000.0,1966000000.0
deferredLongTermAssetCharges,11000000.0,8000000.0,65000000.0,1000000.0
shortLongTermDebt,499000000.0,,1338000000.0,50000000.0
otherStockholderEquity,-60000000.0,-24000000.0,-32000000.0,-36000000.0
propertyPlantEquipment,1437000000.0,1160000000.0,960000000.0,780000000.0
totalCurrentAssets,5047000000.0,5157000000.0,7980000000.0,3594000000.0
longTermInvestments,98000000.0,43000000.0,19000000.0,13000000.0
netTangibleAssets,-4356000000.0,1004000000.0,3424000000.0,2040000000.0
shortTermInvestments,485000000.0,1308000000.0,608000000.0,624000000.0
netReceivables,1048000000.0,646000000.0,201000000.0,247000000.0
longTermDebt,6415000000.0,2034000000.0,2031000000.0,386000000.0
accountsPayable,737000000.0,623000000.0,305000000.0,274000000.0
researchDevelopment,2347000000.0,1678000000.0,1392000000.0,1233000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,2542000000.0,2556000000.0,2198000000.0,1881000000.0
minorityInterest,,,,
netIncome,2066000000.0,2062000000.0,1826000000.0,1557000000.0
sellingGeneralAdministrative,4923000000.0,3595000000.0,2699000000.0,2524000000.0
grossProfit,10460000000.0,8000000000.0,6323000000.0,5637000000.0
ebit,2634000000.0,2531000000.0,2204000000.0,1854000000.0
operatingIncome,2634000000.0,2531000000.0,2204000000.0,1854000000.0
otherOperatingExpenses,,,,
interestExpense,-81000000.0,-29000000.0,-14000000.0,-15000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,476000000.0,494000000.0,372000000.0,324000000.0
totalRevenue,12726000000.0,9633000000.0,7679000000.0,6784000000.0
totalOperatingExpenses,10092000000.0,7102000000.0,5475000000.0,4930000000.0
costOfRevenue,2266000000.0,1633000000.0,1356000000.0,1147000000.0
totalOtherIncomeExpenseNet,-92000000.0,25000000.0,-6000000.0,27000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2066000000.0,2062000000.0,1826000000.0,1557000000.0
netIncomeApplicableToCommonShares,2066000000.0,2062000000.0,1826000000.0,1557000000.0
investments,928000000.0,-710000000.0,25000000.0,-365000000.0
changeToLiabilities,-24000000.0,228000000.0,71000000.0,129000000.0
totalCashflowsFromInvestingActivities,-5421000000.0,-3965000000.0,-97000000.0,-635000000.0
netBorrowings,4882000000.0,-1338000000.0,2933000000.0,-2000000.0
totalCashFromFinancingActivities,1732000000.0,-3176000000.0,2034000000.0,-965000000.0
changeToOperatingActivities,-410000000.0,-84000000.0,67000000.0,-12000000.0
issuanceOfStock,162000000.0,196000000.0,211000000.0,284000000.0
changeInCash,178000000.0,-3878000000.0,4345000000.0,721000000.0
repurchaseOfStock,-2472000000.0,-1388000000.0,-567000000.0,-807000000.0
effectOfExchangeRate,-22000000.0,13000000.0,-6000000.0,-3000000.0
totalCashFromOperatingActivities,3889000000.0,3250000000.0,2414000000.0,2324000000.0
depreciation,606000000.0,313000000.0,196000000.0,205000000.0
otherCashflowsFromInvestingActivities,-24000000.0,30000000.0,-29000000.0,-2000000.0
dividendsPaid,-774000000.0,-646000000.0,-561000000.0,-501000000.0
changeToAccountReceivables,-31000000.0,-104000000.0,-59000000.0,11000000.0
otherCashflowsFromFinancingActivities,-66000000.0,-66000000.0,18000000.0,61000000.0
changeToNetincome,1513000000.0,836000000.0,238000000.0,409000000.0
capitalExpenditures,-157000000.0,-53000000.0,-59000000.0,-76000000.0
annualDilutedAverageShares,284000000.0,273000000.0,264000000.0,264000000.0
