,2021,2020,2019,2018
capitalSurplus,10873539000.0,9707258000.0,9010194000.0,8629462000.0
totalLiab,8699042000.0,8950149000.0,9126832000.0,9694242000.0
totalStockholderEquity,9797742000.0,8504825000.0,8214422000.0,8229111000.0
minorityInterest,41062000.0,51248000.0,51656000.0,140075000.0
deferredLongTermLiab,14588000.0,19268000.0,10192000.0,11450000.0
totalAssets,18537846000.0,17506222000.0,17392910000.0,18063428000.0
commonStock,6010000.0,5671000.0,5416000.0,5206000.0
otherCurrentAssets,332445000.0,286708000.0,343970000.0,401108000.0
retainedEarnings,-794869000.0,-661162000.0,-524588000.0,-392594000.0
otherLiab,216554000.0,205409000.0,182561000.0,183857000.0
goodWill,258207000.0,258207000.0,258207000.0,258207000.0
treasuryStock,-286938000.0,-546942000.0,-276600000.0,-12963000.0
otherAssets,26752000.0,30542000.0,16384000.0,29578000.0
cash,610166000.0,213422000.0,92258000.0,144940000.0
totalCurrentLiabilities,613541000.0,688859000.0,461789000.0,260570000.0
shortLongTermDebt,412553000.0,539560000.0,275679000.0,90967000.0
otherStockholderEquity,-286938000.0,-546942000.0,-276600000.0,-12963000.0
propertyPlantEquipment,16968892000.0,16320393000.0,16266785000.0,16697852000.0
totalCurrentAssets,980090000.0,535387000.0,463115000.0,654570000.0
longTermInvestments,303905000.0,361693000.0,388419000.0,423221000.0
netTangibleAssets,9539535000.0,8246618000.0,7956215000.0,7970904000.0
netReceivables,37473000.0,35256000.0,25244000.0,33117000.0
longTermDebt,7857262000.0,8031504000.0,8467485000.0,9249815000.0
accountsPayable,193633000.0,149299000.0,186110000.0,169603000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,262776000.0,197449000.0,147111000.0,-5013000.0
netIncome,261425000.0,196212000.0,145463000.0,-4927000.0
sellingGeneralAdministrative,74758000.0,62704000.0,61462000.0,81869000.0
grossProfit,1217310000.0,1083672000.0,1033084000.0,1002066000.0
ebit,550417000.0,468438000.0,437903000.0,359656000.0
operatingIncome,550417000.0,468438000.0,437903000.0,359656000.0
otherOperatingExpenses,,,,
interestExpense,-322661000.0,-353923000.0,-367173000.0,-383595000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,0.0,0.0,0.0,0.0
totalRevenue,1995069000.0,1822828000.0,1764685000.0,1722962000.0
totalOperatingExpenses,1444652000.0,1354390000.0,1326782000.0,1363306000.0
costOfRevenue,777759000.0,739156000.0,731601000.0,720896000.0
totalOtherIncomeExpenseNet,-287641000.0,-270989000.0,-290792000.0,-364669000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,262776000.0,197449000.0,147111000.0,-5013000.0
netIncomeApplicableToCommonShares,261098000.0,195764000.0,145068000.0,-5744000.0
investments,56810000.0,55761000.0,49960000.0,12298000.0
changeToLiabilities,32892000.0,-27040000.0,5207000.0,-26643000.0
totalCashflowsFromInvestingActivities,-1159558000.0,-425156000.0,102226000.0,62993000.0
netBorrowings,171171000.0,-434727000.0,-593957000.0,-380111000.0
totalCashFromFinancingActivities,658988000.0,-146033000.0,-838102000.0,-680805000.0
changeToOperatingActivities,-8131000.0,-19014000.0,-12506000.0,-20124000.0
issuanceOfStock,933790000.0,686723000.0,55263000.0,55263000.0
changeInCash,407090000.0,125523000.0,-73746000.0,-56571000.0
repurchaseOfStock,-9411000.0,-4427000.0,-8164000.0,-9245000.0
totalCashFromOperatingActivities,907660000.0,696712000.0,662130000.0,561241000.0
depreciation,592135000.0,552530000.0,533719000.0,560541000.0
otherCashflowsFromInvestingActivities,-20843000.0,-2188000.0,4834000.0,-192000.0
dividendsPaid,-393812000.0,-332151000.0,-276681000.0,-230072000.0
otherCashflowsFromFinancingActivities,-42750000.0,-61451000.0,-14563000.0,-61377000.0
changeToNetincome,-777000.0,-48995000.0,-66976000.0,4821000.0
annualDilutedAverageShares,579209523.0,555458607.0,532499787.0,520376929.0
