,2021,2020,2019,2018
capitalSurplus,4668000000.0,6325000000.0,6297000000.0,6280000000.0
totalLiab,16161000000.0,23850000000.0,25753000000.0,26193000000.0
totalStockholderEquity,9082000000.0,7854000000.0,7713000000.0,7362000000.0
deferredLongTermLiab,568000000.0,628000000.0,793000000.0,1002000000.0
otherCurrentLiab,770000000.0,5679000000.0,5455000000.0,1107000000.0
totalAssets,25243000000.0,31718000000.0,33471000000.0,33576000000.0
commonStock,449000000.0,449000000.0,449000000.0,449000000.0
otherCurrentAssets,132000000.0,6179000000.0,247000000.0,250000000.0
retainedEarnings,9029000000.0,8070000000.0,8408000000.0,7465000000.0
otherLiab,6398000000.0,7268000000.0,7206000000.0,11484000000.0
goodWill,3130000000.0,3115000000.0,3347000000.0,3374000000.0
treasuryStock,-5064000000.0,-6990000000.0,-7441000000.0,-6832000000.0
otherAssets,3442000000.0,4839000000.0,7935000000.0,8089000000.0
cash,1295000000.0,468000000.0,511000000.0,589000000.0
totalCurrentLiabilities,4144000000.0,8284000000.0,8646000000.0,4694000000.0
shortLongTermDebt,186000000.0,16000000.0,126000000.0,174000000.0
otherStockholderEquity,-1666000000.0,-4342000000.0,-4739000000.0,-4500000000.0
propertyPlantEquipment,10824000000.0,11350000000.0,13829000000.0,13469000000.0
totalCurrentAssets,7096000000.0,11236000000.0,6639000000.0,6996000000.0
longTermInvestments,751000000.0,1178000000.0,1721000000.0,1648000000.0
netTangibleAssets,5952000000.0,4739000000.0,4366000000.0,3988000000.0
shortTermInvestments,245000000.0,,,402000000.0
netReceivables,3610000000.0,2963000000.0,3673000000.0,3916000000.0
longTermDebt,5327000000.0,7981000000.0,9509000000.0,9952000000.0
inventory,1814000000.0,1626000000.0,2208000000.0,2241000000.0
accountsPayable,2606000000.0,2035000000.0,2423000000.0,2413000000.0
minorityInterest,,14000000.0,5000000.0,21000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1312000000,406000000,1171000000,2117000000
netIncome,1752000000,482000000,1225000000,2012000000
sellingGeneralAdministrative,2629000000,2599000000,2735000000,3784000000
grossProfit,5531000000,5226000000,5648000000,7751000000
ebit,1666000000,1400000000,1708000000,2468000000
operatingIncome,1666000000,1400000000,1708000000,2468000000
otherOperatingExpenses,139000000,136000000,133000000,171000000
interestExpense,-430000000,-597000000,-701000000,-734000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,188000000,176000000,477000000,445000000
totalRevenue,19363000000,17565000000,18317000000,23306000000
totalOperatingExpenses,17697000000,16165000000,16609000000,20838000000
costOfRevenue,13832000000,12339000000,12669000000,15555000000
totalOtherIncomeExpenseNet,-354000000,-994000000,-537000000,-351000000
discontinuedOperations,630000000,252000000,526000000,345000000
netIncomeFromContinuingOps,1124000000,230000000,694000000,1672000000
netIncomeApplicableToCommonShares,1752000000,482000000,1225000000,2012000000
investments,908000000,500000000,500000000,500000000
changeToLiabilities,519000000,141000000,139000000,151000000
totalCashflowsFromInvestingActivities,6054000000,-269000000,-1300000000,-1569000000
netBorrowings,-5152000000,-1660000000,-1039000000,-519000000
totalCashFromFinancingActivities,-7375000000,-2700000000,-2389000000,-2046000000
changeToOperatingActivities,-37000000,54000000,-44000000,20000000
changeInCash,700000000,84000000,-78000000,-429000000
repurchaseOfStock,-839000000,-42000000,-535000000,-732000000
effectOfExchangeRate,-9000000,-8000000,1000000,-40000000
totalCashFromOperatingActivities,2030000000,3063000000,3610000000,3226000000
depreciation,1144000000,1145000000,1045000000,1259000000
otherCashflowsFromInvestingActivities,4847000000,-1000000,-20000000,-12000000
dividendsPaid,-780000000,-806000000,-796000000,-789000000
changeToInventory,-263000000,35000000,-1000000,-236000000
changeToAccountReceivables,-645000000,94000000,248000000,-374000000
otherCashflowsFromFinancingActivities,-474000000,-192000000,-19000000,-6000000
changeToNetincome,-440000000,1112000000,998000000,394000000
capitalExpenditures,-549000000,-751000000,-1276000000,-1572000000
