,2021,2020,2019,2018
intangibleAssets,847500000,933600000,1014300000,1094700000
capitalSurplus,1226600000,1099300000,977300000,895900000
totalLiab,16304400000,15005700000,14761600000,13019600000
totalStockholderEquity,3526000000,2895000000,2775900000,2393200000
minorityInterest,78800000,142000000,214400000,207500000
otherCurrentLiab,764200000,827400000,741100000,610800000
totalAssets,19909200000,18042700000,17751900000,15620300000
commonStock,39300000,39000000,38700000,38300000
otherCurrentAssets,436900000,391500000,435200000,482300000
retainedEarnings,3154300000,2636900000,2689900000,2400100000
otherLiab,929800000,1068400000,1139700000,1235500000
goodWill,4908700000,4945500000,4894400000,4875900000
treasuryStock,-894200000,-880200000,-930000000,-941100000
otherAssets,701000000,726400000,720000000,675900000
cash,3270000000,2509000000,1192200000,673400000
totalCurrentLiabilities,10890000000,9580500000,9420400000,8123900000
deferredLongTermAssetCharges,301400000,302000000,252100000,247000000
shortLongTermDebt,700000,502500000,502000000,100000
otherStockholderEquity,-894200000,-880200000,-930000000,-941100000
propertyPlantEquipment,2220200000,2069600000,2352500000,790900000
totalCurrentAssets,11231800000,9367600000,8770700000,8182900000
netTangibleAssets,-2230200000,-2984100000,-3132800000,-3577400000
netReceivables,7524900000,6467100000,7143300000,7027200000
longTermDebt,2908600000,2915800000,2771900000,3660200000
accountsPayable,8960000000,7269700000,7205400000,6698100000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1224600000,362200000,878700000,836900000
netIncome,952800000,351100000,656000000,618900000
sellingGeneralAdministrative,415300000,372100000,419900000,131500000
grossProfit,2150700000,1668200000,1816500000,1378400000
ebit,1451600000,1005500000,1118100000,1044000000
operatingIncome,1451600000,1005500000,1118100000,1044000000
otherOperatingExpenses,,,,
interestExpense,-173100000,-192200000,-199300000,-123000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,251800000,8000000,204800000,199200000
totalRevenue,9107900000,8064500000,8625100000,8031600000
totalOperatingExpenses,7656300000,7059000000,7507000000,6987600000
costOfRevenue,6957200000,6396300000,6808600000,6653200000
totalOtherIncomeExpenseNet,-227000000,-643300000,-239400000,-207100000
discontinuedOperations,,,,
netIncomeFromContinuingOps,972800000,354200000,673900000,637700000
netIncomeApplicableToCommonShares,952800000,351100000,656000000,618900000
investments,34800000,13500000,3800000,3800000
changeToLiabilities,1899000000,35000000,592500000,473600000
totalCashflowsFromInvestingActivities,-185300000,-216200000,-161700000,-2491500000
netBorrowings,-583600000,144000000,-423100000,2371900000
totalCashFromFinancingActivities,-1084200000,-346200000,-843000000,1853200000
changeToOperatingActivities,-36300000,49400000,-37000000,-108200000
issuanceOfStock,8000000,6500000,4300000,15500000
changeInCash,760700000,1315800000,518500000,-120500000
repurchaseOfStock,-25500000,-22300000,-22400000,-146300000
effectOfExchangeRate,-45400000,31000000,-6000000,-47300000
totalCashFromOperatingActivities,2075600000,1847200000,1529200000,565100000
depreciation,283800000,290600000,278500000,202900000
otherCashflowsFromInvestingActivities,-8500000,-57300000,33600000,-4600000
dividendsPaid,-427700000,-398100000,-363100000,-322100000
changeToAccountReceivables,-1218600000,673900000,-149900000,-813300000
otherCashflowsFromFinancingActivities,-55400000,-76300000,-38700000,-65800000
changeToNetincome,189200000,435800000,179800000,184700000
capitalExpenditures,-195300000,-167500000,-198500000,-177100000
