,2021,2020,2019,2018
intangibleAssets,4943000000.0,5205000000.0,5514000000.0,5951000000.0
capitalSurplus,10774000000.0,11092000000.0,11046000000.0,10898000000.0
totalLiab,18647000000.0,18284000000.0,16988000000.0,15595000000.0
totalStockholderEquity,6042000000.0,6001000000.0,6003000000.0,6714000000.0
otherCurrentLiab,2965000000.0,2557000000.0,2215000000.0,1981000000.0
totalAssets,24689000000.0,24564000000.0,23251000000.0,22549000000.0
commonStock,3000000.0,3000000.0,3000000.0,3000000.0
otherCurrentAssets,521000000.0,563000000.0,451000000.0,322000000.0
retainedEarnings,2243000000.0,1277000000.0,998000000.0,807000000.0
otherLiab,858000000.0,915000000.0,1072000000.0,1140000000.0
goodWill,13301000000.0,12654000000.0,12159000000.0,11800000000.0
treasuryStock,-6978000000.0,-6371000000.0,-6044000000.0,-4994000000.0
otherAssets,611000000.0,500000000.0,346000000.0,344000000.0
cash,1366000000.0,1814000000.0,837000000.0,891000000.0
totalCurrentLiabilities,5241000000.0,4558000000.0,3945000000.0,3534000000.0
deferredLongTermAssetCharges,124000000.0,114000000.0,119000000.0,109000000.0
shortLongTermDebt,91000000.0,149000000.0,100000000.0,100000000.0
otherStockholderEquity,-406000000.0,-205000000.0,-311000000.0,-224000000.0
propertyPlantEquipment,903000000.0,953000000.0,954000000.0,434000000.0
totalCurrentAssets,4763000000.0,5090000000.0,4126000000.0,3874000000.0
longTermInvestments,168000000.0,162000000.0,152000000.0,146000000.0
netTangibleAssets,-12202000000.0,-11858000000.0,-11670000000.0,-11037000000.0
shortTermInvestments,111000000.0,88000000.0,62000000.0,47000000.0
netReceivables,2609000000.0,2466000000.0,2638000000.0,2463000000.0
longTermDebt,12058000000.0,12440000000.0,11575000000.0,10921000000.0
accountsPayable,621000000.0,581000000.0,575000000.0,437000000.0
minorityInterest,,279000000.0,260000000.0,240000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1134000000.0,380000000.0,343000000.0,343000000.0
netIncome,966000000.0,279000000.0,191000000.0,259000000.0
sellingGeneralAdministrative,1931000000.0,1762000000.0,1711000000.0,1692000000.0
grossProfit,4641000000.0,3859000000.0,3788000000.0,3666000000.0
ebit,1446000000.0,810000000.0,875000000.0,833000000.0
operatingIncome,1446000000.0,810000000.0,875000000.0,833000000.0
otherOperatingExpenses,,,,
interestExpense,-375000000.0,-416000000.0,-447000000.0,-414000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,163000000.0,72000000.0,116000000.0,59000000.0
totalRevenue,13874000000.0,11359000000.0,11088000000.0,10412000000.0
totalOperatingExpenses,12428000000.0,10549000000.0,10213000000.0,9579000000.0
costOfRevenue,9233000000.0,7500000000.0,7300000000.0,6746000000.0
totalOtherIncomeExpenseNet,-312000000.0,-430000000.0,-532000000.0,-490000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,971000000.0,308000000.0,227000000.0,284000000.0
netIncomeApplicableToCommonShares,966000000.0,279000000.0,191000000.0,259000000.0
investments,-10000000.0,-1000000.0,-25000000.0,-44000000.0
changeToLiabilities,835000000.0,433000000.0,238000000.0,375000000.0
totalCashflowsFromInvestingActivities,-2103000000.0,-796000000.0,-1190000000.0,-810000000.0
netBorrowings,70000000.0,342000000.0,747000000.0,1015000000.0
totalCashFromFinancingActivities,-1235000000.0,-217000000.0,-276000000.0,-452000000.0
changeToOperatingActivities,-15000000.0,-146000000.0,-92000000.0,-66000000.0
changeInCash,-448000000.0,977000000.0,-54000000.0,-68000000.0
repurchaseOfStock,-406000000.0,-447000000.0,-949000000.0,-1405000000.0
effectOfExchangeRate,-52000000.0,31000000.0,-5000000.0,-60000000.0
totalCashFromOperatingActivities,2942000000.0,1959000000.0,1417000000.0,1254000000.0
depreciation,1053000000.0,1020000000.0,1006000000.0,962000000.0
otherCashflowsFromInvestingActivities,5000000.0,-2000000.0,5000000.0,2000000.0
changeToAccountReceivables,-138000000.0,255000000.0,-122000000.0,-297000000.0
otherCashflowsFromFinancingActivities,-899000000.0,-112000000.0,-85000000.0,-77000000.0
changeToNetincome,15000000.0,-84000000.0,-8000000.0,-51000000.0
capitalExpenditures,-640000000.0,-616000000.0,-582000000.0,-459000000.0
issuanceOfStock,,,11000000.0,15000000.0
annualDilutedAverageShares,195000000.0,195000000.0,199600000.0,208200000.0
