,2021,2020,2019,2018
intangibleAssets,70500000.0,77400000.0,112100000.0,66700000.0
capitalSurplus,7164000000.0,6444900000.0,5756800000.0,5170300000.0
totalLiab,1603500000.0,1409800000.0,1448500000.0,1159200000.0
totalStockholderEquity,11901100000.0,9731500000.0,8263800000.0,6678800000.0
minorityInterest,50400000.0,27600000.0,20900000.0,8700000.0
deferredLongTermLiab,71800000.0,53100000.0,51500000.0,34200000.0
otherCurrentLiab,443300000.0,423000000.0,455900000.0,393000000.0
totalAssets,13555000000.0,11168900000.0,9733200000.0,7846700000.0
commonStock,400000.0,400000.0,100000.0,100000.0
retainedEarnings,4760900000.0,3261300000.0,2494500000.0,1521700000.0
otherLiab,387100000.0,386600000.0,418300000.0,338600000.0
goodWill,343600000.0,336700000.0,307200000.0,240600000.0
treasuryStock,-24200000.0,24900000.0,12400000.0,-13300000.0
otherAssets,914100000.0,699800000.0,754900000.0,622900000.0
cash,1290900000.0,1622600000.0,1167600000.0,857900000.0
totalCurrentLiabilities,1149800000.0,965200000.0,1030200000.0,820600000.0
deferredLongTermAssetCharges,441400000.0,367700000.0,425600000.0,428600000.0
otherStockholderEquity,-24200000.0,24900000.0,12400000.0,-13300000.0
propertyPlantEquipment,1950800000.0,1641200000.0,1272900000.0,812000000.0
totalCurrentAssets,5844900000.0,6625900000.0,4662600000.0,4333200000.0
longTermInvestments,4431100000.0,1787900000.0,2623500000.0,1771300000.0
netTangibleAssets,11487000000.0,9317400000.0,7844500000.0,6371500000.0
shortTermInvestments,2940000000.0,3548900000.0,2054100000.0,2205200000.0
netReceivables,893000000.0,726600000.0,708300000.0,733500000.0
inventory,587100000.0,601500000.0,595500000.0,409000000.0
accountsPayable,121200000.0,81600000.0,123500000.0,100700000.0
otherCurrentAssets,,,,86200000.0
researchDevelopment,671000000,595100000,557300000,418100000
effectOfAccountingCharges,,,,
incomeBeforeTax,1890300000,1207000000,1502200000,1279500000
netIncome,1704600000,1060600000,1379300000,1127900000
sellingGeneralAdministrative,1466500000,1216300000,1178400000,941400000
grossProfit,3958500000,2861200000,3110200000,2604100000
ebit,1821000000,1049800000,1374500000,1244600000
operatingIncome,1821000000,1049800000,1374500000,1244600000
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,162200000,140200000,120400000,154500000
totalRevenue,5710100000,4358400000,4478500000,3724200000
totalOperatingExpenses,3889100000,3308600000,3104000000,2479600000
costOfRevenue,1751600000,1497200000,1368300000,1120100000
totalOtherIncomeExpenseNet,69300000,157200000,127700000,34900000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1728100000,1066800000,1381800000,1125000000
netIncomeApplicableToCommonShares,1704600000,1060600000,1379300000,1127900000
investments,-2099300000,-561400000,-669100000,-774300000
changeToLiabilities,68600000,-17300000,47800000,71000000
totalCashflowsFromInvestingActivities,-2461500000,-940600000,-1154400000,-1049600000
totalCashFromFinancingActivities,43000000,-85700000,-168400000,126300000
changeToOperatingActivities,-38400000,-91500000,-47600000,-14400000
issuanceOfStock,276500000,308800000,272800000,236600000
changeInCash,-332500000,455900000,273200000,246200000
repurchaseOfStock,-211600000,-309500000,-428600000,-120000000
effectOfExchangeRate,-3400000,-2600000,-2200000,-100000
totalCashFromOperatingActivities,2089400000,1484800000,1598200000,1169600000
depreciation,307400000,270800000,200000000,120100000
changeToInventory,-256000000,-170100000,-360500000,-279000000
changeToAccountReceivables,-142300000,5700000,38800000,-161300000
otherCashflowsFromFinancingActivities,-21900000,-85000000,-12600000,9700000
changeToNetincome,423500000,409500000,327300000,294700000
capitalExpenditures,-353500000,-341500000,-425600000,-187400000
