,2021,2020,2019,2018
intangibleAssets,714418000.0,806998000.0,925087000.0,1042565000.0
capitalSurplus,2074896000.0,1968930000.0,1899273000.0,1823710000.0
totalLiab,7045266000.0,6225539000.0,6212701000.0,5350717000.0
totalStockholderEquity,371058000.0,1090428000.0,938593000.0,850757000.0
otherCurrentLiab,2256843000.0,2005612000.0,1935898000.0,1764969000.0
totalAssets,7416324000.0,7315967000.0,7151294000.0,6201474000.0
commonStock,82000.0,82000.0,82000.0,82000.0
otherCurrentAssets,384678000.0,259755000.0,265926000.0,237311000.0
retainedEarnings,3049027000.0,2255467000.0,1988722000.0,1755432000.0
otherLiab,479945000.0,465304000.0,414915000.0,602992000.0
goodWill,2951317000.0,2945547000.0,2937726000.0,2923136000.0
treasuryStock,-4752947000.0,-3134051000.0,-2949484000.0,-2728467000.0
otherAssets,308689000.0,256316000.0,222245000.0,156369000.0
cash,756493000.0,712583000.0,280836000.0,156368000.0
totalCurrentLiabilities,3378780000.0,2947494000.0,2856534000.0,2620935000.0
deferredLongTermAssetCharges,140004000.0,103559000.0,79618000.0,34494000.0
shortLongTermDebt,27726000.0,55401000.0,139718000.0,165578000.0
otherStockholderEquity,-81431000.0,-99228000.0,-77938000.0,-39867000.0
propertyPlantEquipment,821820000.0,984048000.0,1047495000.0,267665000.0
totalCurrentAssets,2620080000.0,2323058000.0,2018741000.0,1811739000.0
netTangibleAssets,-3294677000.0,-2662117000.0,-2924220000.0,-3114944000.0
netReceivables,1385234000.0,1255948000.0,1347362000.0,1281237000.0
longTermDebt,2488775000.0,2032575000.0,2108719000.0,2126790000.0
accountsPayable,49277000.0,38588000.0,32995000.0,37508000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,969870000.0,326133000.0,275739000.0,181121000.0
minorityInterest,,,,
netIncome,793560000.0,266745000.0,233290000.0,122456000.0
sellingGeneralAdministrative,2107238000.0,2039662000.0,2103995000.0,1884846000.0
grossProfit,3289869000.0,2754379000.0,2694753000.0,2506654000.0
ebit,970226000.0,495733000.0,378979000.0,366207000.0
operatingIncome,970226000.0,495733000.0,378979000.0,366207000.0
otherOperatingExpenses,,,,
interestExpense,-98313000.0,-113436000.0,-102831000.0,-126774000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,176310000.0,59388000.0,42449000.0,58665000.0
totalRevenue,4733962000.0,4099403000.0,4245321000.0,3975454000.0
totalOperatingExpenses,3763736000.0,3603670000.0,3866342000.0,3609247000.0
costOfRevenue,1444093000.0,1345024000.0,1550568000.0,1468800000.0
totalOtherIncomeExpenseNet,-356000.0,-169600000.0,-103240000.0,-185086000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,793560000.0,266745000.0,233290000.0,122456000.0
netIncomeApplicableToCommonShares,793560000.0,266745000.0,233290000.0,122456000.0
changeToLiabilities,445302000.0,127937000.0,126590000.0,242382000.0
totalCashflowsFromInvestingActivities,-80467000.0,-83888000.0,-160885000.0,384051000.0
netBorrowings,487085000.0,-201469000.0,-104579000.0,-1010972000.0
totalCashFromFinancingActivities,-1157609000.0,-416224000.0,-285992000.0,-1257115000.0
changeToOperatingActivities,-159074000.0,37601000.0,-38633000.0,-70342000.0
issuanceOfStock,18173000.0,18085000.0,17629000.0,14689000.0
changeInCash,48019000.0,431747000.0,122173000.0,-408395000.0
repurchaseOfStock,-1655547000.0,-176302000.0,-199042000.0,-260832000.0
effectOfExchangeRate,-26375000.0,28581000.0,3614000.0,-6489000.0
totalCashFromOperatingActivities,1312470000.0,903278000.0,565436000.0,471158000.0
depreciation,252930000.0,271935000.0,278245000.0,242401000.0
otherCashflowsFromInvestingActivities,2306000.0,2306000.0,2306000.0,2306000.0
changeToAccountReceivables,-145346000.0,99409000.0,-66729000.0,-115003000.0
otherCashflowsFromFinancingActivities,-7320000.0,-56538000.0,-56538000.0,-56538000.0
changeToNetincome,86336000.0,62327000.0,6176000.0,22249000.0
capitalExpenditures,-59834000.0,-83888000.0,-149016000.0,-126873000.0
investments,,,14120000.0,14120000.0
annualDilutedAverageShares,86177000.0,90017000.0,90971000.0,92122000.0
